    x       xi       Q2       W2      Ratio       Stat	        Sys        Iso
 0.5250   0.4940   3.6362   4.1703  0.9512E+00  0.8586E-02  0.9785E-02  0.9128E+00
 0.5500   0.5156   3.7452   3.9446  0.9466E+00  0.5087E-02  0.9789E-02  0.9092E+00
 0.5750   0.5371   3.8505   3.7264  0.9456E+00  0.6479E-02  0.9830E-02  0.9056E+00
 0.6000   0.5583   3.9525   3.5153  0.9458E+00  0.5456E-02  0.9884E-02  0.9019E+00
 0.6250   0.5794   4.0511   3.3110  0.9419E+00  0.6964E-02  0.9894E-02  0.8982E+00
 0.6500   0.6003   4.1467   3.1132  0.9316E+00  0.5881E-02  0.9836E-02  0.8944E+00
 0.6750   0.6210   4.2392   2.9215  0.9258E+00  0.6309E-02  0.9825E-02  0.8906E+00
 0.7000   0.6414   4.3290   2.7356  0.9269E+00  0.5813E-02  0.9887E-02  0.8868E+00
 0.7250   0.6617   4.4160   2.5554  0.8986E+00  0.1230E-01  0.9634E-02  0.8828E+00
 0.7500   0.6818   4.5005   2.3805  0.9177E+00  0.9328E-02  0.9888E-02  0.8789E+00
 0.7750   0.7017   4.5824   2.2107  0.9211E+00  0.1011E-01  0.9975E-02  0.8755E+00
 0.8000   0.7214   4.6621   2.0459  0.9346E+00  0.1130E-01  0.1017E-01  0.8732E+00
 0.8250   0.7409   4.7394   1.8857  0.9631E+00  0.1769E-01  0.1053E-01  0.8721E+00
 0.8500   0.7602   4.8146   1.7300  0.9866E+00  0.1402E-01  0.1084E-01  0.8723E+00
 0.8750   0.7793   4.8877   1.5786  0.1017E+01  0.2238E-01  0.1123E-01  0.8736E+00
 0.9000   0.7982   4.9588   1.4313  0.1019E+01  0.1754E-01  0.1131E-01  0.8761E+00
 0.9250   0.8169   5.0280   1.2880  0.1111E+01  0.1185E-01  0.1239E-01  0.8798E+00
