 A   x   eps   F2A   F2A/F2D 
   2      0.60000      1.00000      0.05958      1.00000
   3      0.60000      1.11402      0.05800      0.97339
   4      0.60000      1.32360      0.05580      0.93648
   6      0.60000      1.13860      0.05770      0.96835
   7      0.60000      1.23248      0.05666      0.95097
   9      0.60000      1.29429      0.05606      0.94092
  12      0.60000      1.48219      0.05455      0.91554
  16      0.60000      1.50955      0.05436      0.91237
  20      0.60000      1.48219      0.05455      0.91554
  27      0.60000      1.75122      0.05296      0.88878
  56      0.60000      1.87103      0.05240      0.87936
