 x   F2A/F2D 
      0.01000      1.01067
      0.02000      1.01479
      0.03000      1.01469
      0.04000      1.01366
      0.05000      1.01245
      0.06000      1.01127
      0.07000      1.01017
      0.08000      1.00917
      0.09000      1.00826
      0.10000      1.00743
      0.11000      1.00667
      0.12000      1.00597
      0.13000      1.00532
      0.14000      1.00471
      0.15000      1.00414
      0.16000      1.00359
      0.17000      1.00306
      0.18000      1.00255
      0.19000      1.00205
      0.20000      1.00156
      0.21000      1.00108
      0.22000      1.00060
      0.23000      1.00013
      0.24000      0.99965
      0.25000      0.99916
      0.26000      0.99868
      0.27000      0.99819
      0.28000      0.99768
      0.29000      0.99717
      0.30000      0.99665
      0.31000      0.99612
      0.32000      0.99558
      0.33000      0.99502
      0.34000      0.99445
      0.35000      0.99386
      0.36000      0.99325
      0.37000      0.99262
      0.38000      0.99198
      0.39000      0.99132
      0.40000      0.99063
      0.41000      0.98993
      0.42000      0.98920
      0.43000      0.98844
      0.44000      0.98766
      0.45000      0.98686
      0.46000      0.98603
      0.47000      0.98517
      0.48000      0.98428
      0.49000      0.98336
      0.50000      0.98241
      0.51000      0.98143
      0.52000      0.98041
      0.53000      0.97936
      0.54000      0.97826
      0.55000      0.97714
      0.56000      0.97597
      0.57000      0.97476
      0.58000      0.97351
      0.59000      0.97221
      0.60000      0.97087
      0.61000      0.96948
      0.62000      0.96804
      0.63000      0.96654
      0.64000      0.96499
      0.65000      0.96339
      0.66000      0.96172
      0.67000      0.95998
      0.68000      0.95818
      0.69000      0.95630
      0.70000      0.95435
      0.71000      0.95231
      0.72000      0.95018
      0.73000      0.94795
      0.74000      0.94561
      0.75000      0.94314
      0.76000      0.94054
      0.77000      0.93777
      0.78000      0.93480
      0.79000      0.93159
      0.80000      0.92823
      0.81000      0.92479
      0.82000      0.92118
      0.83000      0.91720
      0.84000      0.91279
      0.85000      0.90792
      0.86000      0.90251
      0.87000      0.89639
      0.88000      0.88877
      0.89000      0.87483
      0.90000      0.85965
      0.91000      0.90711
      0.92000      0.94146
      0.93000      0.91385
      0.94000      0.92444
      0.95000      0.96589
      0.96000      1.10412
      0.97000      1.03101
      0.98000      1.25281
