 A   x   eps   F2A   F2A/F2D 
   2      0.55000      1.00000      0.07319      1.00000
   3      0.55000      1.13057      0.07228      0.98759
   4      0.55000      1.37527      0.07104      0.97069
   6      0.55000      1.15897      0.07211      0.98526
   7      0.55000      1.26817      0.07153      0.97729
   9      0.55000      1.34071      0.07119      0.97271
  12      0.55000      1.56403      0.07035      0.96128
  16      0.55000      1.59689      0.07025      0.95987
  20      0.55000      1.56403      0.07035      0.96128
  27      0.55000      1.89049      0.06949      0.94944
  56      0.55000      2.03818      0.06919      0.94534
