 x   F2A/F2D 
      0.11000      1.00961      1.47885
      0.12000      1.00938      1.47628
      0.13000      1.00897      1.47301
      0.14000      1.00847      1.46917
      0.15000      1.00793      1.46493
      0.16000      1.00738      1.46045
      0.17000      1.00686      1.45588
      0.18000      1.00638      1.45127
      0.19000      1.00594      1.44670
      0.20000      1.00554      1.44222
      0.21000      1.00518      1.43786
      0.22000      1.00484      1.43364
      0.23000      1.00451      1.42959
      0.24000      1.00418      1.42566
      0.25000      1.00383      1.42186
      0.26000      1.00346      1.41817
      0.27000      1.00306      1.41456
      0.28000      1.00260      1.41102
      0.29000      1.00209      1.40751
      0.30000      1.00153      1.40402
      0.31000      1.00090      1.40054
      0.32000      1.00021      1.39706
      0.33000      0.99946      1.39354
      0.34000      0.99865      1.38997
      0.35000      0.99778      1.38634
      0.36000      0.99687      1.38263
      0.37000      0.99591      1.37886
      0.38000      0.99492      1.37500
      0.39000      0.99390      1.37107
      0.40000      0.99286      1.36706
      0.41000      0.99181      1.36297
      0.42000      0.99074      1.35881
      0.43000      0.98967      1.35458
      0.44000      0.98861      1.35028
      0.45000      0.98754      1.34594
      0.46000      0.98648      1.34157
      0.47000      0.98543      1.33715
      0.48000      0.98439      1.33268
      0.49000      0.98335      1.32815
      0.50000      0.98231      1.32358
      0.51000      0.98126      1.31895
      0.52000      0.98022      1.31426
      0.53000      0.97915      1.30953
      0.54000      0.97808      1.30473
      0.55000      0.97698      1.29989
      0.56000      0.97585      1.29498
      0.57000      0.97470      1.29003
      0.58000      0.97352      1.28503
      0.59000      0.97232      1.27999
      0.60000      0.97109      1.27493
      0.61000      0.96985      1.26986
      0.62000      0.96860      1.26481
      0.63000      0.96736      1.25979
      0.64000      0.96614      1.25484
      0.65000      0.96498      1.25000
      0.66000      0.96390      1.24531
      0.67000      0.96293      1.24092
      0.68000      0.96211      1.23681
      0.69000      0.96149      1.23302
      0.70000      0.96112      1.22963
      0.71000      0.96105      1.22671
      0.72000      0.96135      1.22435
      0.73000      0.96208      1.22264
      0.74000      0.96331      1.22166
      0.75000      0.96512      1.22151
      0.76000      0.96758      1.22229
      0.77000      0.97078      1.22411
      0.78000      0.97480      1.22706
      0.79000      0.97971      1.23125
      0.80000      0.98559      1.23676
      0.81000      0.99253      1.24371
      0.82000      1.00058      1.25217
      0.83000      1.00980      1.26220
      0.84000      1.02023      1.27386
      0.85000      1.03189      1.28716
      0.86000      1.04477      1.30211
      0.87000      1.05883      1.31863
      0.88000      1.07397      1.33664
      0.89000      1.09005      1.35591
      0.90000      1.10684      1.37619
