 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_NMC    F2d_ineft
   0.00780   0.80000 102.64446      0.26670      0.00740      0.00270          0.23523          0.25474
   0.00920   1.09000 118.26862      0.29010      0.00730      0.00620          0.26257          0.27672
   0.01200   0.90000  74.98035      0.26940      0.00780      0.00540          0.25260          0.26516
   0.01250   1.22000  97.26035      0.29460      0.00680      0.00290          0.27614          0.28491
   0.01390   1.62000 115.80712      0.31020      0.00690      0.00740          0.29774          0.30082
   0.01730   1.27000  73.02076      0.29780      0.00680      0.00400          0.28468          0.28890
   0.01760   1.72000  96.88763      0.33040      0.00630      0.00410          0.30520          0.30472
   0.01850   2.16000 115.47711      0.32380      0.00620      0.00840          0.32039          0.31484
   0.02460   1.27000  51.23637      0.29670      0.00720      0.00490          0.29110          0.29120
   0.02470   1.75000  69.98056      0.32050      0.00540      0.00350          0.31102          0.30725
   0.02540   2.36000  91.43374      0.34090      0.00490      0.00340          0.32900          0.31954
   0.02760   3.24000 115.03166      0.33240      0.00680      0.01330          0.34737          0.33004
   0.03480   1.30000  36.93668      0.30570      0.00820      0.00770          0.29887          0.29527
   0.03480   1.76000  49.69507      0.31550      0.00530      0.00490          0.31564          0.30960
   0.03490   2.45000  68.63093      0.34050      0.00390      0.00360          0.33321          0.32227
   0.03540   3.34000  91.89064      0.36240      0.00510      0.00660          0.34916          0.33164
   0.03640   4.27000 113.91805      0.35410      0.00890      0.02050          0.36130          0.33759
   0.04950   1.33000  26.41904      0.32330      0.01030      0.00890          0.30610          0.29965
   0.04930   1.76000  34.82015      0.31890      0.00630      0.00500          0.31916          0.31190
   0.04940   2.48000  48.60278      0.33750      0.00410      0.00330          0.33454          0.32411
   0.05010   3.41000  65.53423      0.35740      0.00360      0.00420          0.34830          0.33296
   0.05090   4.39000  82.73790      0.35890      0.00500      0.00820          0.35877          0.33849
   0.05260   5.31000  96.52093      0.39570      0.00690      0.01980          0.36596          0.34189
   0.07000   1.35000  18.81607      0.31540      0.01360      0.01320          0.31169          0.30331
   0.06990   1.77000  24.43224      0.32290      0.00880      0.00730          0.32151          0.31394
   0.06940   2.48000  34.13523      0.33480      0.00510      0.00440          0.33320          0.32473
   0.06960   3.45000  46.99932      0.36080      0.00390      0.00500          0.34429          0.33296
   0.07020   4.42000  59.42332      0.35790      0.00390      0.00700          0.35228          0.33779
   0.07030   5.38000  72.02952      0.36540      0.00430      0.01220          0.35861          0.34096
   0.07110   6.38000  84.23313      0.36410      0.00490      0.02530          0.36365          0.34322
   0.09020   1.38000  14.79969      0.32670      0.01760      0.01950          0.31473          0.30548
   0.08990   1.76000  18.69766      0.32220      0.01160      0.00960          0.32139          0.31397
   0.08970   2.47000  25.94659      0.33580      0.00650      0.00570          0.33022          0.32371
   0.08970   3.46000  35.99338      0.34160      0.00430      0.00560          0.33868          0.33121
   0.09000   4.44000  45.77369      0.35770      0.00400      0.00750          0.34472          0.33552
   0.09030   5.44000  55.68399      0.38010      0.00460      0.01170          0.34952          0.33839
   0.08970   6.50000  66.84412      0.35270      0.00450      0.01730          0.35411          0.34066
   0.10900   1.78000  15.43063      0.32200      0.01410      0.01170          0.32029          0.31319
   0.10960   2.49000  21.10933      0.33460      0.00830      0.00690          0.32648          0.32154
   0.10980   3.48000  29.09434      0.33530      0.00540      0.00650          0.33239          0.32801
   0.11000   4.45000  36.88490      0.33600      0.00420      0.00770          0.33659          0.33172
   0.11050   5.44000  44.67112      0.33140      0.00420      0.01050          0.33979          0.33413
   0.10960   6.60000  54.49933      0.33790      0.00430      0.01440          0.34354          0.33640
   0.12820   1.86000  13.52894      0.34790      0.01680      0.01980          0.31826          0.31189
   0.13830   2.49000  16.39469      0.32980      0.01050      0.00600          0.31909          0.31581
   0.13960   3.48000  22.32872      0.33280      0.00640      0.00570          0.32165          0.32057
   0.13940   4.45000  28.35288      0.32720      0.00470      0.00620          0.32383          0.32358
   0.13980   5.46000  34.47615      0.34110      0.00430      0.00850          0.32535          0.32546
   0.14070   6.69000  41.73833      0.33630      0.00420      0.00970          0.32653          0.32680
   0.17370   2.67000  13.58168      0.32770      0.01030      0.00910          0.30748          0.30622
   0.18030   3.46000  16.61059      0.30690      0.00710      0.00660          0.30462          0.30611
   0.17990   4.46000  21.21191      0.31970      0.00540      0.00760          0.30457          0.30808
   0.18060   5.46000  25.65291      0.30880      0.00450      0.00880          0.30403          0.30893
   0.18010   6.77000  31.70058      0.32030      0.00390      0.00970          0.30413          0.31020
   0.17690   8.50000  40.43010      0.30920      0.00370      0.02320          0.30597          0.31267
   0.20480   2.90000  12.14051      0.29700      0.00810      0.02630          0.29422          0.29468
   0.22030   3.51000  13.30317      0.29240      0.00650      0.00700          0.28532          0.28819
   0.22550   4.47000  16.23297      0.28200      0.00500      0.00700          0.28041          0.28585
   0.22590   5.47000  19.62461      0.29370      0.00430      0.00900          0.27843          0.28579
   0.22730   6.81000  24.03076      0.27890      0.00340      0.00860          0.27574          0.28512
   0.22110   8.64000  31.31770      0.28740      0.00320      0.01820          0.27782          0.28888
   0.26430   3.75000  11.31878      0.26900      0.00620      0.01180          0.26087          0.26491
   0.27230   4.47000  12.82607      0.26720      0.00520      0.00790          0.25350          0.25942
   0.27460   5.44000  15.25099      0.25620      0.00390      0.00910          0.24910          0.25705
