 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_ff217    F2d_ineft
   0.00800   0.80000 100.08035      0.26980      0.00260      0.00750          0.41091          0.25484
   0.00800   1.12000 139.76035      0.28900      0.00440      0.00640          0.60321          0.27796
   0.00800   3.46000 429.92035      0.37550      0.00860      0.01240          0.45875          0.32902
   0.01250   0.90000  71.98035      0.27690      0.00540      0.00800          0.36563          0.26538
   0.01250   1.23000  98.05035      0.30150      0.00270      0.00680          0.50933          0.28540
   0.01250   1.67000 132.81035      0.32300      0.00440      0.00600          0.58753          0.30192
   0.01250   2.73000 216.55035      0.35970      0.01430      0.00710          0.47811          0.32233
   0.01250   3.25000 257.63035      0.35830      0.01400      0.00780          0.44296          0.32796
   0.01250   4.52000 357.96035      0.38290      0.00600      0.01220          0.58177          0.33664
   0.01250   5.38000 425.90035      0.41690      0.00780      0.01480          0.61245          0.34034
   0.01750   1.27000  72.18178      0.30820      0.00410      0.00700          0.42206          0.28897
   0.01750   1.73000  98.00750      0.34110      0.00370      0.00610          0.48435          0.30497
   0.01750   2.28000 128.88607      0.34360      0.00450      0.00550          0.45308          0.31675
   0.01750   3.62000 204.11750      0.37370      0.01040      0.00760          0.54133          0.33180
   0.01750   4.33000 243.97893      0.39450      0.01220      0.01000          0.59772          0.33628
   0.01750   5.60000 315.28035      0.39740      0.00760      0.01130          0.63038          0.34163
   0.01750   6.73000 378.72178      0.41300      0.00520      0.01310          0.63033          0.34477
   0.02500   1.27000  50.41035      0.30630      0.00500      0.00750          0.35843          0.29132
   0.02500   1.76000  69.52035      0.33250      0.00340      0.00560          0.38503          0.30758
   0.02500   2.41000  94.87035      0.35130      0.00270      0.00480          0.42662          0.32023
   0.02500   3.34000 131.14035      0.36500      0.00520      0.00600          0.55361          0.33058
   0.02500   4.54000 177.94035      0.38710      0.00900      0.00750          0.62920          0.33812
   0.02500   5.45000 213.43035      0.39060      0.00850      0.00900          0.64103          0.34175
   0.02500   7.09000 277.39035      0.40110      0.00460      0.00950          0.63245          0.34606
   0.02500   8.88000 347.20035      0.42940      0.00460      0.01220          0.61363          0.34902
   0.02500  10.79000 421.69035      0.44600      0.00810      0.01490          0.50819          0.35112
   0.03500   1.30000  36.72321      0.31410      0.00780      0.00850          0.43342          0.29532
   0.03500   1.76000  49.40607      0.32540      0.00500      0.00560          0.43054          0.30964
   0.03500   2.45000  68.43035      0.35370      0.00330      0.00420          0.49864          0.32229
   0.03500   3.41000  94.89893      0.36960      0.00430      0.00440          0.59564          0.33216
   0.03500   4.39000 121.91893      0.37040      0.00690      0.00650          0.64088          0.33811
   0.03500   5.45000 151.14464      0.37640      0.00970      0.00590          0.64695          0.34228
   0.03500   6.95000 192.50178      0.39250      0.00740      0.00770          0.63282          0.34612
   0.03500   8.99000 248.74750      0.39670      0.00560      0.00810          0.60993          0.34935
   0.03500  11.44000 316.29750      0.41630      0.00450      0.01110          0.62480          0.35176
   0.05000   1.33000  26.15035      0.33050      0.00910      0.01080          0.50515          0.29974
   0.05000   1.76000  34.32035      0.32660      0.00510      0.00670          0.50643          0.31199
   0.05000   2.48000  48.00035      0.34210      0.00300      0.00430          0.56094          0.32415
   0.05000   3.44000  66.24035      0.36360      0.00340      0.00360          0.62482          0.33317
   0.05000   4.44000  85.24035      0.36380      0.00460      0.00400          0.65083          0.33872
   0.05000   5.43000 104.05035      0.37590      0.00620      0.00430          0.64658          0.34232
   0.05000   6.87000 131.41035      0.38190      0.00610      0.00500          0.62683          0.34580
   0.05000   9.05000 172.83035      0.38170      0.00540      0.00560          0.60174          0.34903
   0.05000  11.48000 219.00035      0.39590      0.00390      0.00720          0.57384          0.35123
   0.07000   1.35000  18.81607      0.32150      0.01340      0.01430          0.55823          0.30331
   0.07000   1.77000  24.39607      0.32970      0.00740      0.00920          0.56295          0.31394
   0.07000   2.49000  33.96178      0.34110      0.00420      0.00560          0.60346          0.32484
   0.07000   3.46000  46.84893      0.36020      0.00420      0.00420          0.64163          0.33300
   0.07000   4.45000  60.00178      0.35550      0.00490      0.00380          0.65181          0.33792
   0.07000   5.44000  73.15464      0.36490      0.00660      0.00400          0.63960          0.34116
   0.07000   6.86000  92.02035      0.37060      0.00700      0.00400          0.61509          0.34425
   0.07000   8.91000 119.25607      0.36550      0.00810      0.00450          0.59227          0.34703
   0.07000  11.50000 153.66607      0.38080      0.00550      0.00480          0.52530          0.34918
   0.09000   1.38000  14.83369      0.33220      0.01980      0.01870          0.58484          0.30548
   0.09000   1.76000  18.67591      0.32820      0.00970      0.01220          0.59140          0.31397
   0.09000   2.48000  25.95591      0.34450      0.00550      0.00730          0.62238          0.32378
   0.09000   3.47000  35.96591      0.34230      0.00490      0.00480          0.64858          0.33122
   0.09000   4.45000  45.87480      0.35840      0.00570      0.00450          0.64867          0.33556
   0.09000   5.46000  56.08702      0.36450      0.00710      0.00440          0.63100          0.33849
   0.09000   6.80000  69.63591      0.36100      0.00670      0.00450          0.60502          0.34111
   0.09000   8.88000  90.66702      0.37330      0.00920      0.00480          0.58342          0.34366
   0.09000  11.55000 117.66369      0.36180      0.00680      0.00410          0.50848          0.34562
   0.11000   1.78000  15.28217      0.32740      0.01190      0.01490          0.60547          0.31310
   0.11000   2.50000  21.10763      0.33630      0.00660      0.00890          0.63071          0.32157
   0.11000   3.47000  28.95581      0.34440      0.00600      0.00570          0.65122          0.32792
   0.11000   4.46000  36.96581      0.34220      0.00630      0.00470          0.64420          0.33175
   0.11000   5.47000  45.13763      0.34130      0.00740      0.00450          0.62304          0.33432
   0.11000   6.80000  55.89854      0.34450      0.00690      0.00460          0.59573          0.33659
   0.11000   8.93000  73.13217      0.33860      0.00930      0.00490          0.57670          0.33886
   0.11000  11.46000  93.60217      0.34420      0.00760      0.00440          0.50536          0.34050
   0.14000   1.86000  12.30607      0.35360      0.02010      0.01850          0.61267          0.30978
   0.14000   2.48000  16.11464      0.33450      0.00610      0.01130          0.62809          0.31532
   0.14000   3.48000  22.25750      0.33370      0.00510      0.00700          0.64645          0.32045
   0.14000   4.46000  28.27750      0.32360      0.00500      0.00510          0.63323          0.32341
   0.14000   5.47000  34.48178      0.33010      0.00590      0.00460          0.60943          0.32541
   0.14000   6.83000  42.83607      0.32450      0.00510      0.00440          0.58133          0.32721
   0.14000   8.93000  55.73607      0.33680      0.00810      0.00500          0.56824          0.32896
   0.14000  11.37000  70.72464      0.32240      0.00650      0.00460          0.54575          0.33020
