 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_f1f217    F2d_ineft
   0.21800   3.07000  11.89292      0.26169      0.02300      0.01100          0.56349          0.28899
   0.25800   3.63000  11.32012      0.26169      0.02300      0.01100          0.52734          0.26854
   0.29800   4.19000  10.75076      0.26169      0.02300      0.01100          0.48005          0.24452
   0.33800   4.76000  10.20320      0.26169      0.02300      0.01100          0.42631          0.21834
   0.37800   5.32000   9.63443      0.26169      0.02300      0.01100          0.37896          0.19127
   0.41800   5.88000   9.06734      0.26169      0.02300      0.01100          0.32623          0.16432
   0.45800   6.45000   8.51332      0.26169      0.02300      0.01100          0.27253          0.13830
   0.49800   7.01000   7.94666      0.26169      0.02300      0.01100          0.22305          0.11395
   0.53800   7.57000   7.38099      0.26169      0.02300      0.01100          0.17558          0.09177
   0.57800   8.13000   6.81610      0.26169      0.02300      0.01100          0.13606          0.07211
   0.61800   8.70000   6.25802      0.26169      0.02300      0.01100          0.10240          0.05514
   0.65800   9.26000   5.69330      0.26169      0.02300      0.01100          0.07595          0.04097
   0.69800   9.82000   5.12912      0.26169      0.02300      0.01100          0.05488          0.02948
   0.73800  10.39000   4.56895      0.26169      0.02300      0.01100          0.03871          0.02046
   0.77800  10.95000   4.00491      0.26169      0.02300      0.01100          0.02648          0.01366
   0.81800  11.82000   3.51023      0.26169      0.02300      0.01100          0.01727          0.00856
