 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
   1.20943141       10.4581804       10.0000000       16.3910007       1.06875936E-03   6.81871665E-04
   1.20107007       10.4422283       10.0000000       16.3659992       1.21334591E-03   7.60767143E-04
   1.19279885       10.4262772       10.0000000       16.3409996       1.37698115E-03   8.68919131E-04
   1.18461633       10.4103270       10.0000000       16.3160000       1.54848571E-03   9.62412159E-04
   1.17652047       10.3943758       10.0000000       16.2910004       1.74244947E-03   1.09678553E-03
   1.16851020       10.3784246       10.0000000       16.2660007       1.95846823E-03   1.23286096E-03
   1.16058350       10.3624725       10.0000000       16.2409992       2.27557612E-03   1.39795383E-03
   1.15274024       10.3465214       10.0000000       16.2159996       2.58015445E-03   1.60764740E-03
   1.14497864       10.3305712       10.0000000       16.1910000       2.93758139E-03   1.80326530E-03
   1.13729727       10.3146200       10.0000000       16.1660004       3.36870947E-03   2.08911463E-03
   1.12969506       10.2986698       10.0000000       16.1410007       3.83350812E-03   2.34611332E-03
   1.12216985       10.2827177       10.0000000       16.1159992       4.44888975E-03   2.74608983E-03
   1.11472201       10.2667665       10.0000000       16.0909996       5.12511469E-03   3.09447222E-03
   1.10734975       10.2508154       10.0000000       16.0660000       5.92872407E-03   3.58130434E-03
   1.10005176       10.2348642       10.0000000       16.0410004       6.91667618E-03   4.14508395E-03
   1.09282696       10.2189140       10.0000000       16.0160007       7.80392159E-03   4.79906658E-03
   1.08567405       10.2029619       10.0000000       15.9910002       9.18183010E-03   5.61105320E-03
   1.07859230       10.1870108       10.0000000       15.9659996       1.03602074E-02   6.37353724E-03
   1.07158077       10.1710596       10.0000000       15.9410000       1.22696627E-02   7.49687711E-03
   1.06463826       10.1551094       10.0000000       15.9160004       1.43600693E-02   8.55738483E-03
   1.05748987       10.1385202       10.0000000       15.8900003       1.64009351E-02   1.00451969E-02
   1.05068457       10.1225691       10.0000000       15.8649998       1.91802885E-02   1.14932545E-02
   1.04394555       10.1066179       10.0000000       15.8400002       2.17290968E-02   1.33367563E-02
   1.03727114       10.0906658       10.0000000       15.8149996       2.51071025E-02   1.51173025E-02
   1.03066123       10.0747156       10.0000000       15.7900000       2.80012041E-02   1.72925219E-02
   1.02385366       10.0581255       10.0000000       15.7639999       3.07640526E-02   1.92052051E-02
   1.01737154       10.0421753       10.0000000       15.7390003       3.40565294E-02   2.10995190E-02
   1.01095057       10.0262241       10.0000000       15.7139997       3.57040688E-02   2.26321463E-02
   1.00459015       10.0102730       10.0000000       15.6890001       3.73310745E-02   2.41528973E-02
  0.998289168       9.99432182       10.0000000       15.6639996       3.71128246E-02   2.46392451E-02
  0.992047310       9.97837162       10.0000000       15.6389999       3.68957371E-02   2.49918122E-02
  0.985863209       9.96241951       10.0000000       15.6140003       3.48762348E-02   2.44333353E-02
  0.979736090       9.94646835       10.0000000       15.5889997       3.28790285E-02   2.37161256E-02
  0.973665714       9.93051815       10.0000000       15.5640001       2.99095865E-02   2.25679018E-02
  0.967650533       9.91456604       10.0000000       15.5389996       2.98905428E-02   2.24478766E-02
  0.961690545       9.89861584       10.0000000       15.5139999       3.50297503E-02   2.47242860E-02
  0.955784559       9.88266468       10.0000000       15.4890003       4.86148894E-02   3.08805071E-02
  0.949931681       9.86671352       10.0000000       15.4639997       7.14176595E-02   4.23938148E-02
  0.944131672       9.85076237       10.0000000       15.4390001       9.11322311E-02   5.43336719E-02
  0.938383400       9.83481121       10.0000000       15.4139996       9.27314609E-02   5.83913326E-02
  0.932686567       9.81886005       10.0000000       15.3889999       8.76270309E-02   5.78555651E-02
  0.927040219       9.80290890       10.0000000       15.3640003       8.78013298E-02   5.88077344E-02
  0.921443641       9.78695774       10.0000000       15.3389997       9.42293182E-02   6.26341999E-02
  0.915896416       9.77100658       10.0000000       15.3140001      0.104318745       6.85321838E-02
  0.910397649       9.75505543       10.0000000       15.2889996      0.117117941       7.61298761E-02
  0.904946864       9.73910427       10.0000000       15.2639999      0.132029623       8.50782916E-02
  0.899543583       9.72315407       10.0000000       15.2390003      0.151417255       9.64150652E-02
  0.894186676       9.70720196       10.0000000       15.2139997      0.178701147      0.111874700    
  0.888876081       9.69125080       10.0000000       15.1890001      0.220947579      0.134792268    
  0.883610904       9.67529964       10.0000000       15.1639996      0.284688473      0.169218794    
  0.878390670       9.65934849       10.0000000       15.1389999      0.356016159      0.210932180    
