x   F2n/F2p   F2H3/F2HE
0.15  -4.23889e-05  -1.55017e-05
0.18  -5.43284e-05  -1.78501e-05
0.21  -6.07818e-05  -1.94154e-05
0.24  -6.29508e-05  -2.02786e-05
0.27  -6.25931e-05  -2.06318e-05
0.3  -6.14743e-05  -2.07345e-05
0.33  -6.09757e-05  -2.08656e-05
0.36  -6.19253e-05  -2.12776e-05
0.39  -6.46236e-05  -2.21583e-05
0.42  -6.89861e-05  -2.36028e-05
0.45  -7.47177e-05  -2.55966e-05
0.48  -8.14546e-05  -2.80117e-05
0.51  -8.8832e-05  -3.06135e-05
0.54  -9.6456e-05  -3.30783e-05
0.57  -0.000103776  -3.50206e-05
0.6  -0.000109875  -3.60293e-05
0.63  -0.000113235  -3.57111e-05
0.66  -0.000111572  -3.37359e-05
0.69  -0.00010192  -2.98807e-05
0.72  -8.12199e-05  -2.4061e-05
0.75  -4.76842e-05  -1.63397e-05
0.78  -3.1031e-06  -6.90117e-06
0.81  4.414e-05  4.02014e-06
0.84  7.58644e-05  1.62657e-05
