 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.169621751       2.34336400       15.0474997       3.22700000       22.0194721       26.1630859       1.1881794929504395     
  0.169017568       2.33755469       15.0474997       3.21900010       22.0479965       26.2258396       1.1894885301589966     
  0.168414697       2.33174515       15.0474997       3.21099997       22.0765858       26.2899799       1.1908534765243530     
  0.167813152       2.32593584       15.0474997       3.20300007       22.1052361       26.3539371       1.1922034025192261     
  0.167212874       2.32012630       15.0474997       3.19499993       22.1339550       26.4187603       1.1935851573944092     
  0.166613951       2.31431699       15.0474997       3.18700004       22.1627369       26.4848766       1.1950182914733887     
  0.166016266       2.30850744       15.0474997       3.17899990       22.1915874       26.5494404       1.1963740587234497     
  0.165419891       2.30269814       15.0474997       3.17100000       22.2205048       26.6205482       1.1980172395706177     
  0.164824814       2.29688883       15.0474997       3.16300011       22.2494926       26.6857567       1.1993871927261353     
  0.164231002       2.29107952       15.0474997       3.15499997       22.2785511       26.7512093       1.2007607221603394     
  0.163638487       2.28526998       15.0474997       3.14700007       22.3076820       26.8167381       1.2021301984786987     
  0.163047209       2.27946043       15.0474997       3.13899994       22.3368874       26.8836403       1.2035535573959351     
  0.162457243       2.27365136       15.0474997       3.13100004       22.3661652       26.9500275       1.2049462795257568     
  0.161868498       2.26784182       15.0474997       3.12299991       22.3955193       27.0155277       1.2062916755676270     
  0.161281019       2.26203227       15.0474997       3.11500001       22.4249496       27.0840816       1.2077655792236328     
  0.160694852       2.25622320       15.0474997       3.10700011       22.4544582       27.1541157       1.2092972993850708     
  0.160109878       2.25041366       15.0474997       3.09899998       22.4840469       27.2205887       1.2106623649597168     
  0.159526169       2.24460435       15.0474997       3.09100008       22.5137157       27.2868271       1.2120090723037720     
  0.158943698       2.23879480       15.0474997       3.08299994       22.5434666       27.3563995       1.2134957313537598     
  0.158362463       2.23298550       15.0474997       3.07500005       22.5732994       27.4247208       1.2149186134338379     
  0.157782465       2.22717595       15.0474997       3.06699991       22.6032181       27.4957638       1.2164535522460938     
  0.157203734       2.22136664       15.0474997       3.05900002       22.6332226       27.5648270       1.2178922891616821     
