 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2270  15.8117   0.1872   2.5859  0.17799E+02  0.17799E+02  0.26775E-04  0.20783E+02  0.15904E-01  0.52803E+00  0.20239E+02  0.10000E+01
   10.5890   3.2190  15.8117   0.1865   2.5795  0.17826E+02  0.17826E+02  0.26554E-04  0.20830E+02  0.16178E-01  0.53407E+00  0.20280E+02  0.10000E+01
   10.5890   3.2110  15.8117   0.1858   2.5731  0.17853E+02  0.17853E+02  0.26547E-04  0.20879E+02  0.16458E-01  0.53673E+00  0.20326E+02  0.10000E+01
   10.5890   3.2030  15.8117   0.1852   2.5666  0.17880E+02  0.17880E+02  0.26327E-04  0.20938E+02  0.16744E-01  0.54729E+00  0.20374E+02  0.10000E+01
   10.5890   3.1950  15.8117   0.1845   2.5602  0.17908E+02  0.17908E+02  0.26106E-04  0.20993E+02  0.17034E-01  0.55261E+00  0.20423E+02  0.10000E+01
   10.5890   3.1870  15.8117   0.1839   2.5538  0.17935E+02  0.17935E+02  0.26100E-04  0.21050E+02  0.17330E-01  0.56033E+00  0.20472E+02  0.10000E+01
   10.5890   3.1790  15.8117   0.1832   2.5474  0.17963E+02  0.17963E+02  0.25840E-04  0.21106E+02  0.17630E-01  0.56710E+00  0.20521E+02  0.10000E+01
   10.5890   3.1710  15.8117   0.1825   2.5410  0.17990E+02  0.17990E+02  0.25580E-04  0.21163E+02  0.17935E-01  0.57416E+00  0.20571E+02  0.10000E+01
   10.5890   3.1630  15.8117   0.1819   2.5346  0.18018E+02  0.18018E+02  0.25321E-04  0.21227E+02  0.18245E-01  0.58133E+00  0.20627E+02  0.10000E+01
   10.5890   3.1550  15.8117   0.1812   2.5282  0.18045E+02  0.18045E+02  0.25316E-04  0.21285E+02  0.18560E-01  0.58783E+00  0.20678E+02  0.10000E+01
   10.5890   3.1470  15.8117   0.1806   2.5218  0.18073E+02  0.18073E+02  0.25056E-04  0.21343E+02  0.18884E-01  0.59577E+00  0.20729E+02  0.10000E+01
