                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2190  28.0559  0.44817E+00  0.43859E+00  0.33008E-05  0.43704E+00  0.41878E+00  0.32909E-05  0.41712E+00
   10.5890   3.2110  28.0559  0.45429E+00  0.44495E+00  0.34163E-05  0.44337E+00  0.42496E+00  0.34064E-05  0.42325E+00
   10.5890   3.2030  28.0559  0.46045E+00  0.45136E+00  0.35362E-05  0.44975E+00  0.43118E+00  0.35263E-05  0.42945E+00
   10.5890   3.1950  28.0559  0.46665E+00  0.45782E+00  0.36597E-05  0.45617E+00  0.43745E+00  0.36498E-05  0.43568E+00
   10.5890   3.1870  28.0559  0.47290E+00  0.46438E+00  0.37883E-05  0.46269E+00  0.44383E+00  0.37784E-05  0.44201E+00
   10.5890   3.1790  28.0559  0.47919E+00  0.47096E+00  0.37916E-05  0.46923E+00  0.45022E+00  0.37822E-05  0.44837E+00
   10.5890   3.1710  28.0559  0.48553E+00  0.47757E+00  0.40598E-05  0.47581E+00  0.45665E+00  0.40501E-05  0.45476E+00
   10.5890   3.1630  28.0559  0.49191E+00  0.48425E+00  0.42022E-05  0.48245E+00  0.46315E+00  0.41926E-05  0.46121E+00
   10.5890   3.1550  28.0559  0.49833E+00  0.49102E+00  0.43506E-05  0.48917E+00  0.46973E+00  0.43411E-05  0.46774E+00
   10.5890   3.1470  28.0559  0.50480E+00  0.49781E+00  0.45045E-05  0.49593E+00  0.47635E+00  0.44951E-05  0.47432E+00
   10.5890   3.1390  28.0559  0.51131E+00  0.50469E+00  0.46647E-05  0.50276E+00  0.48304E+00  0.46554E-05  0.48096E+00
   10.5890   3.1310  28.0559  0.51787E+00  0.51159E+00  0.48285E-05  0.50962E+00  0.48976E+00  0.48194E-05  0.48764E+00
   10.5890   3.1230  28.0559  0.52447E+00  0.51857E+00  0.49997E-05  0.51656E+00  0.49656E+00  0.49907E-05  0.49439E+00
   10.5890   3.1150  28.0559  0.53111E+00  0.52559E+00  0.51762E-05  0.52353E+00  0.50340E+00  0.51675E-05  0.50118E+00
   10.5890   3.1070  28.0559  0.53779E+00  0.53267E+00  0.53590E-05  0.53056E+00  0.51029E+00  0.53506E-05  0.50803E+00
   10.5890   3.0990  28.0559  0.54452E+00  0.53980E+00  0.55486E-05  0.53764E+00  0.51725E+00  0.55404E-05  0.51493E+00
   10.5890   3.0910  28.0559  0.55129E+00  0.54699E+00  0.57439E-05  0.54478E+00  0.52426E+00  0.57361E-05  0.52189E+00
   10.5890   3.0830  28.0559  0.55810E+00  0.55422E+00  0.59469E-05  0.55197E+00  0.53132E+00  0.59394E-05  0.52889E+00
   10.5890   3.0750  28.0559  0.56496E+00  0.56152E+00  0.61576E-05  0.55921E+00  0.53844E+00  0.61505E-05  0.53596E+00
   10.5890   3.0670  28.0559  0.57185E+00  0.56885E+00  0.63753E-05  0.56649E+00  0.54560E+00  0.63686E-05  0.54306E+00
   10.5890   3.0590  28.0559  0.57880E+00  0.57626E+00  0.66008E-05  0.57384E+00  0.55283E+00  0.65945E-05  0.55024E+00
   10.5890   3.0510  28.0559  0.58578E+00  0.58365E+00  0.68339E-05  0.58118E+00  0.56006E+00  0.68282E-05  0.55740E+00
   10.5890   3.0430  28.0559  0.59280E+00  0.59130E+00  0.70757E-05  0.58877E+00  0.56753E+00  0.70706E-05  0.56481E+00
   10.5890   3.0350  28.0559  0.59987E+00  0.59883E+00  0.73272E-05  0.59624E+00  0.57489E+00  0.73227E-05  0.57211E+00
   10.5890   3.0270  28.0559  0.60698E+00  0.60648E+00  0.75839E-05  0.60384E+00  0.58237E+00  0.75800E-05  0.57953E+00
   10.5890   3.0190  28.0559  0.61413E+00  0.61422E+00  0.78514E-05  0.61151E+00  0.58994E+00  0.78483E-05  0.58703E+00
   10.5890   3.0110  28.0559  0.62133E+00  0.62191E+00  0.81293E-05  0.61914E+00  0.59747E+00  0.81269E-05  0.59449E+00
   10.5890   3.0030  28.0559  0.62856E+00  0.62972E+00  0.84145E-05  0.62688E+00  0.60511E+00  0.84129E-05  0.60206E+00
   10.5890   2.9950  28.0559  0.63584E+00  0.63759E+00  0.87110E-05  0.63468E+00  0.61282E+00  0.87104E-05  0.60969E+00
