                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2270  29.9674  0.19414E+00  0.18529E+00  0.80693E-06  0.18468E+00  0.17581E+00  0.80363E-06  0.17514E+00
   10.5890   3.2190  29.9674  0.19781E+00  0.18896E+00  0.83724E-06  0.18834E+00  0.17934E+00  0.83389E-06  0.17866E+00
   10.5890   3.2110  29.9674  0.20154E+00  0.19269E+00  0.86863E-06  0.19205E+00  0.18292E+00  0.86522E-06  0.18223E+00
   10.5890   3.2030  29.9674  0.20530E+00  0.19647E+00  0.90117E-06  0.19581E+00  0.18656E+00  0.89770E-06  0.18585E+00
   10.5890   3.1950  29.9674  0.20911E+00  0.20033E+00  0.93487E-06  0.19966E+00  0.19027E+00  0.93135E-06  0.18955E+00
   10.5890   3.1870  29.9674  0.21296E+00  0.20416E+00  0.96970E-06  0.20348E+00  0.19396E+00  0.96612E-06  0.19322E+00
   10.5890   3.1790  29.9674  0.21685E+00  0.20808E+00  0.10045E-05  0.20738E+00  0.19773E+00  0.10001E-05  0.19697E+00
   10.5890   3.1710  29.9674  0.22079E+00  0.21204E+00  0.10418E-05  0.21132E+00  0.20155E+00  0.10373E-05  0.20077E+00
   10.5890   3.1630  29.9674  0.22476E+00  0.21606E+00  0.10807E-05  0.21532E+00  0.20542E+00  0.10761E-05  0.20462E+00
   10.5890   3.1550  29.9674  0.22879E+00  0.22012E+00  0.11213E-05  0.21937E+00  0.20933E+00  0.11166E-05  0.20852E+00
   10.5890   3.1470  29.9674  0.23285E+00  0.22423E+00  0.11633E-05  0.22346E+00  0.21329E+00  0.11586E-05  0.21246E+00
   10.5890   3.1390  29.9674  0.23696E+00  0.22840E+00  0.12068E-05  0.22761E+00  0.21731E+00  0.12021E-05  0.21646E+00
   10.5890   3.1310  29.9674  0.24112E+00  0.23263E+00  0.12522E-05  0.23182E+00  0.22139E+00  0.12474E-05  0.22052E+00
   10.5890   3.1230  29.9674  0.24531E+00  0.23688E+00  0.12996E-05  0.23606E+00  0.22548E+00  0.12947E-05  0.22459E+00
