 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2270  23.8258   0.4216   5.8242  0.19100E+01  0.19100E+01  0.10997E-04  0.19084E+01  0.67774E-04  0.12030E-01  0.18963E+01  0.10000E+01
   10.5890   3.2190  23.8258   0.4201   5.8098  0.19230E+01  0.19229E+01  0.10948E-04  0.19235E+01  0.69741E-04  0.12309E-01  0.19111E+01  0.10000E+01
   10.5890   3.2110  23.8258   0.4186   5.7953  0.19359E+01  0.19359E+01  0.10900E-04  0.19385E+01  0.71783E-04  0.12555E-01  0.19258E+01  0.10000E+01
   10.5890   3.2030  23.8258   0.4171   5.7809  0.19489E+01  0.19489E+01  0.10774E-04  0.19534E+01  0.73874E-04  0.12796E-01  0.19405E+01  0.10000E+01
   10.5890   3.1950  23.8258   0.4156   5.7664  0.19619E+01  0.19619E+01  0.10724E-04  0.19685E+01  0.76031E-04  0.13050E-01  0.19554E+01  0.10000E+01
   10.5890   3.1870  23.8258   0.4141   5.7520  0.19749E+01  0.19749E+01  0.10613E-04  0.19837E+01  0.78242E-04  0.13307E-01  0.19703E+01  0.10000E+01
   10.5890   3.1790  23.8258   0.4126   5.7376  0.19879E+01  0.19879E+01  0.10570E-04  0.19989E+01  0.80499E-04  0.13559E-01  0.19852E+01  0.10000E+01
   10.5890   3.1710  23.8258   0.4111   5.7231  0.20010E+01  0.20010E+01  0.10528E-04  0.20142E+01  0.82860E-04  0.13815E-01  0.20003E+01  0.10000E+01
   10.5890   3.1630  23.8258   0.4097   5.7087  0.20141E+01  0.20141E+01  0.10485E-04  0.20295E+01  0.85282E-04  0.14080E-01  0.20153E+01  0.10000E+01
   10.5890   3.1550  23.8258   0.4082   5.6943  0.20272E+01  0.20272E+01  0.10372E-04  0.20449E+01  0.87755E-04  0.14350E-01  0.20305E+01  0.10000E+01
   10.5890   3.1470  23.8258   0.4067   5.6798  0.20404E+01  0.20404E+01  0.10329E-04  0.20603E+01  0.90300E-04  0.14622E-01  0.20455E+01  0.10000E+01
   10.5890   3.1390  23.8258   0.4052   5.6654  0.20536E+01  0.20536E+01  0.10214E-04  0.20758E+01  0.92927E-04  0.14921E-01  0.20608E+01  0.10000E+01
   10.5890   3.1310  23.8258   0.4038   5.6509  0.20668E+01  0.20668E+01  0.10173E-04  0.20914E+01  0.95616E-04  0.15194E-01  0.20761E+01  0.10000E+01
   10.5890   3.1230  23.8258   0.4023   5.6365  0.20800E+01  0.20800E+01  0.10131E-04  0.21070E+01  0.98392E-04  0.15483E-01  0.20915E+01  0.10000E+01
   10.5890   3.1150  23.8258   0.4008   5.6221  0.20933E+01  0.20933E+01  0.10020E-04  0.21227E+01  0.10125E-03  0.15785E-01  0.21068E+01  0.10000E+01
   10.5890   3.1070  23.8258   0.3994   5.6076  0.21066E+01  0.21066E+01  0.99773E-05  0.21384E+01  0.10418E-03  0.16094E-01  0.21222E+01  0.10000E+01
   10.5890   3.0990  23.8258   0.3979   5.5932  0.21199E+01  0.21199E+01  0.99347E-05  0.21542E+01  0.10720E-03  0.16405E-01  0.21377E+01  0.10000E+01
   10.5890   3.0910  23.8258   0.3965   5.5787  0.21332E+01  0.21332E+01  0.98220E-05  0.21701E+01  0.11030E-03  0.16740E-01  0.21533E+01  0.10000E+01
   10.5890   3.0830  23.8258   0.3950   5.5643  0.21466E+01  0.21466E+01  0.97788E-05  0.21862E+01  0.11349E-03  0.17061E-01  0.21690E+01  0.10000E+01
   10.5890   3.0750  23.8258   0.3936   5.5499  0.21600E+01  0.21600E+01  0.96719E-05  0.22022E+01  0.11677E-03  0.17387E-01  0.21847E+01  0.10000E+01
   10.5890   3.0670  23.8258   0.3922   5.5354  0.21734E+01  0.21734E+01  0.96349E-05  0.22182E+01  0.12014E-03  0.17726E-01  0.22003E+01  0.10000E+01
   10.5890   3.0590  23.8258   0.3907   5.5210  0.21869E+01  0.21868E+01  0.95978E-05  0.22343E+01  0.12365E-03  0.18061E-01  0.22161E+01  0.10000E+01
   10.5890   3.0510  23.8258   0.3893   5.5066  0.22003E+01  0.22003E+01  0.94964E-05  0.22506E+01  0.12722E-03  0.18418E-01  0.22320E+01  0.10000E+01
   10.5890   3.0430  23.8258   0.3878   5.4921  0.22138E+01  0.22138E+01  0.95229E-05  0.22669E+01  0.13089E-03  0.18777E-01  0.22480E+01  0.10000E+01
   10.5890   3.0350  23.8258   0.3864   5.4777  0.22273E+01  0.22273E+01  0.94208E-05  0.22832E+01  0.13461E-03  0.19154E-01  0.22640E+01  0.10000E+01
   10.5890   3.0270  23.8258   0.3850   5.4632  0.22409E+01  0.22409E+01  0.93827E-05  0.22997E+01  0.13848E-03  0.19512E-01  0.22800E+01  0.10000E+01
   10.5890   3.0190  23.8258   0.3836   5.4488  0.22545E+01  0.22545E+01  0.92797E-05  0.23162E+01  0.14244E-03  0.19900E-01  0.22961E+01  0.10000E+01
   10.5890   3.0110  23.8258   0.3821   5.4344  0.22681E+01  0.22681E+01  0.92410E-05  0.23329E+01  0.14655E-03  0.20307E-01  0.23124E+01  0.10000E+01
   10.5890   3.0030  23.8258   0.3807   5.4199  0.22817E+01  0.22817E+01  0.91370E-05  0.23495E+01  0.15076E-03  0.20698E-01  0.23286E+01  0.10000E+01
   10.5890   2.9950  23.8258   0.3793   5.4055  0.22953E+01  0.22953E+01  0.90977E-05  0.23661E+01  0.15508E-03  0.21094E-01  0.23449E+01  0.10000E+01
   10.5890   2.9870  23.8258   0.3779   5.3910  0.23090E+01  0.23090E+01  0.90583E-05  0.23829E+01  0.15954E-03  0.21538E-01  0.23612E+01  0.10000E+01
   10.5890   2.9790  23.8258   0.3765   5.3766  0.23227E+01  0.23227E+01  0.90186E-05  0.23998E+01  0.16411E-03  0.21931E-01  0.23777E+01  0.10000E+01
   10.5890   2.9710  23.8258   0.3751   5.3622  0.23364E+01  0.23364E+01  0.89129E-05  0.24166E+01  0.16883E-03  0.22363E-01  0.23941E+01  0.10000E+01
   10.5890   2.9630  23.8258   0.3737   5.3477  0.23502E+01  0.23502E+01  0.88726E-05  0.24335E+01  0.17366E-03  0.22800E-01  0.24106E+01  0.10000E+01
   10.5890   2.9550  23.8258   0.3723   5.3333  0.23640E+01  0.23640E+01  0.88321E-05  0.24507E+01  0.17862E-03  0.23261E-01  0.24272E+01  0.10000E+01
   10.5890   3.2270  23.9058   0.4244   5.8628  0.18637E+01  0.18637E+01  0.10963E-04  0.18598E+01  0.64019E-04  0.11658E-01  0.18481E+01  0.10000E+01
   10.5890   3.2190  23.9058   0.4229   5.8483  0.18765E+01  0.18765E+01  0.10842E-04  0.18745E+01  0.65896E-04  0.11906E-01  0.18625E+01  0.10000E+01
   10.5890   3.2110  23.9058   0.4214   5.8337  0.18893E+01  0.18893E+01  0.10795E-04  0.18892E+01  0.67827E-04  0.12028E-01  0.18771E+01  0.10000E+01
   10.5890   3.2030  23.9058   0.4198   5.8192  0.19021E+01  0.19021E+01  0.10748E-04  0.19041E+01  0.69797E-04  0.12314E-01  0.18917E+01  0.10000E+01
   10.5890   3.1950  23.9058   0.4183   5.8047  0.19150E+01  0.19150E+01  0.10700E-04  0.19189E+01  0.71854E-04  0.12541E-01  0.19063E+01  0.10000E+01
   10.5890   3.1870  23.9058   0.4168   5.7901  0.19279E+01  0.19279E+01  0.10577E-04  0.19338E+01  0.73954E-04  0.12807E-01  0.19209E+01  0.10000E+01
   10.5890   3.1790  23.9058   0.4154   5.7756  0.19408E+01  0.19408E+01  0.10529E-04  0.19489E+01  0.76117E-04  0.13054E-01  0.19358E+01  0.10000E+01
   10.5890   3.1710  23.9058   0.4139   5.7611  0.19537E+01  0.19537E+01  0.10420E-04  0.19639E+01  0.78343E-04  0.13310E-01  0.19505E+01  0.10000E+01
   10.5890   3.1630  23.9058   0.4124   5.7465  0.19667E+01  0.19667E+01  0.10379E-04  0.19791E+01  0.80629E-04  0.13562E-01  0.19654E+01  0.10000E+01
   10.5890   3.1550  23.9058   0.4109   5.7320  0.19797E+01  0.19797E+01  0.10269E-04  0.19942E+01  0.82986E-04  0.13821E-01  0.19803E+01  0.10000E+01
   10.5890   3.1470  23.9058   0.4094   5.7175  0.19927E+01  0.19927E+01  0.10227E-04  0.20095E+01  0.85411E-04  0.14102E-01  0.19953E+01  0.10000E+01
   10.5890   3.1390  23.9058   0.4079   5.7029  0.20057E+01  0.20057E+01  0.10185E-04  0.20248E+01  0.87897E-04  0.14362E-01  0.20103E+01  0.10000E+01
   10.5890   3.1310  23.9058   0.4064   5.6884  0.20188E+01  0.20188E+01  0.10143E-04  0.20400E+01  0.90457E-04  0.14643E-01  0.20253E+01  0.10000E+01
   10.5890   3.1230  23.9058   0.4050   5.6739  0.20319E+01  0.20319E+01  0.10032E-04  0.20555E+01  0.93094E-04  0.14938E-01  0.20405E+01  0.10000E+01
   10.5890   3.1150  23.9058   0.4035   5.6593  0.20450E+01  0.20450E+01  0.99911E-05  0.20709E+01  0.95801E-04  0.15203E-01  0.20556E+01  0.10000E+01
   10.5890   3.1070  23.9058   0.4020   5.6448  0.20582E+01  0.20582E+01  0.98826E-05  0.20866E+01  0.98599E-04  0.15517E-01  0.20710E+01  0.10000E+01
   10.5890   3.0990  23.9058   0.4006   5.6303  0.20714E+01  0.20714E+01  0.98416E-05  0.21021E+01  0.10147E-03  0.15804E-01  0.20862E+01  0.10000E+01
   10.5890   3.0910  23.9058   0.3991   5.6157  0.20846E+01  0.20846E+01  0.98004E-05  0.21178E+01  0.10441E-03  0.16132E-01  0.21016E+01  0.10000E+01
   10.5890   3.0830  23.9058   0.3977   5.6012  0.20978E+01  0.20978E+01  0.96905E-05  0.21335E+01  0.10745E-03  0.16441E-01  0.21170E+01  0.10000E+01
   10.5890   3.0750  23.9058   0.3962   5.5867  0.21111E+01  0.21110E+01  0.96487E-05  0.21495E+01  0.11057E-03  0.16772E-01  0.21326E+01  0.10000E+01
   10.5890   3.0670  23.9058   0.3948   5.5721  0.21243E+01  0.21243E+01  0.96067E-05  0.21653E+01  0.11377E-03  0.17094E-01  0.21481E+01  0.10000E+01
   10.5890   3.0590  23.9058   0.3933   5.5576  0.21377E+01  0.21376E+01  0.95021E-05  0.21811E+01  0.11708E-03  0.17427E-01  0.21636E+01  0.10000E+01
   10.5890   3.0510  23.9058   0.3919   5.5431  0.21510E+01  0.21510E+01  0.94662E-05  0.21972E+01  0.12050E-03  0.17767E-01  0.21793E+01  0.10000E+01
   10.5890   3.0430  23.9058   0.3904   5.5285  0.21644E+01  0.21643E+01  0.93674E-05  0.22132E+01  0.12400E-03  0.18124E-01  0.21950E+01  0.10000E+01
   10.5890   3.0350  23.9058   0.3890   5.5140  0.21777E+01  0.21777E+01  0.93309E-05  0.22293E+01  0.12754E-03  0.18459E-01  0.22108E+01  0.10000E+01
   10.5890   3.0270  23.9058   0.3875   5.4994  0.21912E+01  0.21912E+01  0.92942E-05  0.22456E+01  0.13127E-03  0.18841E-01  0.22267E+01  0.10000E+01
   10.5890   3.0190  23.9058   0.3861   5.4849  0.22046E+01  0.22046E+01  0.92574E-05  0.22619E+01  0.13503E-03  0.19199E-01  0.22426E+01  0.10000E+01
   10.5890   3.0110  23.9058   0.3847   5.4704  0.22181E+01  0.22181E+01  0.91569E-05  0.22782E+01  0.13893E-03  0.19576E-01  0.22585E+01  0.10000E+01
