 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2270  29.9674   0.6613   9.1366  0.24698E+00  0.24691E+00  0.73272E-04  0.22318E+00  0.30343E-06  0.77505E-03  0.22240E+00  0.10020E+01
   10.5890   3.2190  29.9674   0.6590   9.1139  0.25175E+00  0.25168E+00  0.71725E-04  0.22772E+00  0.31052E-06  0.78941E-03  0.22693E+00  0.10019E+01
   10.5890   3.2110  29.9674   0.6566   9.0913  0.25659E+00  0.25652E+00  0.70202E-04  0.23233E+00  0.31774E-06  0.80421E-03  0.23153E+00  0.10019E+01
   10.5890   3.2030  29.9674   0.6543   9.0686  0.26148E+00  0.26141E+00  0.68705E-04  0.23702E+00  0.32511E-06  0.81948E-03  0.23620E+00  0.10019E+01
   10.5890   3.1950  29.9674   0.6519   9.0460  0.26643E+00  0.26636E+00  0.67232E-04  0.24177E+00  0.33262E-06  0.83526E-03  0.24093E+00  0.10019E+01
   10.5890   3.1870  29.9674   0.6496   9.0233  0.27144E+00  0.27138E+00  0.65784E-04  0.24659E+00  0.34029E-06  0.85151E-03  0.24574E+00  0.10019E+01
   10.5890   3.1790  29.9674   0.6473   9.0007  0.27652E+00  0.27646E+00  0.64359E-04  0.25146E+00  0.34813E-06  0.86852E-03  0.25059E+00  0.10019E+01
   10.5890   3.1710  29.9674   0.6450   8.9780  0.28166E+00  0.28159E+00  0.62957E-04  0.25642E+00  0.35613E-06  0.88578E-03  0.25554E+00  0.10019E+01
   10.5890   3.1630  29.9674   0.6426   8.9554  0.28685E+00  0.28679E+00  0.61577E-04  0.26144E+00  0.36431E-06  0.90402E-03  0.26053E+00  0.10019E+01
   10.5890   3.1550  29.9674   0.6403   8.9327  0.29211E+00  0.29205E+00  0.60221E-04  0.26651E+00  0.37268E-06  0.92217E-03  0.26559E+00  0.10019E+01
   10.5890   3.1470  29.9674   0.6380   8.9101  0.29743E+00  0.29737E+00  0.58886E-04  0.27165E+00  0.38123E-06  0.94107E-03  0.27071E+00  0.10018E+01
   10.5890   3.1390  29.9674   0.6357   8.8874  0.30282E+00  0.30276E+00  0.57573E-04  0.27686E+00  0.38999E-06  0.96051E-03  0.27590E+00  0.10018E+01
   10.5890   3.1310  29.9674   0.6334   8.8648  0.30826E+00  0.30820E+00  0.56280E-04  0.28215E+00  0.39897E-06  0.98054E-03  0.28117E+00  0.10018E+01
   10.5890   3.1230  29.9674   0.6311   8.8421  0.31377E+00  0.31371E+00  0.55008E-04  0.28754E+00  0.40818E-06  0.10012E-02  0.28654E+00  0.10018E+01
   10.5890   3.1150  29.9674   0.6288   8.8195  0.31934E+00  0.31928E+00  0.53757E-04  0.29292E+00  0.41763E-06  0.10224E-02  0.29190E+00  0.10018E+01
   10.5890   3.1070  29.9674   0.6265   8.7968  0.32497E+00  0.32492E+00  0.52526E-04  0.29841E+00  0.42733E-06  0.10440E-02  0.29737E+00  0.10018E+01
   10.5890   3.0990  29.9674   0.6243   8.7742  0.33066E+00  0.33061E+00  0.51314E-04  0.30407E+00  0.43730E-06  0.10665E-02  0.30301E+00  0.10018E+01
   10.5890   3.0910  29.9674   0.6220   8.7515  0.33642E+00  0.33637E+00  0.50122E-04  0.30961E+00  0.44756E-06  0.10897E-02  0.30852E+00  0.10018E+01
   10.5890   3.0830  29.9674   0.6197   8.7289  0.34224E+00  0.34219E+00  0.48948E-04  0.31530E+00  0.45813E-06  0.11138E-02  0.31419E+00  0.10018E+01
   10.5890   3.0750  29.9674   0.6174   8.7062  0.34813E+00  0.34808E+00  0.47794E-04  0.32106E+00  0.46900E-06  0.11387E-02  0.31992E+00  0.10017E+01
   10.5890   3.0670  29.9674   0.6152   8.6836  0.35407E+00  0.35403E+00  0.46658E-04  0.32690E+00  0.48022E-06  0.11640E-02  0.32573E+00  0.10017E+01
   10.5890   3.0590  29.9674   0.6129   8.6609  0.36008E+00  0.36004E+00  0.45539E-04  0.33282E+00  0.49181E-06  0.11901E-02  0.33163E+00  0.10017E+01
   10.5890   3.0510  29.9674   0.6107   8.6383  0.36616E+00  0.36611E+00  0.44439E-04  0.33880E+00  0.50378E-06  0.12170E-02  0.33758E+00  0.10017E+01
   10.5890   3.0430  29.9674   0.6084   8.6156  0.37229E+00  0.37225E+00  0.43356E-04  0.34487E+00  0.51615E-06  0.12447E-02  0.34363E+00  0.10017E+01
   10.5890   3.0350  29.9674   0.6062   8.5930  0.37849E+00  0.37845E+00  0.42290E-04  0.35098E+00  0.52897E-06  0.12731E-02  0.34971E+00  0.10017E+01
