 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2270  29.9725   0.6616   9.1396  0.24639E+00  0.24631E+00  0.73345E-04  0.22262E+00  0.30272E-06  0.77342E-03  0.22185E+00  0.10020E+01
   10.5890   3.2190  29.9725   0.6592   9.1170  0.25115E+00  0.25108E+00  0.71796E-04  0.22716E+00  0.30975E-06  0.78774E-03  0.22637E+00  0.10019E+01
   10.5890   3.2110  29.9725   0.6569   9.0943  0.25597E+00  0.25590E+00  0.70273E-04  0.23176E+00  0.31700E-06  0.80248E-03  0.23096E+00  0.10019E+01
   10.5890   3.2030  29.9725   0.6545   9.0716  0.26086E+00  0.26079E+00  0.68775E-04  0.23644E+00  0.32435E-06  0.81773E-03  0.23562E+00  0.10019E+01
   10.5890   3.1950  29.9725   0.6522   9.0490  0.26580E+00  0.26574E+00  0.67301E-04  0.24118E+00  0.33185E-06  0.83346E-03  0.24035E+00  0.10019E+01
   10.5890   3.1870  29.9725   0.6498   9.0263  0.27081E+00  0.27074E+00  0.65851E-04  0.24600E+00  0.33951E-06  0.84966E-03  0.24515E+00  0.10019E+01
   10.5890   3.1790  29.9725   0.6475   9.0037  0.27588E+00  0.27581E+00  0.64426E-04  0.25086E+00  0.34733E-06  0.86636E-03  0.24999E+00  0.10019E+01
   10.5890   3.1710  29.9725   0.6452   8.9810  0.28100E+00  0.28094E+00  0.63023E-04  0.25581E+00  0.35531E-06  0.88385E-03  0.25493E+00  0.10019E+01
   10.5890   3.1630  29.9725   0.6429   8.9584  0.28619E+00  0.28613E+00  0.61643E-04  0.26082E+00  0.36347E-06  0.90166E-03  0.25992E+00  0.10019E+01
   10.5890   3.1550  29.9725   0.6405   8.9357  0.29145E+00  0.29138E+00  0.60285E-04  0.26589E+00  0.37183E-06  0.92016E-03  0.26497E+00  0.10019E+01
   10.5890   3.1470  29.9725   0.6382   8.9130  0.29676E+00  0.29670E+00  0.58950E-04  0.27102E+00  0.38037E-06  0.93900E-03  0.27008E+00  0.10018E+01
   10.5890   3.1390  29.9725   0.6359   8.8904  0.30213E+00  0.30208E+00  0.57635E-04  0.27621E+00  0.38911E-06  0.95838E-03  0.27525E+00  0.10018E+01
   10.5890   3.1310  29.9725   0.6336   8.8677  0.30757E+00  0.30751E+00  0.56342E-04  0.28150E+00  0.39806E-06  0.97837E-03  0.28052E+00  0.10018E+01
   10.5890   3.1230  29.9725   0.6313   8.8451  0.31307E+00  0.31301E+00  0.55070E-04  0.28688E+00  0.40725E-06  0.99894E-03  0.28588E+00  0.10018E+01
   10.5890   3.1150  29.9725   0.6290   8.8224  0.31863E+00  0.31858E+00  0.53818E-04  0.29225E+00  0.41668E-06  0.10201E-02  0.29123E+00  0.10018E+01
   10.5890   3.1070  29.9725   0.6267   8.7997  0.32425E+00  0.32420E+00  0.52586E-04  0.29773E+00  0.42636E-06  0.10417E-02  0.29669E+00  0.10018E+01
   10.5890   3.0990  29.9725   0.6245   8.7771  0.32994E+00  0.32989E+00  0.51374E-04  0.30338E+00  0.43630E-06  0.10642E-02  0.30232E+00  0.10018E+01
   10.5890   3.0910  29.9725   0.6222   8.7544  0.33569E+00  0.33564E+00  0.50181E-04  0.30891E+00  0.44653E-06  0.10872E-02  0.30783E+00  0.10018E+01
   10.5890   3.0830  29.9725   0.6199   8.7318  0.34150E+00  0.34145E+00  0.49006E-04  0.31460E+00  0.45708E-06  0.11113E-02  0.31349E+00  0.10018E+01
   10.5890   3.0750  29.9725   0.6176   8.7091  0.34738E+00  0.34733E+00  0.47851E-04  0.32035E+00  0.46792E-06  0.11361E-02  0.31921E+00  0.10017E+01
   10.5890   3.0670  29.9725   0.6154   8.6865  0.35332E+00  0.35327E+00  0.46715E-04  0.32618E+00  0.47910E-06  0.11614E-02  0.32502E+00  0.10017E+01
   10.5890   3.0590  29.9725   0.6131   8.6638  0.35932E+00  0.35927E+00  0.45595E-04  0.33209E+00  0.49066E-06  0.11874E-02  0.33090E+00  0.10017E+01
   10.5890   3.0510  29.9725   0.6109   8.6411  0.36538E+00  0.36534E+00  0.44494E-04  0.33806E+00  0.50259E-06  0.12142E-02  0.33684E+00  0.10017E+01
   10.5890   3.0430  29.9725   0.6086   8.6185  0.37151E+00  0.37147E+00  0.43411E-04  0.34410E+00  0.51493E-06  0.12419E-02  0.34286E+00  0.10017E+01
   10.5890   3.0350  29.9725   0.6064   8.5958  0.37770E+00  0.37766E+00  0.42345E-04  0.35023E+00  0.52770E-06  0.12702E-02  0.34896E+00  0.10017E+01
   10.5890   3.0270  29.9725   0.6041   8.5732  0.38396E+00  0.38392E+00  0.41295E-04  0.35642E+00  0.54093E-06  0.12993E-02  0.35512E+00  0.10017E+01
   10.5890   3.0190  29.9725   0.6019   8.5505  0.39028E+00  0.39024E+00  0.40262E-04  0.36268E+00  0.55466E-06  0.13295E-02  0.36135E+00  0.10017E+01
   10.5890   3.0110  29.9725   0.5997   8.5279  0.39666E+00  0.39662E+00  0.39246E-04  0.36907E+00  0.56892E-06  0.13605E-02  0.36771E+00  0.10017E+01
   10.5890   3.0030  29.9725   0.5975   8.5052  0.40311E+00  0.40307E+00  0.38245E-04  0.37547E+00  0.58374E-06  0.13923E-02  0.37408E+00  0.10017E+01
   10.5890   2.9950  29.9725   0.5952   8.4825  0.40962E+00  0.40958E+00  0.37261E-04  0.38189E+00  0.59917E-06  0.14172E-02  0.38048E+00  0.10017E+01
   10.5890   2.9870  29.9725   0.5930   8.4599  0.41620E+00  0.41616E+00  0.36293E-04  0.38846E+00  0.61524E-06  0.14589E-02  0.38700E+00  0.10016E+01
   10.5890   2.9790  29.9725   0.5908   8.4372  0.42284E+00  0.42280E+00  0.35340E-04  0.39511E+00  0.63199E-06  0.14935E-02  0.39362E+00  0.10016E+01
   10.5890   2.9710  29.9725   0.5886   8.4146  0.42954E+00  0.42951E+00  0.34402E-04  0.40182E+00  0.64951E-06  0.15292E-02  0.40029E+00  0.10016E+01
   10.5890   2.9630  29.9725   0.5864   8.3919  0.43631E+00  0.43627E+00  0.33479E-04  0.40861E+00  0.66782E-06  0.15660E-02  0.40705E+00  0.10016E+01
   10.5890   2.9550  29.9725   0.5842   8.3692  0.44314E+00  0.44311E+00  0.32571E-04  0.41546E+00  0.68697E-06  0.16037E-02  0.41386E+00  0.10016E+01
   10.5890   3.2270  30.0525   0.6650   9.1873  0.23718E+00  0.23711E+00  0.74482E-04  0.21404E+00  0.29167E-06  0.74834E-03  0.21330E+00  0.10020E+01
   10.5890   3.2190  30.0525   0.6626   9.1646  0.24183E+00  0.24175E+00  0.72918E-04  0.21848E+00  0.29854E-06  0.76204E-03  0.21772E+00  0.10020E+01
   10.5890   3.2110  30.0525   0.6603   9.1418  0.24653E+00  0.24646E+00  0.71380E-04  0.22296E+00  0.30551E-06  0.77620E-03  0.22218E+00  0.10020E+01
   10.5890   3.2030  30.0525   0.6579   9.1190  0.25129E+00  0.25122E+00  0.69867E-04  0.22752E+00  0.31270E-06  0.79079E-03  0.22672E+00  0.10019E+01
   10.5890   3.1950  30.0525   0.6556   9.0962  0.25612E+00  0.25605E+00  0.68379E-04  0.23212E+00  0.31999E-06  0.80587E-03  0.23131E+00  0.10019E+01
