 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.187175736       2.58587646       15.8116999       3.22700000       25.5290146       29.3314972       1.1489474773406982     
  0.186509028       2.57946587       15.8116999       3.21900010       25.5732670       29.4115887       1.1500911712646484     
  0.185843781       2.57305527       15.8116999       3.21099997       25.6175995       29.4975033       1.1514545679092407     
  0.185179994       2.56664491       15.8116999       3.20300007       25.6620007       29.5785770       1.1526216268539429     
  0.184517562       2.56023383       15.8116999       3.19499993       25.7064857       29.6604538       1.1538120508193970     
  0.183856666       2.55382347       15.8116999       3.18700004       25.7510452       29.7393932       1.1548810005187988     
  0.183197141       2.54741287       15.8116999       3.17899990       25.7956886       29.8224468       1.1561019420623779     
  0.182539031       2.54100204       15.8116999       3.17100000       25.8404121       29.9064827       1.1573531627655029     
  0.181882381       2.53459167       15.8116999       3.16300011       25.8852177       29.9924755       1.1586719751358032     
  0.181227118       2.52818108       15.8116999       3.15499997       25.9301128       30.0736065       1.1597946882247925     
  0.180573255       2.52177024       15.8116999       3.14700007       25.9750900       30.1587448       1.1610641479492188     
  0.179920807       2.51535964       15.8116999       3.13899994       26.0201588       30.2441006       1.1623334884643555     
  0.179269776       2.50894928       15.8116999       3.13100004       26.0653191       30.3291531       1.1635826826095581     
  0.178620115       2.50253868       15.8116999       3.12299991       26.1105652       30.4132843       1.1647884845733643     
  0.177971825       2.49612784       15.8116999       3.11500001       26.1559067       30.4983864       1.1660228967666626     
  0.177324995       2.48971748       15.8116999       3.10700011       26.2013454       30.5844154       1.1672841310501099     
  0.176679492       2.48330688       15.8116999       3.09899998       26.2468796       30.6701565       1.1685258150100708     
  0.176035374       2.47689629       15.8116999       3.09100008       26.2925129       30.7558346       1.1697564125061035     
  0.175392628       2.47048545       15.8116999       3.08299994       26.3382473       30.8444729       1.1710906028747559     
  0.174751252       2.46407509       15.8116999       3.07500005       26.3840790       30.9322052       1.1723815202713013     
  0.174111232       2.45766425       15.8116999       3.06699991       26.4300194       31.0185947       1.1736122369766235     
  0.173472598       2.45125389       15.8116999       3.05900002       26.4760609       31.1075687       1.1749318838119507     
  0.172835305       2.44484329       15.8116999       3.05100012       26.5222092       31.1965370       1.1762419939041138     
  0.172199354       2.43843246       15.8116999       3.04299998       26.5684700       31.2866383       1.1775852441787720     
  0.171564773       2.43202209       15.8116999       3.03500009       26.6148357       31.3770294       1.1789300441741943     
  0.170931503       2.42561126       15.8116999       3.02699995       26.6613197       31.4664555       1.1802287101745605     
  0.170299590       2.41920090       15.8116999       3.01900005       26.7079124       31.5567970       1.1815524101257324     
  0.169668987       2.41279006       15.8116999       3.01099992       26.7546253       31.6437740       1.1827403306961060     
  0.169039771       2.40637970       15.8116999       3.00300002       26.8014526       31.7363129       1.1841266155242920     
  0.168411821       2.39996886       15.8116999       2.99499989       26.8484020       31.8293648       1.1855217218399048     
  0.167785227       2.39355850       15.8116999       2.98699999       26.8954697       31.9230003       1.1869285106658936     
  0.167159960       2.38714790       15.8116999       2.97900009       26.9426594       32.0163231       1.1883133649826050     
  0.166535959       2.38073707       15.8116999       2.97099996       26.9899788       32.1120453       1.1897766590118408     
  0.165913299       2.37432647       15.8116999       2.96300006       27.0374203       32.2067642       1.1911921501159668     
  0.165291950       2.36791587       15.8116999       2.95499992       27.0849953       32.3001137       1.1925463676452637     
  0.189062431       2.61194158       15.8916998       3.22700000       24.9574184       28.6256371       1.1469790935516357     
  0.188389003       2.60546637       15.8916998       3.21900010       25.0013695       28.7061291       1.1481822729110718     
  0.187717035       2.59899092       15.8916998       3.21099997       25.0453949       28.7856808       1.1493402719497681     
  0.187046543       2.59251595       15.8916998       3.20300007       25.0894890       28.8653812       1.1504969596862793     
  0.186377466       2.58604050       15.8916998       3.19499993       25.1336613       28.9507523       1.1518716812133789     
  0.185709909       2.57956553       15.8916998       3.18700004       25.1779099       29.0310917       1.1530381441116333     
  0.185043707       2.57309008       15.8916998       3.17899990       25.2222366       29.1123962       1.1542353630065918     
  0.184378996       2.56661487       15.8916998       3.17100000       25.2666397       29.1908855       1.1553133726119995     
  0.183715716       2.56013989       15.8916998       3.16300011       25.3111248       29.2738514       1.1565606594085693     
  0.183053836       2.55366445       15.8916998       3.15499997       25.3556938       29.3567829       1.1577984094619751     
  0.182393402       2.54718924       15.8916998       3.14700007       25.4003468       29.4399700       1.1590380668640137     
  0.181734368       2.54071403       15.8916998       3.13899994       25.4450836       29.5229053       1.1602597236633301     
  0.181076780       2.53423905       15.8916998       3.13100004       25.4899063       29.6080341       1.1615591049194336     
  0.180420578       2.52776361       15.8916998       3.12299991       25.5348225       29.6924248       1.1628209352493286     
  0.179765761       2.52128839       15.8916998       3.11500001       25.5798264       29.7771435       1.1640870571136475     
  0.179112405       2.51481342       15.8916998       3.10700011       25.6249237       29.8602238       1.1652804613113403     
  0.178460374       2.50833797       15.8916998       3.09899998       25.6701145       29.9458256       1.1665637493133545     
  0.177809775       2.50186276       15.8916998       3.09100008       25.7154007       30.0302429       1.1677922010421753     
  0.177160546       2.49538755       15.8916998       3.08299994       25.7607822       30.1152191       1.1690335273742676     
  0.176512718       2.48891258       15.8916998       3.07500005       25.8062630       30.2016487       1.1703224182128906     
  0.175866231       2.48243690       15.8916998       3.06699991       25.8518467       30.2891083       1.1716419458389282     
  0.175221160       2.47596192       15.8916998       3.05900002       25.8975315       30.3757305       1.1729198694229126     
  0.174577460       2.46948695       15.8916998       3.05100012       25.9433174       30.4616394       1.1741613149642944     
  0.173935086       2.46301126       15.8916998       3.04299998       25.9892120       30.5501938       1.1754951477050781     
  0.173294097       2.45653629       15.8916998       3.03500009       26.0352135       30.6397114       1.1768565177917480     
  0.172654465       2.45006108       15.8916998       3.02699995       26.0813217       30.7287273       1.1781890392303467     
  0.172016174       2.44358587       15.8916998       3.01900005       26.1275425       30.8177624       1.1795125007629395     
  0.171379238       2.43711066       15.8916998       3.01099992       26.1738758       30.9072018       1.1808415651321411     
  0.170743659       2.43063545       15.8916998       3.00300002       26.2203255       30.9931488       1.1820275783538818     
  0.170109361       2.42416000       15.8916998       2.99499989       26.2668877       31.0845528       1.1834120750427246     
  0.169476479       2.41768503       15.8916998       2.98699999       26.3135719       31.1753330       1.1847624778747559     
  0.168844879       2.41120982       15.8916998       2.97900009       26.3603706       31.2680740       1.1861773729324341     
  0.168214604       2.40473437       15.8916998       2.97099996       26.4072933       31.3610477       1.1875903606414795     
  0.167585671       2.39825916       15.8916998       2.96300006       26.4543400       31.4546185       1.1890153884887695     
  0.166958049       2.39178395       15.8916998       2.95499992       26.5015106       31.5494289       1.1904766559600830     
  0.190958321       2.63813376       15.9716997       3.22700000       24.3994484       27.9367943       1.1449764966964722     
  0.190278128       2.63159347       15.9716997       3.21900010       24.4431000       28.0156174       1.1461564302444458     
  0.189599440       2.62505341       15.9716997       3.21099997       24.4868183       28.0953560       1.1473665237426758     
  0.188922226       2.61851335       15.9716997       3.20300007       24.5306091       28.1751976       1.1485730409622192     
  0.188246429       2.61197281       15.9716997       3.19499993       24.5744705       28.2542629       1.1497404575347900     
  0.187572181       2.60543299       15.9716997       3.18700004       24.6184044       28.3335533       1.1509094238281250     
  0.186899304       2.59889269       15.9716997       3.17899990       24.6624203       28.4186249       1.1523047685623169     
  0.186227918       2.59235239       15.9716997       3.17100000       24.7065029       28.4985027       1.1534818410873413     
  0.185558006       2.58581257       15.9716997       3.16300011       24.7506695       28.5791721       1.1546827554702759     
  0.184889466       2.57927227       15.9716997       3.15499997       24.7949181       28.6570873       1.1557645797729492     
  0.184222415       2.57273197       15.9716997       3.14700007       24.8392448       28.7402878       1.1570515632629395     
  0.183556765       2.56619191       15.9716997       3.13899994       24.8836555       28.8219185       1.1582670211791992     
  0.182892591       2.55965185       15.9716997       3.13100004       24.9281502       28.9045486       1.1595144271850586     
  0.182229787       2.55311155       15.9716997       3.12299991       24.9727325       28.9869957       1.1607458591461182     
  0.181568429       2.54657149       15.9716997       3.11500001       25.0174007       29.0705738       1.1620141267776489     
  0.180908501       2.54003143       15.9716997       3.10700011       25.0621567       29.1556339       1.1633330583572388     
  0.180249959       2.53349137       15.9716997       3.09899998       25.1070099       29.2382145       1.1645438671112061     
  0.179592818       2.52695107       15.9716997       3.09100008       25.1519508       29.3220158       1.1657948493957520     
  0.178937078       2.52041078       15.9716997       3.08299994       25.1969852       29.4067993       1.1670761108398438     
  0.178282768       2.51387095       15.9716997       3.07500005       25.2421188       29.4908447       1.1683188676834106     
  0.177629784       2.50733042       15.9716997       3.06699991       25.2873497       29.5755920       1.1695805788040161     
  0.176978245       2.50079036       15.9716997       3.05900002       25.3326778       29.6625118       1.1709189414978027     
  0.176328108       2.49425054       15.9716997       3.05100012       25.3781052       29.7478294       1.1721848249435425     
  0.175679281       2.48771000       15.9716997       3.04299998       25.4236393       29.8341389       1.1734802722930908     
  0.175031856       2.48116994       15.9716997       3.03500009       25.4692726       29.9195805       1.1747324466705322     
  0.174385801       2.47462988       15.9716997       3.02699995       25.5150166       30.0076084       1.1760764122009277     
  0.173741132       2.46808982       15.9716997       3.01900005       25.5608654       30.0967216       1.1774531602859497     
  0.173097789       2.46154952       15.9716997       3.01099992       25.6068268       30.1852703       1.1787977218627930     
  0.172455847       2.45500946       15.9716997       3.00300002       25.6528988       30.2736626       1.1801264286041260     
  0.171815202       2.44846916       15.9716997       2.99499989       25.6990814       30.3625565       1.1814646720886230     
  0.171175957       2.44192910       15.9716997       2.98699999       25.7453804       30.4483204       1.1826711893081665     
  0.170538038       2.43538904       15.9716997       2.97900009       25.7917919       30.5389786       1.1840580701828003     
  0.169901431       2.42884874       15.9716997       2.97099996       25.8383274       30.6295147       1.1854294538497925     
  0.169266209       2.42230868       15.9716997       2.96300006       25.8849792       30.7218113       1.1868586540222168     
  0.168632269       2.41576838       15.9716997       2.95499992       25.9317551       30.8147812       1.1883029937744141     
  0.192863539       2.66445494       16.0517006       3.22700000       23.8547325       27.2650280       1.1429609060287476     
  0.192176580       2.65784955       16.0517006       3.21900010       23.8980808       27.3437405       1.1441814899444580     
  0.191491097       2.65124393       16.0517006       3.21099997       23.9414959       27.4222393       1.1453853845596313     
  0.190807149       2.64463878       16.0517006       3.20300007       23.9849796       27.5010471       1.1465945243835449     
  0.190124601       2.63803291       16.0517006       3.19499993       24.0285339       27.5794086       1.1477774381637573     
  0.189443603       2.63142776       16.0517006       3.18700004       24.0721607       27.6588287       1.1489964723587036     
  0.188764036       2.62482238       16.0517006       3.17899990       24.1158581       27.7371159       1.1501609086990356     
  0.188085958       2.61821699       16.0517006       3.17100000       24.1596298       27.8160725       1.1513451337814331     
  0.187409341       2.61161160       16.0517006       3.16300011       24.2034779       27.8998661       1.1527214050292969     
  0.186734155       2.60500622       16.0517006       3.15499997       24.2474079       27.9797020       1.1539255380630493     
  0.186060458       2.59840083       16.0517006       3.14700007       24.2914085       28.0599422       1.1551384925842285     
  0.185388148       2.59179521       16.0517006       3.13899994       24.3354950       28.1380100       1.1562538146972656     
  0.184717342       2.58519006       16.0517006       3.13100004       24.3796635       28.2202911       1.1575341224670410     
  0.184047937       2.57858467       16.0517006       3.12299991       24.4239178       28.3014126       1.1587580442428589     
  0.183379963       2.57197905       16.0517006       3.11500001       24.4682484       28.3834972       1.1600134372711182     
  0.182713479       2.56537390       16.0517006       3.10700011       24.5126743       28.4661884       1.1612844467163086     
  0.182048351       2.55876851       16.0517006       3.09899998       24.5571842       28.5486355       1.1625369787216187     
  0.181384653       2.55216289       16.0517006       3.09100008       24.6017857       28.6332455       1.1638685464859009     
  0.180722371       2.54555750       16.0517006       3.08299994       24.6464787       28.7148476       1.1650689840316772     
