                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2270  18.8150  0.11058E+02  0.12198E+02  0.52153E-02  0.12057E+02  0.11958E+02  0.52302E-02  0.11809E+02
   10.5890   3.2190  18.8150  0.11091E+02  0.12245E+02  0.53490E-02  0.12102E+02  0.12006E+02  0.53645E-02  0.11855E+02
   10.5890   3.2110  18.8150  0.11125E+02  0.12293E+02  0.54858E-02  0.12148E+02  0.12055E+02  0.55020E-02  0.11902E+02
   10.5890   3.2030  18.8150  0.11158E+02  0.12340E+02  0.56259E-02  0.12193E+02  0.12104E+02  0.56428E-02  0.11948E+02
   10.5890   3.1950  18.8150  0.11192E+02  0.12387E+02  0.57694E-02  0.12238E+02  0.12153E+02  0.57870E-02  0.11995E+02
   10.5890   3.1870  18.8150  0.11226E+02  0.12435E+02  0.59162E-02  0.12284E+02  0.12202E+02  0.59346E-02  0.12041E+02
   10.5890   3.1790  18.8150  0.11260E+02  0.12483E+02  0.60666E-02  0.12329E+02  0.12251E+02  0.60857E-02  0.12088E+02
   10.5890   3.1710  18.8150  0.11293E+02  0.12531E+02  0.62205E-02  0.12375E+02  0.12301E+02  0.62405E-02  0.12136E+02
   10.5890   3.1630  18.8150  0.11327E+02  0.12579E+02  0.63781E-02  0.12421E+02  0.12350E+02  0.63989E-02  0.12183E+02
   10.5890   3.1550  18.8150  0.11361E+02  0.12628E+02  0.65394E-02  0.12467E+02  0.12400E+02  0.65611E-02  0.12230E+02
   10.5890   3.1470  18.8150  0.11395E+02  0.12676E+02  0.67046E-02  0.12513E+02  0.12450E+02  0.67272E-02  0.12277E+02
   10.5890   3.1390  18.8150  0.11429E+02  0.12725E+02  0.68737E-02  0.12559E+02  0.12500E+02  0.68972E-02  0.12325E+02
   10.5890   3.1310  18.8150  0.11463E+02  0.12774E+02  0.70467E-02  0.12606E+02  0.12551E+02  0.70712E-02  0.12373E+02
   10.5890   3.1230  18.8150  0.11497E+02  0.12827E+02  0.72239E-02  0.12656E+02  0.12605E+02  0.72493E-02  0.12424E+02
   10.5890   3.1150  18.8150  0.11531E+02  0.12875E+02  0.74052E-02  0.12702E+02  0.12654E+02  0.74316E-02  0.12471E+02
   10.5890   3.1070  18.8150  0.11565E+02  0.12921E+02  0.75908E-02  0.12746E+02  0.12702E+02  0.76183E-02  0.12516E+02
   10.5890   3.0990  18.8150  0.11599E+02  0.12970E+02  0.77808E-02  0.12792E+02  0.12753E+02  0.78093E-02  0.12565E+02
   10.5890   3.0910  18.8150  0.11633E+02  0.13020E+02  0.79752E-02  0.12840E+02  0.12804E+02  0.80049E-02  0.12613E+02
   10.5890   3.0830  18.8150  0.11668E+02  0.13072E+02  0.81742E-02  0.12889E+02  0.12858E+02  0.82050E-02  0.12663E+02
   10.5890   3.0750  18.8150  0.11702E+02  0.13122E+02  0.83778E-02  0.12936E+02  0.12909E+02  0.84099E-02  0.12712E+02
   10.5890   3.0670  18.8150  0.11736E+02  0.13172E+02  0.85863E-02  0.12983E+02  0.12960E+02  0.86196E-02  0.12760E+02
   10.5890   3.0590  18.8150  0.11770E+02  0.13222E+02  0.87996E-02  0.13030E+02  0.13012E+02  0.88341E-02  0.12809E+02
   10.5890   3.0510  18.8150  0.11805E+02  0.13272E+02  0.90179E-02  0.13078E+02  0.13064E+02  0.90537E-02  0.12858E+02
   10.5890   3.0430  18.8150  0.11839E+02  0.13324E+02  0.92413E-02  0.13126E+02  0.13117E+02  0.92785E-02  0.12908E+02
   10.5890   3.0350  18.8150  0.11874E+02  0.13376E+02  0.94699E-02  0.13175E+02  0.13171E+02  0.95085E-02  0.12958E+02
   10.5890   3.0270  18.8150  0.11908E+02  0.13424E+02  0.97039E-02  0.13221E+02  0.13221E+02  0.97439E-02  0.13006E+02
   10.5890   3.0190  18.8150  0.11943E+02  0.13476E+02  0.99433E-02  0.13270E+02  0.13274E+02  0.99848E-02  0.13056E+02
   10.5890   3.0110  18.8150  0.11977E+02  0.13526E+02  0.10188E-01  0.13316E+02  0.13326E+02  0.10231E-01  0.13104E+02
   10.5890   3.0030  18.8150  0.12012E+02  0.13577E+02  0.10439E-01  0.13364E+02  0.13379E+02  0.10483E-01  0.13154E+02
   10.5890   2.9950  18.8150  0.12047E+02  0.13629E+02  0.10695E-01  0.13413E+02  0.13433E+02  0.10742E-01  0.13204E+02
   10.5890   2.9870  18.8150  0.12081E+02  0.13681E+02  0.10958E-01  0.13461E+02  0.13486E+02  0.11006E-01  0.13254E+02
   10.5890   2.9790  18.8150  0.12116E+02  0.13733E+02  0.11226E-01  0.13511E+02  0.13540E+02  0.11276E-01  0.13304E+02
   10.5890   2.9710  18.8150  0.12151E+02  0.13785E+02  0.11501E-01  0.13559E+02  0.13594E+02  0.11553E-01  0.13355E+02
   10.5890   2.9630  18.8150  0.12186E+02  0.13838E+02  0.11782E-01  0.13608E+02  0.13648E+02  0.11836E-01  0.13405E+02
   10.5890   2.9550  18.8150  0.12221E+02  0.13891E+02  0.12070E-01  0.13658E+02  0.13703E+02  0.12125E-01  0.13457E+02
   10.5890   3.2270  18.8950  0.10815E+02  0.11915E+02  0.48906E-02  0.11780E+02  0.11678E+02  0.49043E-02  0.11535E+02
   10.5890   3.2190  18.8950  0.10848E+02  0.11962E+02  0.50169E-02  0.11825E+02  0.11726E+02  0.50312E-02  0.11580E+02
