 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2270  20.1801   0.3037   4.1953  0.75547E+01  0.75547E+01  0.39809E-04  0.79669E+01  0.16892E-02  0.75841E-01  0.78894E+01  0.10004E+01
   10.5890   3.2190  20.1801   0.3026   4.1849  0.75839E+01  0.75838E+01  0.41470E-04  0.80064E+01  0.17392E-02  0.77036E-01  0.79276E+01  0.10004E+01
   10.5890   3.2110  20.1801   0.3015   4.1745  0.76131E+01  0.76130E+01  0.43143E-04  0.80463E+01  0.17904E-02  0.78251E-01  0.79662E+01  0.10004E+01
   10.5890   3.2030  20.1801   0.3004   4.1641  0.76423E+01  0.76422E+01  0.44825E-04  0.80853E+01  0.18431E-02  0.79488E-01  0.80039E+01  0.10004E+01
   10.5890   3.1950  20.1801   0.2994   4.1537  0.76715E+01  0.76715E+01  0.46519E-04  0.81233E+01  0.18973E-02  0.80744E-01  0.80407E+01  0.10004E+01
   10.5890   3.1870  20.1801   0.2983   4.1433  0.77008E+01  0.77008E+01  0.48222E-04  0.81633E+01  0.19529E-02  0.82020E-01  0.80793E+01  0.10004E+01
   10.5890   3.1790  20.1801   0.2972   4.1329  0.77301E+01  0.77301E+01  0.49936E-04  0.82026E+01  0.20101E-02  0.83317E-01  0.81172E+01  0.10004E+01
   10.5890   3.1710  20.1801   0.2961   4.1225  0.77595E+01  0.77594E+01  0.51660E-04  0.82426E+01  0.20687E-02  0.84635E-01  0.81559E+01  0.10004E+01
   10.5890   3.1630  20.1801   0.2951   4.1121  0.77888E+01  0.77888E+01  0.53393E-04  0.82821E+01  0.21290E-02  0.85975E-01  0.81940E+01  0.10004E+01
   10.5890   3.1550  20.1801   0.2940   4.1017  0.78183E+01  0.78182E+01  0.55137E-04  0.83214E+01  0.21909E-02  0.87337E-01  0.82319E+01  0.10004E+01
