 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.500806093       6.91875315       26.0042000       3.22700000       1.24583101       1.19414592      0.95851355791091919     
  0.499022245       6.90160084       26.0042000       3.21900010       1.25856197       1.20761919      0.95952302217483521     
  0.497242332       6.88444853       26.0042000       3.21099997       1.27135420       1.22115684      0.96051663160324097     
  0.495466262       6.86729717       26.0042000       3.20300007       1.28420663       1.23474777      0.96148681640625000     
  0.493693948       6.85014391       26.0042000       3.19499993       1.29711962       1.24842298      0.96245789527893066     
  0.491925627       6.83299255       26.0042000       3.18700004       1.31009269       1.26233149      0.96354365348815918     
  0.490160972       6.81583977       26.0042000       3.17899990       1.32312596       1.27628148      0.96459561586380005     
  0.488400191       6.79868746       26.0042000       3.17100000       1.33621883       1.29004395      0.96544361114501953     
  0.486643255       6.78153610       26.0042000       3.16300011       1.34937131       1.30405176      0.96641433238983154     
  0.484890014       6.76438379       26.0042000       3.15499997       1.36258352       1.31812882      0.96737468242645264     
  0.483140588       6.74723148       26.0042000       3.14700007       1.37585461       1.33230865      0.96834987401962280     
  0.481394857       6.73007917       26.0042000       3.13899994       1.38918531       1.34665251      0.96938294172286987     
  0.479652971       6.71292734       26.0042000       3.13100004       1.40257466       1.36102509      0.97037619352340698     
  0.477914751       6.69577503       26.0042000       3.12299991       1.41602290       1.37548304      0.97137063741683960     
  0.476180255       6.67862272       26.0042000       3.11500001       1.42952955       1.39000905      0.97235417366027832     
  0.474449545       6.66147089       26.0042000       3.10700011       1.44309449       1.40491343      0.97354221343994141     
  0.472722411       6.64431858       26.0042000       3.09899998       1.45671809       1.41944504      0.97441297769546509     
  0.470999002       6.62716627       26.0042000       3.09100008       1.47039938       1.43427336      0.97543114423751831     
  0.469279289       6.61001396       26.0042000       3.08299994       1.48413932       1.44917369      0.97644048929214478     
  0.467563272       6.59286261       26.0042000       3.07500005       1.49793649       1.46413088      0.97743189334869385     
  0.465850800       6.57570934       26.0042000       3.06699991       1.51179171       1.47922862      0.97846060991287231     
  0.464142054       6.55855751       26.0042000       3.05900002       1.52570403       1.49441659      0.97949314117431641     
  0.462437004       6.54140615       26.0042000       3.05100012       1.53967381       1.50974119      0.98055911064147949     
  0.460735381       6.52425289       26.0042000       3.04299998       1.55370116       1.52511990      0.98160439729690552     
  0.459037483       6.50710154       26.0042000       3.03500009       1.56778550       1.54058373      0.98264956474304199     
