                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2270  26.0144  0.12413E+01  0.12417E+01  0.44581E-05  0.12372E+01  0.11897E+01  0.44571E-05  0.11849E+01
   10.5890   3.2190  26.0144  0.12540E+01  0.12555E+01  0.46842E-05  0.12509E+01  0.12031E+01  0.46834E-05  0.11983E+01
   10.5890   3.2110  26.0144  0.12668E+01  0.12692E+01  0.49228E-05  0.12646E+01  0.12166E+01  0.49223E-05  0.12116E+01
   10.5890   3.2030  26.0144  0.12796E+01  0.12831E+01  0.51747E-05  0.12784E+01  0.12302E+01  0.51744E-05  0.12251E+01
   10.5890   3.1950  26.0144  0.12925E+01  0.12971E+01  0.54406E-05  0.12923E+01  0.12438E+01  0.54406E-05  0.12387E+01
   10.5890   3.1870  26.0144  0.13055E+01  0.13113E+01  0.57210E-05  0.13063E+01  0.12577E+01  0.57213E-05  0.12524E+01
   10.5890   3.1790  26.0144  0.13185E+01  0.13255E+01  0.60167E-05  0.13204E+01  0.12716E+01  0.60174E-05  0.12662E+01
   10.5890   3.1710  26.0144  0.13316E+01  0.13395E+01  0.63287E-05  0.13343E+01  0.12853E+01  0.63298E-05  0.12799E+01
   10.5890   3.1630  26.0144  0.13447E+01  0.13538E+01  0.66577E-05  0.13485E+01  0.12993E+01  0.66591E-05  0.12937E+01
   10.5890   3.1550  26.0144  0.13579E+01  0.13681E+01  0.70043E-05  0.13628E+01  0.13134E+01  0.70063E-05  0.13077E+01
   10.5890   3.1470  26.0144  0.13711E+01  0.13826E+01  0.73697E-05  0.13771E+01  0.13275E+01  0.73722E-05  0.13217E+01
   10.5890   3.1390  26.0144  0.13844E+01  0.13972E+01  0.77548E-05  0.13916E+01  0.13418E+01  0.77577E-05  0.13359E+01
   10.5890   3.1310  26.0144  0.13978E+01  0.14118E+01  0.81604E-05  0.14060E+01  0.13561E+01  0.81639E-05  0.13501E+01
   10.5890   3.1230  26.0144  0.14112E+01  0.14265E+01  0.85875E-05  0.14206E+01  0.13705E+01  0.85917E-05  0.13643E+01
   10.5890   3.1150  26.0144  0.14247E+01  0.14413E+01  0.90374E-05  0.14353E+01  0.13851E+01  0.90422E-05  0.13788E+01
   10.5890   3.1070  26.0144  0.14382E+01  0.14565E+01  0.95111E-05  0.14504E+01  0.14000E+01  0.95167E-05  0.13935E+01
   10.5890   3.0990  26.0144  0.14518E+01  0.14714E+01  0.10009E-04  0.14652E+01  0.14147E+01  0.10016E-04  0.14081E+01
   10.5890   3.0910  26.0144  0.14655E+01  0.14863E+01  0.10534E-04  0.14799E+01  0.14292E+01  0.10541E-04  0.14225E+01
   10.5890   3.0830  26.0144  0.14792E+01  0.15015E+01  0.11086E-04  0.14949E+01  0.14441E+01  0.11094E-04  0.14372E+01
   10.5890   3.0750  26.0144  0.14930E+01  0.15167E+01  0.11666E-04  0.15101E+01  0.14591E+01  0.11675E-04  0.14521E+01
   10.5890   3.0670  26.0144  0.15068E+01  0.15320E+01  0.12277E-04  0.15252E+01  0.14741E+01  0.12287E-04  0.14669E+01
   10.5890   3.0590  26.0144  0.15207E+01  0.15474E+01  0.12918E-04  0.15405E+01  0.14893E+01  0.12930E-04  0.14819E+01
   10.5890   3.0510  26.0144  0.15346E+01  0.15630E+01  0.13591E-04  0.15559E+01  0.15046E+01  0.13604E-04  0.14971E+01
   10.5890   3.0430  26.0144  0.15486E+01  0.15786E+01  0.14300E-04  0.15713E+01  0.15199E+01  0.14314E-04  0.15122E+01
   10.5890   3.0350  26.0144  0.15627E+01  0.15942E+01  0.15047E-04  0.15868E+01  0.15354E+01  0.15063E-04  0.15275E+01
   10.5890   3.0270  26.0144  0.15768E+01  0.16100E+01  0.15830E-04  0.16024E+01  0.15509E+01  0.15847E-04  0.15429E+01
   10.5890   3.0190  26.0144  0.15910E+01  0.16259E+01  0.16652E-04  0.16181E+01  0.15665E+01  0.16671E-04  0.15583E+01
   10.5890   3.0110  26.0144  0.16052E+01  0.16419E+01  0.17515E-04  0.16340E+01  0.15823E+01  0.17536E-04  0.15739E+01
   10.5890   3.0030  26.0144  0.16195E+01  0.16579E+01  0.18421E-04  0.16498E+01  0.15980E+01  0.18444E-04  0.15895E+01
   10.5890   2.9950  26.0144  0.16339E+01  0.16740E+01  0.19372E-04  0.16658E+01  0.16139E+01  0.19398E-04  0.16052E+01
   10.5890   2.9870  26.0144  0.16483E+01  0.16902E+01  0.20371E-04  0.16817E+01  0.16299E+01  0.20399E-04  0.16209E+01
   10.5890   2.9790  26.0144  0.16627E+01  0.17064E+01  0.21418E-04  0.16978E+01  0.16459E+01  0.21449E-04  0.16368E+01
   10.5890   2.9710  26.0144  0.16772E+01  0.17228E+01  0.22517E-04  0.17140E+01  0.16620E+01  0.22550E-04  0.16527E+01
   10.5890   2.9630  26.0144  0.16918E+01  0.17394E+01  0.23669E-04  0.17304E+01  0.16784E+01  0.23706E-04  0.16689E+01
   10.5890   2.9550  26.0144  0.17064E+01  0.17560E+01  0.24877E-04  0.17468E+01  0.16947E+01  0.24917E-04  0.16849E+01
   10.5890   3.2270  26.0944  0.12065E+01  0.12057E+01  0.40833E-05  0.12014E+01  0.11549E+01  0.40822E-05  0.11504E+01
   10.5890   3.2190  26.0944  0.12191E+01  0.12192E+01  0.42891E-05  0.12148E+01  0.11680E+01  0.42882E-05  0.11634E+01
   10.5890   3.2110  26.0944  0.12316E+01  0.12328E+01  0.45064E-05  0.12283E+01  0.11814E+01  0.45057E-05  0.11766E+01
   10.5890   3.2030  26.0944  0.12443E+01  0.12464E+01  0.47360E-05  0.12419E+01  0.11947E+01  0.47356E-05  0.11898E+01
   10.5890   3.1950  26.0944  0.12570E+01  0.12602E+01  0.49782E-05  0.12555E+01  0.12081E+01  0.49780E-05  0.12032E+01
   10.5890   3.1870  26.0944  0.12697E+01  0.12740E+01  0.52339E-05  0.12692E+01  0.12216E+01  0.52340E-05  0.12166E+01
   10.5890   3.1790  26.0944  0.12825E+01  0.12880E+01  0.55038E-05  0.12831E+01  0.12353E+01  0.55042E-05  0.12301E+01
   10.5890   3.1710  26.0944  0.12954E+01  0.13020E+01  0.57885E-05  0.12970E+01  0.12491E+01  0.57893E-05  0.12438E+01
   10.5890   3.1630  26.0944  0.13083E+01  0.13159E+01  0.60889E-05  0.13109E+01  0.12627E+01  0.60901E-05  0.12573E+01
   10.5890   3.1550  26.0944  0.13213E+01  0.13301E+01  0.64058E-05  0.13249E+01  0.12766E+01  0.64073E-05  0.12711E+01
   10.5890   3.1470  26.0944  0.13344E+01  0.13443E+01  0.67397E-05  0.13390E+01  0.12904E+01  0.67417E-05  0.12848E+01
   10.5890   3.1390  26.0944  0.13475E+01  0.13586E+01  0.70920E-05  0.13532E+01  0.13044E+01  0.70945E-05  0.12987E+01
   10.5890   3.1310  26.0944  0.13607E+01  0.13730E+01  0.74632E-05  0.13675E+01  0.13186E+01  0.74662E-05  0.13128E+01
   10.5890   3.1230  26.0944  0.13739E+01  0.13875E+01  0.78544E-05  0.13819E+01  0.13328E+01  0.78580E-05  0.13268E+01
   10.5890   3.1150  26.0944  0.13872E+01  0.14020E+01  0.82665E-05  0.13963E+01  0.13470E+01  0.82707E-05  0.13409E+01
   10.5890   3.1070  26.0944  0.14006E+01  0.14167E+01  0.87006E-05  0.14108E+01  0.13614E+01  0.87055E-05  0.13552E+01
   10.5890   3.0990  26.0944  0.14140E+01  0.14317E+01  0.91578E-05  0.14257E+01  0.13761E+01  0.91634E-05  0.13698E+01
   10.5890   3.0910  26.0944  0.14275E+01  0.14465E+01  0.96391E-05  0.14404E+01  0.13907E+01  0.96455E-05  0.13842E+01
   10.5890   3.0830  26.0944  0.14410E+01  0.14612E+01  0.10146E-04  0.14549E+01  0.14051E+01  0.10153E-04  0.13985E+01
   10.5890   3.0750  26.0944  0.14546E+01  0.14762E+01  0.10679E-04  0.14698E+01  0.14199E+01  0.10687E-04  0.14131E+01
   10.5890   3.0670  26.0944  0.14682E+01  0.14913E+01  0.11240E-04  0.14848E+01  0.14347E+01  0.11249E-04  0.14278E+01
   10.5890   3.0590  26.0944  0.14819E+01  0.15065E+01  0.11829E-04  0.14998E+01  0.14495E+01  0.11840E-04  0.14425E+01
   10.5890   3.0510  26.0944  0.14957E+01  0.15217E+01  0.12451E-04  0.15149E+01  0.14646E+01  0.12462E-04  0.14573E+01
   10.5890   3.0430  26.0944  0.15095E+01  0.15371E+01  0.13104E-04  0.15301E+01  0.14797E+01  0.13116E-04  0.14723E+01
   10.5890   3.0350  26.0944  0.15234E+01  0.15526E+01  0.13788E-04  0.15454E+01  0.14949E+01  0.13802E-04  0.14873E+01
   10.5890   3.0270  26.0944  0.15373E+01  0.15682E+01  0.14511E-04  0.15609E+01  0.15102E+01  0.14527E-04  0.15025E+01
   10.5890   3.0190  26.0944  0.15513E+01  0.15837E+01  0.15269E-04  0.15763E+01  0.15256E+01  0.15286E-04  0.15177E+01
   10.5890   3.0110  26.0944  0.15654E+01  0.15995E+01  0.16065E-04  0.15918E+01  0.15410E+01  0.16084E-04  0.15330E+01
   10.5890   3.0030  26.0944  0.15795E+01  0.16152E+01  0.16901E-04  0.16074E+01  0.15565E+01  0.16922E-04  0.15483E+01
   10.5890   2.9950  26.0944  0.15936E+01  0.16312E+01  0.17780E-04  0.16232E+01  0.15723E+01  0.17803E-04  0.15638E+01
   10.5890   2.9870  26.0944  0.16078E+01  0.16471E+01  0.18702E-04  0.16390E+01  0.15880E+01  0.18727E-04  0.15794E+01
   10.5890   2.9790  26.0944  0.16221E+01  0.16632E+01  0.19670E-04  0.16549E+01  0.16038E+01  0.19698E-04  0.15950E+01
