 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.501192391       6.92408991       26.0144005       3.22700000       1.24133575       1.18967140      0.95838004350662231     
  0.499407202       6.90692472       26.0144005       3.21900010       1.25404191       1.20309484      0.95937371253967285     
  0.497625858       6.88975906       26.0144005       3.21099997       1.26680958       1.21657717      0.96034729480743408     
  0.495848477       6.87259436       26.0144005       3.20300007       1.27963722       1.23016298      0.96133726835250854     
  0.494074732       6.85542774       26.0144005       3.19499993       1.29252589       1.24380732      0.96230745315551758     
  0.492305070       6.83826303       26.0144005       3.18700004       1.30547416       1.25767636      0.96338665485382080     
  0.490539074       6.82109737       26.0144005       3.17899990       1.31848300       1.27158356      0.96442925930023193     
  0.488776892       6.80393171       26.0144005       3.17100000       1.33155143       1.28533149      0.96528863906860352     
  0.487018615       6.78676701       26.0144005       3.16300011       1.34467947       1.29932892      0.96627408266067505     
  0.485264003       6.76960135       26.0144005       3.15499997       1.35786736       1.31336570      0.96722680330276489     
  0.483513236       6.75243568       26.0144005       3.14700007       1.37111425       1.32751727      0.96820324659347534     
  0.481766164       6.73527002       26.0144005       3.13899994       1.38442075       1.34183061      0.96923613548278809     
  0.480022937       6.71810532       26.0144005       3.13100004       1.39778566       1.35613418      0.97020179033279419     
  0.478283376       6.70093966       26.0144005       3.12299991       1.41120982       1.37054229      0.97118252515792847     
  0.476547509       6.68377399       26.0144005       3.11500001       1.42469251       1.38509500      0.97220629453659058     
  0.474815488       6.66660929       26.0144005       3.10700011       1.43823349       1.39996350      0.97339099645614624     
  0.473087043       6.64944363       26.0144005       3.09899998       1.45183313       1.41466737      0.97440081834793091     
  0.471362293       6.63227797       26.0144005       3.09100008       1.46549058       1.42921722      0.97524833679199219     
  0.469641298       6.61511278       26.0144005       3.08299994       1.47920644       1.44413853      0.97629272937774658     
  0.467923909       6.59794760       26.0144005       3.07500005       1.49297976       1.45912111      0.97732144594192505     
  0.466210097       6.58078146       26.0144005       3.06699991       1.50681114       1.47412407      0.97830712795257568     
  0.464500099       6.56361675       26.0144005       3.05900002       1.52069986       1.48929155      0.97934615612030029     
  0.462793678       6.54645157       26.0144005       3.05100012       1.53464592       1.50457847      0.98040759563446045     
  0.461090773       6.52928543       26.0144005       3.04299998       1.54864967       1.51992452      0.98145151138305664     
  0.459391564       6.51212072       26.0144005       3.03500009       1.56271064       1.53536248      0.98249953985214233     
  0.457695931       6.49495506       26.0144005       3.02699995       1.57682872       1.55087280      0.98353916406631470     
  0.456003904       6.47778988       26.0144005       3.01900005       1.59100342       1.56647968      0.98458600044250488     
  0.454315364       6.46062422       26.0144005       3.01099992       1.60523534       1.58226478      0.98569023609161377     
  0.452630520       6.44345903       26.0144005       3.00300002       1.61952341       1.59799218      0.98670518398284912     
  0.450949073       6.42629290       26.0144005       2.99499989       1.63386869       1.61392176      0.98779159784317017     
  0.449271291       6.40912819       26.0144005       2.98699999       1.64826989       1.62985539      0.98882800340652466     
  0.447596997       6.39196301       26.0144005       2.97900009       1.66272759       1.64588833      0.98987251520156860     
  0.445926160       6.37479687       26.0144005       2.97099996       1.67724180       1.66198814      0.99090552330017090     
  0.444258928       6.35763168       26.0144005       2.96300006       1.69181168       1.67840230      0.99207395315170288     
  0.442595094       6.34046602       26.0144005       2.95499992       1.70643806       1.69468176      0.99311059713363647     
  0.504226089       6.96600103       26.0944004       3.22700000       1.20654261       1.15491629      0.95721137523651123     
  0.502430022       6.94873142       26.0944004       3.21900010       1.21905529       1.16803634      0.95814877748489380     
  0.500637949       6.93146181       26.0944004       3.21099997       1.23162973       1.18135297      0.95917868614196777     
  0.498849779       6.91419315       26.0944004       3.20300007       1.24426460       1.19468725      0.96015530824661255     
  0.497065336       6.89692307       26.0944004       3.19499993       1.25696075       1.20812201      0.96114540100097656     
  0.495284945       6.87965441       26.0944004       3.18700004       1.26971722       1.22161674      0.96211719512939453     
  0.493508250       6.86238480       26.0944004       3.17899990       1.28253472       1.23527324      0.96314996480941772     
  0.491735399       6.84511518       26.0944004       3.17100000       1.29541194       1.24906087      0.96421903371810913     
  0.489966482       6.82784653       26.0944004       3.16300011       1.30834925       1.26268101      0.96509474515914917     
  0.488201261       6.81057692       26.0944004       3.15499997       1.32134700       1.27656138      0.96610611677169800     
  0.486439943       6.79330778       26.0944004       3.14700007       1.33440387       1.29043949      0.96705317497253418     
  0.484682262       6.77603817       26.0944004       3.13899994       1.34752107       1.30444193      0.96803081035614014     
  0.482928485       6.75876951       26.0944004       3.13100004       1.36069679       1.31860304      0.96906453371047974     
  0.481178403       6.74149990       26.0944004       3.12299991       1.37393248       1.33278859      0.97005391120910645     
  0.479432017       6.72423029       26.0944004       3.11500001       1.38722670       1.34702814      0.97102236747741699     
  0.477689505       6.70696163       26.0944004       3.10700011       1.40057993       1.36142409      0.97204309701919556     
  0.475950599       6.68969202       26.0944004       3.09899998       1.41399217       1.37613237      0.97322487831115723     
  0.474215448       6.67242289       26.0944004       3.09100008       1.42746270       1.39068782      0.97423762083053589     
  0.472483963       6.65515327       26.0944004       3.08299994       1.44099200       1.40510118      0.97509300708770752     
  0.470756233       6.63788462       26.0944004       3.07500005       1.45457900       1.41986954      0.97613781690597534     
  0.469032019       6.62061405       26.0944004       3.06699991       1.46822476       1.43469989      0.97716641426086426     
  0.467311651       6.60334539       26.0944004       3.05900002       1.48192787       1.44954085      0.97814536094665527     
  0.465594918       6.58607674       26.0944004       3.05100012       1.49568880       1.46457970      0.97920083999633789     
  0.463881731       6.56880665       26.0944004       3.04299998       1.50950789       1.47968900      0.98024594783782959     
  0.462172210       6.55153799       26.0944004       3.03500009       1.52338409       1.49489570      0.98129928112030029     
  0.460466295       6.53426838       26.0944004       3.02699995       1.53731835       1.51021731      0.98237121105194092     
  0.458764046       6.51699924       26.0944004       3.01900005       1.55130959       1.52555025      0.98339509963989258     
  0.457065284       6.49972963       26.0944004       3.01099992       1.56535816       1.54102349      0.98445427417755127     
  0.455370218       6.48246050       26.0944004       3.00300002       1.57946372       1.55652297      0.98547559976577759     
  0.453678638       6.46519089       26.0944004       2.99499989       1.59362650       1.57226145      0.98659342527389526     
  0.451990664       6.44792223       26.0944004       2.98699999       1.60784566       1.58799469      0.98765367269515991     
  0.450306267       6.43065310       26.0944004       2.97900009       1.62212157       1.60379124      0.98869979381561279     
  0.448625296       6.41338301       26.0944004       2.97099996       1.63645446       1.61968648      0.98975348472595215     
  0.446947962       6.39611387       26.0944004       2.96300006       1.65084362       1.63563073      0.99078476428985596     
  0.445274055       6.37884426       26.0944004       2.95499992       1.66528952       1.65171659      0.99184948205947876     
  0.507268548       7.00803328       26.1744003       3.22700000       1.17255771       1.12096167      0.95599699020385742     
  0.505461633       6.99065924       26.1744003       3.21900010       1.18487811       1.13393199      0.95700305700302124     
  0.503658772       6.97328568       26.1744003       3.21099997       1.19726026       1.14692128      0.95795482397079468     
  0.501859784       6.95591259       26.1744003       3.20300007       1.20970356       1.16001666      0.95892637968063354     
  0.500064552       6.93853807       26.1744003       3.19499993       1.22220862       1.17326677      0.95995622873306274     
  0.498273432       6.92116547       26.1744003       3.18700004       1.23477423       1.18656468      0.96095681190490723     
  0.496486008       6.90379143       26.1744003       3.17899990       1.24740124       1.19991446      0.96193140745162964     
  0.494702488       6.88641787       26.1744003       3.17100000       1.26008844       1.21340525      0.96295243501663208     
  0.492922932       6.86904526       26.1744003       3.16300011       1.27283597       1.22699630      0.96398621797561646     
  0.491147012       6.85167122       26.1744003       3.15499997       1.28564441       1.24053144      0.96491020917892456     
  0.489375025       6.83429766       26.1744003       3.14700007       1.29851270       1.25426984      0.96592807769775391     
  0.487606764       6.81692410       26.1744003       3.13899994       1.31144094       1.26801598      0.96688759326934814     
  0.485842407       6.79955101       26.1744003       3.13100004       1.32442904       1.28186393      0.96786153316497803     
  0.484081775       6.78217745       26.1744003       3.12299991       1.33747685       1.29548621      0.96860456466674805     
  0.482324868       6.76480389       26.1744003       3.11500001       1.35058391       1.30991066      0.96988469362258911     
  0.480571836       6.74743080       26.1744003       3.10700011       1.36375010       1.32402480      0.97087055444717407     
  0.478822440       6.73005724       26.1744003       3.09899998       1.37697577       1.33826256      0.97188532352447510     
  0.477076769       6.71268320       26.1744003       3.09100008       1.39026022       1.35259974      0.97291117906570435     
  0.475334883       6.69530964       26.1744003       3.08299994       1.40360379       1.36721969      0.97407805919647217     
  0.473596692       6.67793655       26.1744003       3.07500005       1.41700554       1.38149571      0.97494024038314819     
  0.471862108       6.66056204       26.1744003       3.06699991       1.43046606       1.39611316      0.97598481178283691     
  0.470131367       6.64318943       26.1744003       3.05900002       1.44398487       1.41083038      0.97703957557678223     
  0.468404263       6.62581635       26.1744003       3.05100012       1.45756161       1.42548811      0.97799509763717651     
  0.466680706       6.60844183       26.1744003       3.04299998       1.47119713       1.44033587      0.97902303934097290     
  0.464960933       6.59106922       26.1744003       3.03500009       1.48488986       1.45534885      0.98010557889938354     
  0.463244706       6.57369518       26.1744003       3.02699995       1.49864101       1.47039735      0.98115384578704834     
  0.461532146       6.55632210       26.1744003       3.01900005       1.51244938       1.48553824      0.98220694065093994     
  0.459823191       6.53894854       26.1744003       3.01099992       1.52631593       1.50075960      0.98325622081756592     
  0.458117872       6.52157497       26.1744003       3.00300002       1.54023921       1.51609910      0.98432701826095581     
  0.456416041       6.50420094       26.1744003       2.99499989       1.55422068       1.53144777      0.98534768819808960     
  0.454717934       6.48682785       26.1744003       2.98699999       1.56825876       1.54701972      0.98645693063735962     
  0.453023374       6.46945477       26.1744003       2.97900009       1.58235383       1.56260490      0.98751926422119141     
  0.451332241       6.45208073       26.1744003       2.97099996       1.59650636       1.57826889      0.98857665061950684     
  0.449644774       6.43470716       26.1744003       2.96300006       1.61071527       1.59403050      0.98964136838912964     
  0.447960824       6.41733360       26.1744003       2.95499992       1.62498152       1.60981679      0.99066776037216187     
  0.510319591       7.05018473       26.2544003       3.22700000       1.13936591       1.08789825      0.95482778549194336     
  0.508501887       7.03270674       26.2544003       3.21900010       1.15149486       1.10060811      0.95580810308456421     
  0.506688118       7.01522827       26.2544003       3.21099997       1.16368616       1.11342037      0.95680469274520874     
  0.504878342       6.99775076       26.2544003       3.20300007       1.17593896       1.12634170      0.95782327651977539     
  0.503072321       6.98027182       26.2544003       3.19499993       1.18825376       1.13924646      0.95875686407089233     
  0.501270413       6.96279478       26.2544003       3.18700004       1.20062947       1.15233040      0.95977187156677246     
  0.499472260       6.94531631       26.2544003       3.17899990       1.21306694       1.16548038      0.96077167987823486     
  0.497678041       6.92783833       26.2544003       3.17100000       1.22556508       1.17868829      0.96175086498260498     
  0.495887727       6.91036081       26.2544003       3.16300011       1.23812425       1.19197619      0.96272742748260498     
  0.494101137       6.89288235       26.2544003       3.15499997       1.25074434       1.20545697      0.96379166841506958     
  0.492318511       6.87540436       26.2544003       3.14700007       1.26342452       1.21902275      0.96485602855682373     
  0.490539640       6.85792637       26.2544003       3.13899994       1.27616560       1.23245311      0.96574699878692627     
  0.488764673       6.84044886       26.2544003       3.13100004       1.28896654       1.24607921      0.96672737598419189     
  0.486993402       6.82297039       26.2544003       3.12299991       1.30182755       1.25977695      0.96769881248474121     
  0.485225916       6.80549240       26.2544003       3.11500001       1.31474841       1.27357185      0.96868103742599487     
  0.483462334       6.78801489       26.2544003       3.10700011       1.32772863       1.28753138      0.96972477436065674     
  0.481702447       6.77053690       26.2544003       3.09899998       1.34076881       1.30151844      0.97072547674179077     
  0.479946285       6.75305843       26.2544003       3.09100008       1.35386813       1.31559932      0.97173374891281128     
  0.478193909       6.73558044       26.2544003       3.08299994       1.36702681       1.32974005      0.97272419929504395     
  0.476445258       6.71810293       26.2544003       3.07500005       1.38024437       1.34425318      0.97392404079437256     
  0.474700272       6.70062399       26.2544003       3.06699991       1.39352107       1.35839820      0.97479557991027832     
  0.472959101       6.68314648       26.2544003       3.05900002       1.40685606       1.37285006      0.97582834959030151     
  0.471221626       6.66566944       26.2544003       3.05100012       1.42024958       1.38738739      0.97686165571212769     
