                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2270  15.0475  0.34823E+02  0.41515E+02  0.87997E-01  0.40365E+02  0.41408E+02  0.88398E-01  0.40189E+02
   10.5890   3.2190  15.0475  0.34864E+02  0.41604E+02  0.89553E-01  0.40440E+02  0.41504E+02  0.89966E-01  0.40271E+02
   10.5890   3.2110  15.0475  0.34905E+02  0.41693E+02  0.91135E-01  0.40516E+02  0.41601E+02  0.91560E-01  0.40353E+02
   10.5890   3.2030  15.0475  0.34947E+02  0.41783E+02  0.92744E-01  0.40592E+02  0.41697E+02  0.93182E-01  0.40435E+02
   10.5890   3.1950  15.0475  0.34988E+02  0.41871E+02  0.94380E-01  0.40666E+02  0.41793E+02  0.94830E-01  0.40516E+02
   10.5890   3.1870  15.0475  0.35029E+02  0.41961E+02  0.96043E-01  0.40742E+02  0.41892E+02  0.96507E-01  0.40599E+02
   10.5890   3.1790  15.0475  0.35071E+02  0.42054E+02  0.97735E-01  0.40821E+02  0.41991E+02  0.98212E-01  0.40684E+02
   10.5890   3.1710  15.0475  0.35112E+02  0.42148E+02  0.99455E-01  0.40900E+02  0.42093E+02  0.99946E-01  0.40770E+02
   10.5890   3.1630  15.0475  0.35154E+02  0.42237E+02  0.10120E+00  0.40975E+02  0.42190E+02  0.10171E+00  0.40851E+02
   10.5890   3.1550  15.0475  0.35196E+02  0.42328E+02  0.10298E+00  0.41051E+02  0.42288E+02  0.10350E+00  0.40933E+02
   10.5890   3.1470  15.0475  0.35238E+02  0.42422E+02  0.10479E+00  0.41129E+02  0.42389E+02  0.10532E+00  0.41018E+02
   10.5890   3.1390  15.0475  0.35279E+02  0.42514E+02  0.10663E+00  0.41206E+02  0.42489E+02  0.10718E+00  0.41102E+02
   10.5890   3.1310  15.0475  0.35322E+02  0.42603E+02  0.10850E+00  0.41279E+02  0.42587E+02  0.10906E+00  0.41183E+02
   10.5890   3.1230  15.0475  0.35364E+02  0.42698E+02  0.11040E+00  0.41359E+02  0.42690E+02  0.11098E+00  0.41269E+02
   10.5890   3.1150  15.0475  0.35406E+02  0.42793E+02  0.11233E+00  0.41438E+02  0.42791E+02  0.11293E+00  0.41354E+02
   10.5890   3.1070  15.0475  0.35448E+02  0.42890E+02  0.11430E+00  0.41519E+02  0.42895E+02  0.11491E+00  0.41442E+02
   10.5890   3.0990  15.0475  0.35491E+02  0.42988E+02  0.11630E+00  0.41601E+02  0.43002E+02  0.11693E+00  0.41531E+02
   10.5890   3.0910  15.0475  0.35534E+02  0.43087E+02  0.11833E+00  0.41683E+02  0.43108E+02  0.11898E+00  0.41619E+02
   10.5890   3.0830  15.0475  0.35576E+02  0.43201E+02  0.12039E+00  0.41780E+02  0.43215E+02  0.12106E+00  0.41709E+02
   10.5890   3.0750  15.0475  0.35619E+02  0.43298E+02  0.12250E+00  0.41861E+02  0.43321E+02  0.12318E+00  0.41797E+02
   10.5890   3.0670  15.0475  0.35662E+02  0.43396E+02  0.12463E+00  0.41942E+02  0.43458E+02  0.12533E+00  0.41916E+02
   10.5890   3.0590  15.0475  0.35706E+02  0.43474E+02  0.12680E+00  0.42002E+02  0.43564E+02  0.12752E+00  0.42004E+02
   10.5890   3.0510  15.0475  0.35749E+02  0.43571E+02  0.12901E+00  0.42082E+02  0.43632E+02  0.12975E+00  0.42053E+02
   10.5890   3.0430  15.0475  0.35792E+02  0.43670E+02  0.13126E+00  0.42164E+02  0.43739E+02  0.13202E+00  0.42141E+02
   10.5890   3.0350  15.0475  0.35836E+02  0.43769E+02  0.13354E+00  0.42244E+02  0.43846E+02  0.13432E+00  0.42229E+02
