 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2270  15.8117   0.1872   2.5859  0.28241E+02  0.28240E+02  0.12377E-02  0.32959E+02  0.51145E-01  0.78477E+00  0.32123E+02  0.10002E+01
   10.5890   3.2190  15.8117   0.1865   2.5795  0.28281E+02  0.28280E+02  0.12424E-02  0.33041E+02  0.52121E-01  0.79411E+00  0.32194E+02  0.10002E+01
   10.5890   3.2110  15.8117   0.1858   2.5731  0.28321E+02  0.28320E+02  0.12470E-02  0.33130E+02  0.53115E-01  0.80357E+00  0.32274E+02  0.10002E+01
   10.5890   3.2030  15.8117   0.1852   2.5666  0.28361E+02  0.28359E+02  0.12515E-02  0.33214E+02  0.54128E-01  0.81316E+00  0.32347E+02  0.10002E+01
   10.5890   3.1950  15.8117   0.1845   2.5602  0.28401E+02  0.28399E+02  0.12561E-02  0.33293E+02  0.55159E-01  0.82287E+00  0.32415E+02  0.10002E+01
   10.5890   3.1870  15.8117   0.1839   2.5538  0.28441E+02  0.28439E+02  0.12606E-02  0.33378E+02  0.56208E-01  0.83270E+00  0.32489E+02  0.10002E+01
   10.5890   3.1790  15.8117   0.1832   2.5474  0.28481E+02  0.28479E+02  0.12650E-02  0.33464E+02  0.57276E-01  0.84265E+00  0.32564E+02  0.10002E+01
   10.5890   3.1710  15.8117   0.1825   2.5410  0.28521E+02  0.28519E+02  0.12694E-02  0.33551E+02  0.58365E-01  0.85273E+00  0.32640E+02  0.10002E+01
   10.5890   3.1630  15.8117   0.1819   2.5346  0.28561E+02  0.28560E+02  0.12738E-02  0.33637E+02  0.59472E-01  0.86293E+00  0.32715E+02  0.10002E+01
   10.5890   3.1550  15.8117   0.1812   2.5282  0.28601E+02  0.28600E+02  0.12782E-02  0.33723E+02  0.60600E-01  0.87326E+00  0.32789E+02  0.10002E+01
   10.5890   3.1470  15.8117   0.1806   2.5218  0.28642E+02  0.28640E+02  0.12825E-02  0.33810E+02  0.61747E-01  0.88372E+00  0.32864E+02  0.10002E+01
   10.5890   3.1390  15.8117   0.1799   2.5154  0.28682E+02  0.28681E+02  0.12868E-02  0.33898E+02  0.62916E-01  0.89432E+00  0.32940E+02  0.10002E+01
   10.5890   3.1310  15.8117   0.1793   2.5089  0.28722E+02  0.28721E+02  0.12911E-02  0.33986E+02  0.64105E-01  0.90505E+00  0.33017E+02  0.10002E+01
   10.5890   3.1230  15.8117   0.1786   2.5025  0.28763E+02  0.28762E+02  0.12953E-02  0.34074E+02  0.65316E-01  0.91591E+00  0.33092E+02  0.10002E+01
   10.5890   3.1150  15.8117   0.1780   2.4961  0.28804E+02  0.28802E+02  0.12995E-02  0.34161E+02  0.66549E-01  0.92691E+00  0.33168E+02  0.10002E+01
   10.5890   3.1070  15.8117   0.1773   2.4897  0.28844E+02  0.28843E+02  0.13036E-02  0.34250E+02  0.67804E-01  0.93793E+00  0.33244E+02  0.10002E+01
   10.5890   3.0990  15.8117   0.1767   2.4833  0.28885E+02  0.28884E+02  0.13077E-02  0.34338E+02  0.69081E-01  0.94921E+00  0.33320E+02  0.10002E+01
   10.5890   3.0910  15.8117   0.1760   2.4769  0.28926E+02  0.28925E+02  0.13118E-02  0.34429E+02  0.70382E-01  0.96066E+00  0.33398E+02  0.10002E+01
   10.5890   3.0830  15.8117   0.1754   2.4705  0.28967E+02  0.28965E+02  0.13159E-02  0.34518E+02  0.71706E-01  0.97224E+00  0.33474E+02  0.10002E+01
   10.5890   3.0750  15.8117   0.1748   2.4641  0.29008E+02  0.29006E+02  0.13199E-02  0.34609E+02  0.73054E-01  0.98410E+00  0.33552E+02  0.10002E+01
   10.5890   3.0670  15.8117   0.1741   2.4577  0.29049E+02  0.29048E+02  0.13239E-02  0.34699E+02  0.74426E-01  0.99598E+00  0.33629E+02  0.10002E+01
   10.5890   3.0590  15.8117   0.1735   2.4513  0.29090E+02  0.29089E+02  0.13278E-02  0.34790E+02  0.75822E-01  0.10080E+01  0.33706E+02  0.10002E+01
   10.5890   3.0510  15.8117   0.1728   2.4448  0.29131E+02  0.29130E+02  0.13317E-02  0.34882E+02  0.77244E-01  0.10202E+01  0.33785E+02  0.10002E+01
   10.5890   3.0430  15.8117   0.1722   2.4384  0.29173E+02  0.29171E+02  0.13356E-02  0.34976E+02  0.78692E-01  0.10325E+01  0.33865E+02  0.10002E+01
   10.5890   3.0350  15.8117   0.1716   2.4320  0.29214E+02  0.29213E+02  0.13394E-02  0.35069E+02  0.80165E-01  0.10450E+01  0.33944E+02  0.10002E+01
