                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2270  28.0487  0.72331E+00  0.70793E+00  0.77060E-06  0.70558E+00  0.67338E+00  0.76968E-06  0.67088E+00
   10.5890   3.2190  28.0487  0.73314E+00  0.71815E+00  0.79251E-06  0.71575E+00  0.68327E+00  0.79161E-06  0.68071E+00
   10.5890   3.2110  28.0487  0.74303E+00  0.72848E+00  0.81550E-06  0.72604E+00  0.69326E+00  0.81461E-06  0.69067E+00
   10.5890   3.2030  28.0487  0.75300E+00  0.73889E+00  0.83962E-06  0.73638E+00  0.70334E+00  0.83876E-06  0.70068E+00
   10.5890   3.1950  28.0487  0.76304E+00  0.74939E+00  0.86498E-06  0.74683E+00  0.71351E+00  0.86413E-06  0.71080E+00
   10.5890   3.1870  28.0487  0.77316E+00  0.75998E+00  0.89164E-06  0.75737E+00  0.72373E+00  0.89082E-06  0.72096E+00
   10.5890   3.1790  28.0487  0.78334E+00  0.77058E+00  0.91971E-06  0.76791E+00  0.73404E+00  0.91891E-06  0.73121E+00
   10.5890   3.1710  28.0487  0.79359E+00  0.78131E+00  0.94928E-06  0.77859E+00  0.74444E+00  0.94851E-06  0.74155E+00
   10.5890   3.1630  28.0487  0.80391E+00  0.79217E+00  0.98079E-06  0.78940E+00  0.75497E+00  0.98004E-06  0.75202E+00
   10.5890   3.1550  28.0487  0.81431E+00  0.80302E+00  0.10133E-05  0.80019E+00  0.76549E+00  0.10126E-05  0.76248E+00
   10.5890   3.1470  28.0487  0.82477E+00  0.81407E+00  0.10481E-05  0.81117E+00  0.77621E+00  0.10474E-05  0.77313E+00
   10.5890   3.1390  28.0487  0.83530E+00  0.82517E+00  0.10848E-05  0.82222E+00  0.78699E+00  0.10841E-05  0.78385E+00
   10.5890   3.1310  28.0487  0.84591E+00  0.83634E+00  0.11236E-05  0.83332E+00  0.79783E+00  0.11229E-05  0.79462E+00
   10.5890   3.1230  28.0487  0.85658E+00  0.84758E+00  0.11646E-05  0.84449E+00  0.80874E+00  0.11640E-05  0.80547E+00
   10.5890   3.1150  28.0487  0.86732E+00  0.85897E+00  0.12081E-05  0.85581E+00  0.81980E+00  0.12075E-05  0.81645E+00
   10.5890   3.1070  28.0487  0.87814E+00  0.87040E+00  0.12540E-05  0.86717E+00  0.83091E+00  0.12535E-05  0.82749E+00
   10.5890   3.0990  28.0487  0.88902E+00  0.88196E+00  0.13027E-05  0.87867E+00  0.84215E+00  0.13023E-05  0.83865E+00
   10.5890   3.0910  28.0487  0.89997E+00  0.89359E+00  0.13544E-05  0.89022E+00  0.85346E+00  0.13540E-05  0.84988E+00
   10.5890   3.0830  28.0487  0.91099E+00  0.90534E+00  0.14092E-05  0.90190E+00  0.86489E+00  0.14088E-05  0.86124E+00
   10.5890   3.0750  28.0487  0.92208E+00  0.91720E+00  0.14672E-05  0.91368E+00  0.87643E+00  0.14670E-05  0.87270E+00
   10.5890   3.0670  28.0487  0.93323E+00  0.92912E+00  0.15288E-05  0.92552E+00  0.88803E+00  0.15286E-05  0.88421E+00
   10.5890   3.0590  28.0487  0.94446E+00  0.94109E+00  0.15941E-05  0.93742E+00  0.89969E+00  0.15940E-05  0.89579E+00
   10.5890   3.0510  28.0487  0.95576E+00  0.95316E+00  0.16635E-05  0.94940E+00  0.91144E+00  0.16635E-05  0.90745E+00
   10.5890   3.0430  28.0487  0.96712E+00  0.96533E+00  0.17372E-05  0.96148E+00  0.92330E+00  0.17373E-05  0.91922E+00
   10.5890   3.0350  28.0487  0.97855E+00  0.97768E+00  0.18153E-05  0.97374E+00  0.93534E+00  0.18155E-05  0.93117E+00
   10.5890   3.0270  28.0487  0.99005E+00  0.98995E+00  0.18982E-05  0.98593E+00  0.94731E+00  0.18986E-05  0.94304E+00
   10.5890   3.0190  28.0487  0.10016E+01  0.10024E+01  0.19864E-05  0.99829E+00  0.95946E+00  0.19869E-05  0.95509E+00
   10.5890   3.0110  28.0487  0.10132E+01  0.10149E+01  0.20799E-05  0.10107E+01  0.97169E+00  0.20806E-05  0.96723E+00
   10.5890   3.0030  28.0487  0.10250E+01  0.10276E+01  0.21793E-05  0.10233E+01  0.98400E+00  0.21802E-05  0.97944E+00
   10.5890   2.9950  28.0487  0.10367E+01  0.10403E+01  0.22848E-05  0.10359E+01  0.99643E+00  0.22859E-05  0.99177E+00
   10.5890   2.9870  28.0487  0.10486E+01  0.10531E+01  0.23971E-05  0.10486E+01  0.10090E+01  0.23984E-05  0.10042E+01
   10.5890   2.9790  28.0487  0.10605E+01  0.10660E+01  0.25157E-05  0.10614E+01  0.10216E+01  0.25173E-05  0.10167E+01
   10.5890   2.9710  28.0487  0.10724E+01  0.10790E+01  0.26420E-05  0.10743E+01  0.10343E+01  0.26438E-05  0.10293E+01
   10.5890   2.9630  28.0487  0.10845E+01  0.10922E+01  0.27761E-05  0.10873E+01  0.10471E+01  0.27781E-05  0.10420E+01
   10.5890   3.2270  28.1287  0.70075E+00  0.68526E+00  0.73576E-06  0.68299E+00  0.65165E+00  0.73485E-06  0.64924E+00
   10.5890   3.2190  28.1287  0.71040E+00  0.69527E+00  0.75611E-06  0.69296E+00  0.66134E+00  0.75522E-06  0.65887E+00
