                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2270  29.9725  0.31799E+00  0.30389E+00  0.30329E-06  0.30287E+00  0.28730E+00  0.30267E-06  0.28622E+00
   10.5890   3.2190  29.9725  0.32395E+00  0.30983E+00  0.31031E-06  0.30879E+00  0.29299E+00  0.30970E-06  0.29189E+00
   10.5890   3.2110  29.9725  0.32997E+00  0.31586E+00  0.31756E-06  0.31480E+00  0.29877E+00  0.31695E-06  0.29765E+00
   10.5890   3.2030  29.9725  0.33606E+00  0.32197E+00  0.32491E-06  0.32089E+00  0.30463E+00  0.32431E-06  0.30348E+00
   10.5890   3.1950  29.9725  0.34222E+00  0.32817E+00  0.33240E-06  0.32707E+00  0.31056E+00  0.33181E-06  0.30940E+00
   10.5890   3.1870  29.9725  0.34844E+00  0.33444E+00  0.34005E-06  0.33332E+00  0.31658E+00  0.33946E-06  0.31540E+00
   10.5890   3.1790  29.9725  0.35474E+00  0.34077E+00  0.34787E-06  0.33963E+00  0.32266E+00  0.34728E-06  0.32145E+00
   10.5890   3.1710  29.9725  0.36111E+00  0.34721E+00  0.35585E-06  0.34605E+00  0.32884E+00  0.35527E-06  0.32761E+00
   10.5890   3.1630  29.9725  0.36754E+00  0.35371E+00  0.36400E-06  0.35252E+00  0.33508E+00  0.36343E-06  0.33382E+00
   10.5890   3.1550  29.9725  0.37405E+00  0.36028E+00  0.37235E-06  0.35907E+00  0.34139E+00  0.37178E-06  0.34011E+00
   10.5890   3.1470  29.9725  0.38062E+00  0.36693E+00  0.38088E-06  0.36569E+00  0.34778E+00  0.38032E-06  0.34647E+00
   10.5890   3.1390  29.9725  0.38726E+00  0.37364E+00  0.38961E-06  0.37238E+00  0.35424E+00  0.38906E-06  0.35290E+00
   10.5890   3.1310  29.9725  0.39398E+00  0.38047E+00  0.39856E-06  0.37919E+00  0.36080E+00  0.39802E-06  0.35944E+00
   10.5890   3.1230  29.9725  0.40076E+00  0.38742E+00  0.40774E-06  0.38611E+00  0.36748E+00  0.40721E-06  0.36609E+00
   10.5890   3.1150  29.9725  0.40761E+00  0.39433E+00  0.41716E-06  0.39299E+00  0.37414E+00  0.41664E-06  0.37272E+00
   10.5890   3.1070  29.9725  0.41453E+00  0.40138E+00  0.42683E-06  0.40002E+00  0.38092E+00  0.42631E-06  0.37947E+00
   10.5890   3.0990  29.9725  0.42152E+00  0.40865E+00  0.43676E-06  0.40725E+00  0.38792E+00  0.43625E-06  0.38644E+00
   10.5890   3.0910  29.9725  0.42859E+00  0.41574E+00  0.44698E-06  0.41431E+00  0.39475E+00  0.44649E-06  0.39324E+00
   10.5890   3.0830  29.9725  0.43572E+00  0.42303E+00  0.45750E-06  0.42158E+00  0.40177E+00  0.45703E-06  0.40023E+00
   10.5890   3.0750  29.9725  0.44292E+00  0.43039E+00  0.46833E-06  0.42890E+00  0.40886E+00  0.46787E-06  0.40729E+00
   10.5890   3.0670  29.9725  0.45019E+00  0.43784E+00  0.47949E-06  0.43632E+00  0.41605E+00  0.47905E-06  0.41443E+00
   10.5890   3.0590  29.9725  0.45753E+00  0.44539E+00  0.49103E-06  0.44384E+00  0.42333E+00  0.49061E-06  0.42168E+00
   10.5890   3.0510  29.9725  0.46494E+00  0.45301E+00  0.50294E-06  0.45142E+00  0.43067E+00  0.50255E-06  0.42899E+00
   10.5890   3.0430  29.9725  0.47242E+00  0.46070E+00  0.51526E-06  0.45907E+00  0.43810E+00  0.51488E-06  0.43638E+00
   10.5890   3.0350  29.9725  0.47997E+00  0.46849E+00  0.52801E-06  0.46683E+00  0.44562E+00  0.52766E-06  0.44386E+00
   10.5890   3.0270  29.9725  0.48759E+00  0.47635E+00  0.54122E-06  0.47465E+00  0.45322E+00  0.54089E-06  0.45142E+00
   10.5890   3.0190  29.9725  0.49528E+00  0.48430E+00  0.55492E-06  0.48256E+00  0.46089E+00  0.55462E-06  0.45905E+00
   10.5890   3.0110  29.9725  0.50305E+00  0.49241E+00  0.56916E-06  0.49063E+00  0.46873E+00  0.56888E-06  0.46685E+00
   10.5890   3.0030  29.9725  0.51088E+00  0.50051E+00  0.58394E-06  0.49869E+00  0.47656E+00  0.58369E-06  0.47463E+00
   10.5890   2.9950  29.9725  0.51878E+00  0.50863E+00  0.59934E-06  0.50678E+00  0.48440E+00  0.59912E-06  0.48244E+00
   10.5890   2.9870  29.9725  0.52675E+00  0.51692E+00  0.61539E-06  0.51502E+00  0.49242E+00  0.61519E-06  0.49041E+00
   10.5890   2.9790  29.9725  0.53479E+00  0.52531E+00  0.63211E-06  0.52337E+00  0.50055E+00  0.63194E-06  0.49848E+00
   10.5890   2.9710  29.9725  0.54290E+00  0.53376E+00  0.64960E-06  0.53177E+00  0.50872E+00  0.64946E-06  0.50661E+00
   10.5890   2.9630  29.9725  0.55108E+00  0.54231E+00  0.66788E-06  0.54027E+00  0.51700E+00  0.66777E-06  0.51484E+00
   10.5890   2.9550  29.9725  0.55933E+00  0.55091E+00  0.68703E-06  0.54883E+00  0.52534E+00  0.68695E-06  0.52312E+00
   10.5890   3.2270  30.0525  0.30638E+00  0.29249E+00  0.29223E-06  0.29150E+00  0.27645E+00  0.29162E-06  0.27540E+00
   10.5890   3.2190  30.0525  0.31219E+00  0.29831E+00  0.29910E-06  0.29731E+00  0.28203E+00  0.29850E-06  0.28096E+00
   10.5890   3.2110  30.0525  0.31807E+00  0.30418E+00  0.30606E-06  0.30316E+00  0.28765E+00  0.30547E-06  0.28656E+00
   10.5890   3.2030  30.0525  0.32402E+00  0.31015E+00  0.31324E-06  0.30911E+00  0.29337E+00  0.31265E-06  0.29226E+00
   10.5890   3.1950  30.0525  0.33004E+00  0.31617E+00  0.32053E-06  0.31511E+00  0.29914E+00  0.31994E-06  0.29801E+00
   10.5890   3.1870  30.0525  0.33613E+00  0.32229E+00  0.32796E-06  0.32121E+00  0.30501E+00  0.32738E-06  0.30386E+00
   10.5890   3.1790  30.0525  0.34228E+00  0.32848E+00  0.33554E-06  0.32738E+00  0.31095E+00  0.33496E-06  0.30977E+00
   10.5890   3.1710  30.0525  0.34851E+00  0.33475E+00  0.34326E-06  0.33362E+00  0.31696E+00  0.34269E-06  0.31576E+00
   10.5890   3.1630  30.0525  0.35480E+00  0.34111E+00  0.35118E-06  0.33996E+00  0.32307E+00  0.35062E-06  0.32185E+00
   10.5890   3.1550  30.0525  0.36116E+00  0.34753E+00  0.35926E-06  0.34636E+00  0.32923E+00  0.35870E-06  0.32799E+00
   10.5890   3.1470  30.0525  0.36759E+00  0.35403E+00  0.36752E-06  0.35284E+00  0.33548E+00  0.36697E-06  0.33421E+00
   10.5890   3.1390  30.0525  0.37409E+00  0.36060E+00  0.37597E-06  0.35938E+00  0.34179E+00  0.37543E-06  0.34050E+00
   10.5890   3.1310  30.0525  0.38066E+00  0.36724E+00  0.38461E-06  0.36600E+00  0.34817E+00  0.38407E-06  0.34685E+00
   10.5890   3.1230  30.0525  0.38730E+00  0.37399E+00  0.39347E-06  0.37272E+00  0.35466E+00  0.39294E-06  0.35331E+00
   10.5890   3.1150  30.0525  0.39401E+00  0.38085E+00  0.40248E-06  0.37956E+00  0.36126E+00  0.40197E-06  0.35989E+00
   10.5890   3.1070  30.0525  0.40079E+00  0.38771E+00  0.41186E-06  0.38638E+00  0.36785E+00  0.41136E-06  0.36645E+00
   10.5890   3.0990  30.0525  0.40764E+00  0.39468E+00  0.42143E-06  0.39333E+00  0.37456E+00  0.42093E-06  0.37313E+00
   10.5890   3.0910  30.0525  0.41455E+00  0.40173E+00  0.43124E-06  0.40035E+00  0.38135E+00  0.43076E-06  0.37989E+00
   10.5890   3.0830  30.0525  0.42154E+00  0.40886E+00  0.44134E-06  0.40745E+00  0.38823E+00  0.44087E-06  0.38673E+00
   10.5890   3.0750  30.0525  0.42860E+00  0.41609E+00  0.45174E-06  0.41465E+00  0.39518E+00  0.45128E-06  0.39366E+00
   10.5890   3.0670  30.0525  0.43572E+00  0.42337E+00  0.46243E-06  0.42190E+00  0.40220E+00  0.46199E-06  0.40064E+00
   10.5890   3.0590  30.0525  0.44292E+00  0.43074E+00  0.47345E-06  0.42924E+00  0.40931E+00  0.47303E-06  0.40771E+00
   10.5890   3.0510  30.0525  0.45019E+00  0.43821E+00  0.48485E-06  0.43668E+00  0.41650E+00  0.48445E-06  0.41488E+00
   10.5890   3.0430  30.0525  0.45752E+00  0.44575E+00  0.49660E-06  0.44418E+00  0.42377E+00  0.49622E-06  0.42211E+00
   10.5890   3.0350  30.0525  0.46493E+00  0.45335E+00  0.50874E-06  0.45175E+00  0.43112E+00  0.50838E-06  0.42942E+00
   10.5890   3.0270  30.0525  0.47240E+00  0.46107E+00  0.52131E-06  0.45943E+00  0.43857E+00  0.52098E-06  0.43683E+00
   10.5890   3.0190  30.0525  0.47995E+00  0.46885E+00  0.53434E-06  0.46718E+00  0.44609E+00  0.53402E-06  0.44431E+00
   10.5890   3.0110  30.0525  0.48756E+00  0.47671E+00  0.54784E-06  0.47500E+00  0.45367E+00  0.54755E-06  0.45185E+00
   10.5890   3.0030  30.0525  0.49525E+00  0.48475E+00  0.56185E-06  0.48299E+00  0.46144E+00  0.56158E-06  0.45958E+00
   10.5890   2.9950  30.0525  0.50300E+00  0.49277E+00  0.57641E-06  0.49098E+00  0.46919E+00  0.57617E-06  0.46729E+00
   10.5890   2.9870  30.0525  0.51083E+00  0.50081E+00  0.59156E-06  0.49899E+00  0.47696E+00  0.59135E-06  0.47503E+00
   10.5890   2.9790  30.0525  0.51872E+00  0.50902E+00  0.60733E-06  0.50714E+00  0.48489E+00  0.60716E-06  0.48292E+00
   10.5890   2.9710  30.0525  0.52669E+00  0.51733E+00  0.62379E-06  0.51541E+00  0.49295E+00  0.62364E-06  0.49091E+00
   10.5890   2.9630  30.0525  0.53473E+00  0.52570E+00  0.64097E-06  0.52373E+00  0.50105E+00  0.64085E-06  0.49896E+00
   10.5890   2.9550  30.0525  0.54283E+00  0.53416E+00  0.65896E-06  0.53215E+00  0.50924E+00  0.65887E-06  0.50711E+00
   10.5890   3.2270  30.1325  0.29511E+00  0.28144E+00  0.28150E-06  0.28048E+00  0.26594E+00  0.28091E-06  0.26492E+00
   10.5890   3.2190  30.1325  0.30079E+00  0.28710E+00  0.28819E-06  0.28613E+00  0.27136E+00  0.28760E-06  0.27033E+00
   10.5890   3.2110  30.1325  0.30653E+00  0.29287E+00  0.29500E-06  0.29187E+00  0.27688E+00  0.29442E-06  0.27582E+00
   10.5890   3.2030  30.1325  0.31234E+00  0.29867E+00  0.30195E-06  0.29766E+00  0.28243E+00  0.30137E-06  0.28136E+00
   10.5890   3.1950  30.1325  0.31822E+00  0.30456E+00  0.30902E-06  0.30353E+00  0.28808E+00  0.30845E-06  0.28699E+00
   10.5890   3.1870  30.1325  0.32417E+00  0.31052E+00  0.31624E-06  0.30947E+00  0.29378E+00  0.31567E-06  0.29267E+00
   10.5890   3.1790  30.1325  0.33018E+00  0.31655E+00  0.32361E-06  0.31548E+00  0.29958E+00  0.32304E-06  0.29844E+00
   10.5890   3.1710  30.1325  0.33627E+00  0.32268E+00  0.33114E-06  0.32159E+00  0.30545E+00  0.33058E-06  0.30429E+00
   10.5890   3.1630  30.1325  0.34242E+00  0.32887E+00  0.33879E-06  0.32776E+00  0.31140E+00  0.33824E-06  0.31022E+00
   10.5890   3.1550  30.1325  0.34864E+00  0.33515E+00  0.34662E-06  0.33402E+00  0.31742E+00  0.34607E-06  0.31622E+00
   10.5890   3.1470  30.1325  0.35493E+00  0.34150E+00  0.35462E-06  0.34035E+00  0.32352E+00  0.35408E-06  0.32230E+00
   10.5890   3.1390  30.1325  0.36129E+00  0.34793E+00  0.36280E-06  0.34675E+00  0.32969E+00  0.36227E-06  0.32844E+00
   10.5890   3.1310  30.1325  0.36772E+00  0.35442E+00  0.37117E-06  0.35322E+00  0.33593E+00  0.37064E-06  0.33466E+00
