 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.264333785       3.65183306       18.8150005       3.22700000       12.6526165       13.8143721       1.0918194055557251     
  0.263392240       3.64277983       18.8150005       3.21900010       12.6864223       13.8659782       1.0929777622222900     
  0.262452751       3.63372660       18.8150005       3.21099997       12.7202311       13.9183798       1.0941923856735229     
  0.261515349       3.62467360       18.8150005       3.20300007       12.7540445       13.9703321       1.0953648090362549     
  0.260579884       3.61561990       18.8150005       3.19499993       12.7878618       14.0223532       1.0965361595153809     
  0.259646535       3.60656714       18.8150005       3.18700004       12.8216829       14.0750284       1.0977519750595093     
  0.258715123       3.59751368       18.8150005       3.17899990       12.8555098       14.1275530       1.0989493131637573     
  0.257785738       3.58846045       18.8150005       3.17100000       12.8893433       14.1809778       1.1002094745635986     
  0.256858408       3.57940745       18.8150005       3.16300011       12.9231834       14.2336702       1.1014058589935303     
  0.255933017       3.57035422       18.8150005       3.15499997       12.9570341       14.2868738       1.1026345491409302     
  0.255009651       3.56130099       18.8150005       3.14700007       12.9908915       14.3397350       1.1038299798965454     
  0.254088223       3.55224776       18.8150005       3.13899994       13.0247583       14.3935232       1.1050894260406494     
  0.253168821       3.54319477       18.8150005       3.13100004       13.0586367       14.4475908       1.1063628196716309     
  0.252251387       3.53414154       18.8150005       3.12299991       13.0925264       14.5051975       1.1078990697860718     
  0.251335859       3.52508807       18.8150005       3.11500001       13.1264277       14.5555916       1.1088768243789673     
  0.250422359       3.51603532       18.8150005       3.10700011       13.1603422       14.6092091       1.1100933551788330     
  0.249510750       3.50698185       18.8150005       3.09899998       13.1942711       14.6638975       1.1113836765289307     
  0.248601109       3.49792862       18.8150005       3.09100008       13.2282133       14.7183590       1.1126490831375122     
  0.247693434       3.48887539       18.8150005       3.08299994       13.2621737       14.7725267       1.1138843297958374     
  0.246787667       3.47982240       18.8150005       3.07500005       13.2961464       14.8301573       1.1153725385665894     
  0.245883793       3.47076869       18.8150005       3.06699991       13.3301411       14.8849068       1.1166353225708008     
  0.244981900       3.46171594       18.8150005       3.05900002       13.3641529       14.9400291       1.1179181337356567     
  0.244081929       3.45266294       18.8150005       3.05100012       13.3981819       14.9950237       1.1191834211349487     
  0.243183807       3.44360924       18.8150005       3.04299998       13.4322338       15.0521755       1.1206010580062866     
  0.242287636       3.43455648       18.8150005       3.03500009       13.4663048       15.1092663       1.1220053434371948     
  0.241393313       3.42550302       18.8150005       3.02699995       13.5003986       15.1619349       1.1230731010437012     
  0.240500927       3.41645002       18.8150005       3.01900005       13.5345154       15.2165155       1.1242748498916626     
  0.239610389       3.40739655       18.8150005       3.01099992       13.5686569       15.2740593       1.1256868839263916     
  0.238721773       3.39834356       18.8150005       3.00300002       13.6028233       15.3301134       1.1269803047180176     
  0.237834975       3.38929009       18.8150005       2.99499989       13.6370153       15.3868189       1.1283128261566162     
  0.236950085       3.38023710       18.8150005       2.98699999       13.6712332       15.4438086       1.1296572685241699     
  0.236067057       3.37118411       18.8150005       2.97900009       13.7054796       15.5016489       1.1310548782348633     
  0.235185847       3.36213064       18.8150005       2.97099996       13.7397556       15.5588484       1.1323963403701782     
  0.234306514       3.35307741       18.8150005       2.96300006       13.7740602       15.6167650       1.1337808370590210     
  0.233429000       3.34402418       18.8150005       2.95499992       13.8083973       15.6744175       1.1351366043090820     
  0.266565979       3.68267131       18.8950005       3.22700000       12.3855982       13.5006981       1.0900319814682007     
  0.265616477       3.67354155       18.8950005       3.21900010       12.4192247       13.5518169       1.0911966562271118     
  0.264669061       3.66441178       18.8950005       3.21099997       12.4528532       13.6033602       1.0923889875411987     
  0.263723731       3.65528250       18.8950005       3.20300007       12.4864855       13.6553516       1.0936105251312256     
  0.262780339       3.64615226       18.8950005       3.19499993       12.5201216       13.7067671       1.0947790145874023     
  0.261839122       3.63702297       18.8950005       3.18700004       12.5537615       13.7587252       1.0959842205047607     
  0.260899872       3.62789321       18.8950005       3.17899990       12.5874071       13.8104343       1.0971627235412598     
  0.259962648       3.61876345       18.8950005       3.17100000       12.6210594       13.8624811       1.0983611345291138     
  0.259027451       3.60963416       18.8950005       3.16300011       12.6547174       13.9147587       1.0995708703994751     
  0.258094251       3.60050440       18.8950005       3.15499997       12.6883841       13.9676590       1.1008225679397583     
  0.257163078       3.59137464       18.8950005       3.14700007       12.7220583       14.0200806       1.1020293235778809     
  0.256233871       3.58224487       18.8950005       3.13899994       12.7557421       14.0730381       1.1032707691192627     
  0.255306721       3.57311559       18.8950005       3.13100004       12.7894363       14.1256056       1.1044744253158569     
