 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2270  26.0144   0.5012   6.9241  0.15275E+01  0.15275E+01  0.21866E-04  0.14684E+01  0.44567E-05  0.64335E-02  0.14620E+01  0.10010E+01
   10.5890   3.2190  26.0144   0.4994   6.9069  0.15423E+01  0.15423E+01  0.20643E-04  0.14842E+01  0.46829E-05  0.65635E-02  0.14777E+01  0.10010E+01
   10.5890   3.2110  26.0144   0.4976   6.8898  0.15572E+01  0.15572E+01  0.19446E-04  0.15001E+01  0.49218E-05  0.66971E-02  0.14934E+01  0.10010E+01
   10.5890   3.2030  26.0144   0.4958   6.8726  0.15721E+01  0.15721E+01  0.18275E-04  0.15161E+01  0.51740E-05  0.68331E-02  0.15093E+01  0.10010E+01
   10.5890   3.1950  26.0144   0.4941   6.8554  0.15871E+01  0.15871E+01  0.17130E-04  0.15322E+01  0.54401E-05  0.69723E-02  0.15252E+01  0.10010E+01
   10.5890   3.1870  26.0144   0.4923   6.8383  0.16022E+01  0.16022E+01  0.16010E-04  0.15485E+01  0.57208E-05  0.71154E-02  0.15414E+01  0.10010E+01
   10.5890   3.1790  26.0144   0.4905   6.8211  0.16173E+01  0.16173E+01  0.14916E-04  0.15649E+01  0.60169E-05  0.72617E-02  0.15576E+01  0.10010E+01
   10.5890   3.1710  26.0144   0.4888   6.8039  0.16325E+01  0.16325E+01  0.13847E-04  0.15810E+01  0.63293E-05  0.74112E-02  0.15736E+01  0.10010E+01
   10.5890   3.1630  26.0144   0.4870   6.7868  0.16477E+01  0.16477E+01  0.12803E-04  0.15975E+01  0.66586E-05  0.75637E-02  0.15899E+01  0.10010E+01
   10.5890   3.1550  26.0144   0.4853   6.7696  0.16631E+01  0.16630E+01  0.11783E-04  0.16140E+01  0.70058E-05  0.77186E-02  0.16062E+01  0.10010E+01
   10.5890   3.1470  26.0144   0.4835   6.7524  0.16784E+01  0.16784E+01  0.10788E-04  0.16306E+01  0.73716E-05  0.78789E-02  0.16227E+01  0.10010E+01
   10.5890   3.1390  26.0144   0.4818   6.7353  0.16939E+01  0.16938E+01  0.98167E-05  0.16474E+01  0.77572E-05  0.80421E-02  0.16393E+01  0.10010E+01
   10.5890   3.1310  26.0144   0.4800   6.7181  0.17093E+01  0.17093E+01  0.88692E-05  0.16642E+01  0.81634E-05  0.82089E-02  0.16559E+01  0.10010E+01
   10.5890   3.1230  26.0144   0.4783   6.7009  0.17249E+01  0.17249E+01  0.79453E-05  0.16810E+01  0.85911E-05  0.83801E-02  0.16727E+01  0.10010E+01
   10.5890   3.1150  26.0144   0.4765   6.6838  0.17405E+01  0.17405E+01  0.70448E-05  0.16981E+01  0.90417E-05  0.85547E-02  0.16895E+01  0.10010E+01
   10.5890   3.1070  26.0144   0.4748   6.6666  0.17562E+01  0.17561E+01  0.61675E-05  0.17155E+01  0.95161E-05  0.87332E-02  0.17068E+01  0.10009E+01
   10.5890   3.0990  26.0144   0.4731   6.6494  0.17719E+01  0.17719E+01  0.53130E-05  0.17328E+01  0.10015E-04  0.89169E-02  0.17238E+01  0.10009E+01
   10.5890   3.0910  26.0144   0.4714   6.6323  0.17877E+01  0.17877E+01  0.44812E-05  0.17498E+01  0.10541E-04  0.91042E-02  0.17407E+01  0.10009E+01
   10.5890   3.0830  26.0144   0.4696   6.6151  0.18035E+01  0.18035E+01  0.36719E-05  0.17672E+01  0.11093E-04  0.93191E-02  0.17579E+01  0.10009E+01
   10.5890   3.0750  26.0144   0.4679   6.5979  0.18194E+01  0.18194E+01  0.28848E-05  0.17847E+01  0.11675E-04  0.94922E-02  0.17752E+01  0.10009E+01
   10.5890   3.0670  26.0144   0.4662   6.5808  0.18353E+01  0.18353E+01  0.21198E-05  0.18022E+01  0.12286E-04  0.96921E-02  0.17925E+01  0.10009E+01
   10.5890   3.0590  26.0144   0.4645   6.5636  0.18514E+01  0.18514E+01  0.13766E-05  0.18200E+01  0.12929E-04  0.98967E-02  0.18101E+01  0.10009E+01
   10.5890   3.0510  26.0144   0.4628   6.5465  0.18674E+01  0.18674E+01  0.65507E-06  0.18378E+01  0.13604E-04  0.10106E-01  0.18277E+01  0.10009E+01
   10.5890   3.0430  26.0144   0.4611   6.5293  0.18836E+01  0.18836E+01 -0.22197E-07  0.18557E+01  0.14314E-04  0.10325E-01  0.18454E+01  0.10009E+01
   10.5890   3.0350  26.0144   0.4594   6.5121  0.18997E+01  0.18997E+01 -0.35593E-06  0.18737E+01  0.15062E-04  0.10545E-01  0.18632E+01  0.10009E+01
   10.5890   3.0270  26.0144   0.4577   6.4950  0.19160E+01  0.19160E+01 -0.67783E-06  0.18919E+01  0.15847E-04  0.10770E-01  0.18811E+01  0.10009E+01
   10.5890   3.0190  26.0144   0.4560   6.4778  0.19323E+01  0.19323E+01 -0.98806E-06  0.19100E+01  0.16671E-04  0.10999E-01  0.18990E+01  0.10009E+01
   10.5890   3.0110  26.0144   0.4543   6.4606  0.19486E+01  0.19486E+01 -0.12868E-05  0.19284E+01  0.17536E-04  0.11234E-01  0.19172E+01  0.10009E+01
   10.5890   3.0030  26.0144   0.4526   6.4435  0.19650E+01  0.19650E+01 -0.15741E-05  0.19467E+01  0.18444E-04  0.11467E-01  0.19352E+01  0.10009E+01
   10.5890   2.9950  26.0144   0.4509   6.4263  0.19815E+01  0.19815E+01 -0.18502E-05  0.19652E+01  0.19398E-04  0.11717E-01  0.19535E+01  0.10009E+01
   10.5890   2.9870  26.0144   0.4493   6.4091  0.19980E+01  0.19980E+01 -0.21153E-05  0.19838E+01  0.20398E-04  0.11970E-01  0.19718E+01  0.10009E+01
   10.5890   2.9790  26.0144   0.4476   6.3920  0.20146E+01  0.20146E+01 -0.23695E-05  0.20024E+01  0.21448E-04  0.12227E-01  0.19902E+01  0.10009E+01
   10.5890   2.9710  26.0144   0.4459   6.3748  0.20312E+01  0.20312E+01 -0.26129E-05  0.20211E+01  0.22550E-04  0.12492E-01  0.20086E+01  0.10009E+01
   10.5890   2.9630  26.0144   0.4443   6.3576  0.20479E+01  0.20479E+01 -0.28457E-05  0.20402E+01  0.23706E-04  0.12761E-01  0.20274E+01  0.10009E+01
   10.5890   2.9550  26.0144   0.4426   6.3405  0.20646E+01  0.20646E+01 -0.30680E-05  0.20591E+01  0.24917E-04  0.13037E-01  0.20461E+01  0.10009E+01
   10.5890   3.2270  26.0944   0.5042   6.9660  0.14860E+01  0.14860E+01  0.23547E-04  0.14267E+01  0.40818E-05  0.61957E-02  0.14205E+01  0.10010E+01
   10.5890   3.2190  26.0944   0.5024   6.9487  0.15006E+01  0.15006E+01  0.22299E-04  0.14422E+01  0.42878E-05  0.63218E-02  0.14359E+01  0.10010E+01
   10.5890   3.2110  26.0944   0.5006   6.9315  0.15153E+01  0.15153E+01  0.21077E-04  0.14578E+01  0.45053E-05  0.64501E-02  0.14514E+01  0.10010E+01
   10.5890   3.2030  26.0944   0.4988   6.9142  0.15300E+01  0.15300E+01  0.19881E-04  0.14736E+01  0.47351E-05  0.65814E-02  0.14671E+01  0.10010E+01
   10.5890   3.1950  26.0944   0.4971   6.8969  0.15448E+01  0.15448E+01  0.18712E-04  0.14895E+01  0.49775E-05  0.67162E-02  0.14828E+01  0.10010E+01
   10.5890   3.1870  26.0944   0.4953   6.8797  0.15597E+01  0.15597E+01  0.17568E-04  0.15054E+01  0.52336E-05  0.68536E-02  0.14985E+01  0.10010E+01
   10.5890   3.1790  26.0944   0.4935   6.8624  0.15746E+01  0.15746E+01  0.16449E-04  0.15215E+01  0.55038E-05  0.69949E-02  0.15145E+01  0.10010E+01
   10.5890   3.1710  26.0944   0.4917   6.8451  0.15896E+01  0.15896E+01  0.15356E-04  0.15377E+01  0.57888E-05  0.71387E-02  0.15306E+01  0.10010E+01
   10.5890   3.1630  26.0944   0.4900   6.8278  0.16046E+01  0.16046E+01  0.14287E-04  0.15537E+01  0.60896E-05  0.72871E-02  0.15464E+01  0.10010E+01
   10.5890   3.1550  26.0944   0.4882   6.8106  0.16197E+01  0.16197E+01  0.13243E-04  0.15700E+01  0.64068E-05  0.74377E-02  0.15626E+01  0.10010E+01
   10.5890   3.1470  26.0944   0.4864   6.7933  0.16349E+01  0.16349E+01  0.12223E-04  0.15863E+01  0.67412E-05  0.75906E-02  0.15787E+01  0.10010E+01
   10.5890   3.1390  26.0944   0.4847   6.7760  0.16501E+01  0.16501E+01  0.11228E-04  0.16028E+01  0.70940E-05  0.77482E-02  0.15950E+01  0.10010E+01
   10.5890   3.1310  26.0944   0.4829   6.7588  0.16654E+01  0.16654E+01  0.10256E-04  0.16189E+01  0.74657E-05  0.79098E-02  0.16110E+01  0.10010E+01
   10.5890   3.1230  26.0944   0.4812   6.7415  0.16807E+01  0.16807E+01  0.93077E-05  0.16360E+01  0.78575E-05  0.80750E-02  0.16279E+01  0.10010E+01
   10.5890   3.1150  26.0944   0.4794   6.7242  0.16961E+01  0.16961E+01  0.83829E-05  0.16527E+01  0.82702E-05  0.82442E-02  0.16445E+01  0.10010E+01
   10.5890   3.1070  26.0944   0.4777   6.7070  0.17116E+01  0.17116E+01  0.74813E-05  0.16696E+01  0.87050E-05  0.84167E-02  0.16612E+01  0.10010E+01
   10.5890   3.0990  26.0944   0.4760   6.6897  0.17271E+01  0.17271E+01  0.66026E-05  0.16866E+01  0.91629E-05  0.85931E-02  0.16780E+01  0.10010E+01
   10.5890   3.0910  26.0944   0.4742   6.6724  0.17427E+01  0.17427E+01  0.57466E-05  0.17039E+01  0.96450E-05  0.87743E-02  0.16951E+01  0.10009E+01
   10.5890   3.0830  26.0944   0.4725   6.6552  0.17583E+01  0.17583E+01  0.49131E-05  0.17208E+01  0.10153E-04  0.89597E-02  0.17118E+01  0.10009E+01
   10.5890   3.0750  26.0944   0.4708   6.6379  0.17740E+01  0.17740E+01  0.41019E-05  0.17381E+01  0.10687E-04  0.91716E-02  0.17289E+01  0.10009E+01
   10.5890   3.0670  26.0944   0.4690   6.6206  0.17898E+01  0.17898E+01  0.33127E-05  0.17554E+01  0.11249E-04  0.93434E-02  0.17461E+01  0.10009E+01
   10.5890   3.0590  26.0944   0.4673   6.6033  0.18056E+01  0.18056E+01  0.25454E-05  0.17727E+01  0.11839E-04  0.95411E-02  0.17632E+01  0.10009E+01
   10.5890   3.0510  26.0944   0.4656   6.5861  0.18215E+01  0.18215E+01  0.17997E-05  0.17903E+01  0.12462E-04  0.97434E-02  0.17806E+01  0.10009E+01
   10.5890   3.0430  26.0944   0.4639   6.5688  0.18374E+01  0.18374E+01  0.10755E-05  0.18080E+01  0.13116E-04  0.99503E-02  0.17980E+01  0.10009E+01
   10.5890   3.0350  26.0944   0.4622   6.5515  0.18534E+01  0.18534E+01  0.37256E-06  0.18257E+01  0.13802E-04  0.10167E-01  0.18155E+01  0.10009E+01
   10.5890   3.0270  26.0944   0.4605   6.5343  0.18694E+01  0.18694E+01 -0.15170E-06  0.18436E+01  0.14526E-04  0.10384E-01  0.18332E+01  0.10009E+01
   10.5890   3.0190  26.0944   0.4588   6.5170  0.18855E+01  0.18855E+01 -0.47479E-06  0.18615E+01  0.15286E-04  0.10606E-01  0.18509E+01  0.10009E+01
   10.5890   3.0110  26.0944   0.4571   6.4997  0.19017E+01  0.19017E+01 -0.78630E-06  0.18795E+01  0.16084E-04  0.10834E-01  0.18687E+01  0.10009E+01
   10.5890   3.0030  26.0944   0.4554   6.4825  0.19179E+01  0.19179E+01 -0.10864E-05  0.18976E+01  0.16922E-04  0.11066E-01  0.18865E+01  0.10009E+01
   10.5890   2.9950  26.0944   0.4537   6.4652  0.19342E+01  0.19342E+01 -0.13752E-05  0.19159E+01  0.17802E-04  0.11304E-01  0.19046E+01  0.10009E+01
   10.5890   2.9870  26.0944   0.4520   6.4479  0.19505E+01  0.19505E+01 -0.16530E-05  0.19342E+01  0.18727E-04  0.11544E-01  0.19226E+01  0.10009E+01
   10.5890   2.9790  26.0944   0.4503   6.4307  0.19669E+01  0.19669E+01 -0.19197E-05  0.19526E+01  0.19697E-04  0.11794E-01  0.19408E+01  0.10009E+01
