EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  10.589 21.447  4.73    1.49    5.84    0.90    0.01    6.75  0.959
   3.227  0.343  9.96    1.61    3.13    0.97    0.01    4.11 3.831E+00

  10.589 21.447  4.72    1.50    5.92    0.91    0.01    6.84  0.960
   3.219  0.341  9.99    1.62    3.22    0.98    0.01    4.21 3.848E+00

  10.589 21.447  4.71    1.51    6.00    0.92    0.01    6.93  0.960
   3.211  0.340 10.02    1.64    3.32    0.99    0.01    4.33 3.865E+00

  10.589 21.447  4.70    1.53    6.08    0.93    0.01    7.03  0.960
   3.203  0.339 10.04    1.66    3.42    1.01    0.01    4.44 3.883E+00

  10.589 21.447  4.69    1.54    6.16    0.94    0.01    7.12  0.960
   3.195  0.338 10.07    1.67    3.52    1.02    0.01    4.55 3.900E+00

  10.589 21.447  4.67    1.56    6.24    0.96    0.01    7.21  0.959
   3.187  0.336 10.10    1.69    3.62    1.03    0.01    4.66 3.917E+00

  10.589 21.447  4.66    1.57    6.32    0.97    0.01    7.30  0.962
   3.179  0.335 10.12    1.71    3.71    1.04    0.01    4.77 3.934E+00

  10.589 21.447  4.65    1.59    6.40    0.98    0.01    7.39  0.961
   3.171  0.334 10.15    1.72    3.81    1.06    0.01    4.88 3.952E+00

  10.589 21.447  4.64    1.60    6.48    0.99    0.01    7.49  0.961
   3.163  0.333 10.18    1.74    3.91    1.07    0.01    4.99 3.969E+00

  10.589 21.447  4.63    1.62    6.56    1.01    0.01    7.58  0.962
   3.155  0.332 10.20    1.76    4.01    1.08    0.01    5.11 3.986E+00

  10.589 21.447  4.61    1.63    6.64    1.02    0.01    7.68  0.963
   3.147  0.330 10.23    1.77    4.11    1.10    0.01    5.22 4.004E+00

  10.589 21.447  4.60    1.65    6.72    1.03    0.01    7.76  0.962
   3.139  0.329 10.26    1.79    4.20    1.11    0.01    5.33 4.021E+00

  10.589 21.447  4.59    1.66    6.80    1.05    0.01    7.86  0.963
   3.131  0.328 10.28    1.81    4.30    1.13    0.01    5.44 4.038E+00

  10.589 21.447  4.58    1.68    6.88    1.06    0.01    7.95  0.963
   3.123  0.327 10.31    1.83    4.40    1.11    0.01    5.53 4.056E+00

  10.589 21.447  4.57    1.70    6.96    1.07    0.01    8.05  0.964
   3.115  0.326 10.34    1.85    4.50    1.16    0.01    5.67 4.073E+00

  10.589 21.447  4.56    1.71    7.04    1.09    0.01    8.14  0.963
   3.107  0.324 10.36    1.86    4.60    1.17    0.01    5.78 4.090E+00

  10.589 21.447  4.54    1.73    7.12    1.10    0.01    8.24  0.963
   3.099  0.323 10.39    1.88    4.70    1.18    0.01    5.90 4.108E+00

  10.589 21.447  4.53    1.75    7.20    1.11    0.01    8.33  0.964
   3.091  0.322 10.42    1.90    4.80    1.20    0.01    6.01 4.125E+00

  10.589 21.447  4.52    1.76    7.29    1.12    0.01    8.42  0.960
   3.083  0.321 10.44    1.92    4.90    1.21    0.01    6.12 4.143E+00

  10.589 21.447  4.51    1.78    7.37    1.14    0.01    8.53  0.964
   3.075  0.320 10.47    1.94    5.00    1.23    0.01    6.25 4.160E+00

  10.589 21.447  4.50    1.80    7.45    1.16    0.01    8.63  0.964
   3.067  0.319 10.50    1.96    5.10    1.25    0.01    6.37 4.178E+00

  10.589 21.447  4.49    1.82    7.53    1.17    0.01    8.72  0.965
   3.059  0.317 10.53    1.98    5.20    1.27    0.01    6.48 4.195E+00

  10.589 21.447  4.47    1.84    7.61    1.19    0.01    8.82  0.967
   3.051  0.316 10.55    2.00    5.30    1.28    0.01    6.60 4.213E+00

  10.589 21.447  4.46    1.85    7.70    1.20    0.02    8.92  0.965
   3.043  0.315 10.58    2.02    5.40    1.30    0.02    6.72 4.230E+00

  10.589 21.447  4.45    1.87    7.78    1.22    0.02    9.02  0.965
   3.035  0.314 10.61    2.04    5.51    1.31    0.02    6.84 4.248E+00

  10.589 21.447  4.44    1.89    7.87    1.23    0.02    9.12  0.965
   3.027  0.313 10.63    2.06    5.61    1.33    0.02    6.96 4.265E+00

  10.589 21.447  4.43    1.91    7.95    1.25    0.02    9.22  0.965
   3.019  0.312 10.66    2.09    5.72    1.35    0.02    7.08 4.283E+00

  10.589 21.447  4.42    1.93    8.04    1.27    0.02    9.32  0.964
   3.011  0.310 10.69    2.11    5.82    1.37    0.02    7.20 4.301E+00

  10.589 21.447  4.40    1.95    8.12    1.29    0.02    9.43  0.966
   3.003  0.309 10.71    2.13    5.92    1.39    0.02    7.33 4.318E+00

  10.589 21.447  4.39    1.97    8.21    1.30    0.02    9.53  0.966
   2.995  0.308 10.74    2.15    6.03    1.40    0.02    7.45 4.336E+00

  10.589 21.447  4.38    1.99    8.30    1.32    0.02    9.63  0.965
   2.987  0.307 10.77    2.17    6.13    1.42    0.02    7.57 4.354E+00

  10.589 21.447  4.37    2.01    8.38    1.34    0.02    9.73  0.966
   2.979  0.306 10.79    2.20    6.24    1.44    0.02    7.70 4.371E+00

  10.589 21.447  4.36    2.03    8.46    1.35    0.02    9.84  0.966
   2.971  0.305 10.82    2.22    6.34    1.46    0.02    7.82 4.389E+00

  10.589 21.447  4.34    2.05    8.57    1.37    0.02    9.96  0.965
   2.963  0.304 10.85    2.24    6.46    1.48    0.02    7.96 4.407E+00

