EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  10.589 26.004  6.92    0.89   -0.06    0.43    0.00    0.36  0.925
   3.227  0.501  7.78    0.94   -4.03    0.46    0.00   -3.57 9.431E-01

  10.589 26.004  6.90    0.90    0.02    0.43    0.00    0.45  0.924
   3.219  0.499  7.81    0.95   -3.93    0.46    0.00   -3.47 9.523E-01

  10.589 26.004  6.88    0.91    0.10    0.43    0.00    0.53  0.924
   3.211  0.497  7.84    0.96   -3.83    0.47    0.00   -3.36 9.615E-01

  10.589 26.004  6.87    0.91    0.18    0.44    0.00    0.62  0.926
   3.203  0.495  7.87    0.97   -3.73    0.47    0.00   -3.26 9.708E-01

  10.589 26.004  6.85    0.92    0.25    0.44    0.00    0.70  0.925
   3.195  0.494  7.91    0.98   -3.64    0.48    0.00   -3.16 9.801E-01

  10.589 26.004  6.83    0.93    0.33    0.45    0.00    0.79  0.925
   3.187  0.492  7.94    0.99   -3.54    0.48    0.00   -3.05 9.895E-01

  10.589 26.004  6.82    0.94    0.41    0.45    0.00    0.87  0.924
   3.179  0.490  7.97    1.00   -3.44    0.49    0.00   -2.95 9.988E-01

  10.589 26.004  6.80    0.95    0.49    0.46    0.00    0.95  0.920
   3.171  0.488  8.00    1.00   -3.34    0.49    0.00   -2.85 1.008E+00

  10.589 26.004  6.78    0.96    0.57    0.46    0.00    1.04  0.927
   3.163  0.487  8.03    1.01   -3.24    0.50    0.00   -2.74 1.018E+00

  10.589 26.004  6.76    0.97    0.65    0.47    0.00    1.12  0.927
   3.155  0.485  8.07    1.02   -3.15    0.51    0.00   -2.64 1.027E+00

  10.589 26.004  6.75    0.97    0.73    0.48    0.00    1.20  0.927
   3.147  0.483  8.10    1.03   -3.05    0.51    0.00   -2.54 1.037E+00

  10.589 26.004  6.73    0.98    0.81    0.48    0.00    1.30  0.927
   3.139  0.481  8.13    1.04   -2.95    0.52    0.00   -2.43 1.046E+00

  10.589 26.004  6.71    0.99    0.89    0.49    0.00    1.38  0.928
   3.131  0.480  8.16    1.05   -2.86    0.52    0.00   -2.33 1.056E+00

  10.589 26.004  6.70    1.00    0.96    0.49    0.00    1.46  0.928
   3.123  0.478  8.19    1.06   -2.76    0.53    0.00   -2.23 1.066E+00

  10.589 26.004  6.68    1.01    1.05    0.50    0.00    1.55  0.931
   3.115  0.476  8.23    1.08   -2.66    0.54    0.00   -2.12 1.075E+00

  10.589 26.004  6.66    1.02    1.13    0.50    0.00    1.64  0.930
   3.107  0.474  8.26    1.09   -2.56    0.54    0.00   -2.02 1.085E+00

  10.589 26.004  6.64    1.03    1.21    0.51    0.00    1.72  0.930
