EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin13_2nd                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 29.972  9.14    0.66   -5.08    0.30    0.00   -4.78  0.832
   3.227  0.662  5.56    0.69  -10.13    0.31    0.00   -9.82 2.469E-01

  10.589 29.972  9.12    0.67   -5.00    0.30    0.00   -4.71  0.829
   3.219  0.659  5.59    0.70  -10.04    0.31    0.00   -9.73 2.516E-01

  10.589 29.972  9.09    0.67   -4.92    0.30    0.00   -4.63  0.826
   3.211  0.657  5.63    0.70   -9.95    0.31    0.00   -9.63 2.565E-01

  10.589 29.972  9.07    0.67   -4.84    0.30    0.00   -4.55  0.823
   3.203  0.655  5.67    0.71   -9.85    0.31    0.00   -9.54 2.614E-01

  10.589 29.972  9.05    0.68   -4.76    0.30    0.00   -4.46  0.820
   3.195  0.652  5.71    0.71   -9.75    0.31    0.00   -9.44 2.663E-01

  10.589 29.972  9.03    0.68   -4.68    0.30    0.00   -4.38  0.817
   3.187  0.650  5.74    0.71   -9.65    0.31    0.00   -9.33 2.713E-01

  10.589 29.972  9.00    0.69   -4.60    0.30    0.00   -4.30  0.814
   3.179  0.647  5.78    0.72   -9.55    0.31    0.00   -9.24 2.764E-01

  10.589 29.972  8.98    0.69   -4.51    0.30    0.00   -4.22  0.812
   3.171  0.645  5.82    0.72   -9.45    0.31    0.00   -9.14 2.815E-01

  10.589 29.972  8.96    0.70   -4.43    0.30    0.00   -4.13  0.810
   3.163  0.643  5.86    0.73   -9.35    0.31    0.00   -9.04 2.867E-01

  10.589 29.972  8.94    0.70   -4.35    0.30    0.00   -4.05  0.808
   3.155  0.641  5.90    0.73   -9.25    0.32    0.00   -8.94 2.920E-01

  10.589 29.972  8.91    0.71   -4.27    0.30    0.00   -3.97  0.806
   3.147  0.638  5.93    0.74   -9.16    0.32    0.00   -8.84 2.973E-01

  10.589 29.972  8.89    0.71   -4.19    0.30    0.00   -3.90  0.804
   3.139  0.636  5.97    0.74   -9.06    0.32    0.00   -8.75 3.027E-01

  10.589 29.972  8.87    0.72   -4.11    0.30    0.00   -3.81  0.802
   3.131  0.634  6.01    0.75   -8.96    0.32    0.00   -8.64 3.081E-01

  10.589 29.972  8.85    0.72   -4.01    0.30    0.00   -3.71  0.800
   3.123  0.631  6.05    0.76   -8.85    0.32    0.00   -8.53 3.136E-01

  10.589 29.972  8.82    0.73   -3.95    0.30    0.00   -3.64  0.798
   3.115  0.629  6.08    0.76   -8.76    0.32    0.00   -8.44 3.192E-01

  10.589 29.972  8.80    0.73   -3.87    0.30    0.00   -3.56  0.796
   3.107  0.627  6.12    0.77   -8.67    0.32    0.00   -8.34 3.248E-01

  10.589 29.972  8.78    0.74   -3.75    0.30    0.00   -3.45  0.795
   3.099  0.624  6.16    0.77   -8.53    0.32    0.00   -8.21 3.305E-01

  10.589 29.972  8.75    0.75   -3.70    0.31    0.00   -3.39  0.793
   3.091  0.622  6.20    0.78   -8.46    0.32    0.00   -8.14 3.363E-01

  10.589 29.972  8.73    0.75   -3.62    0.31    0.00   -3.31  0.792
   3.083  0.620  6.23    0.78   -8.36    0.32    0.00   -8.04 3.421E-01

  10.589 29.972  8.71    0.75   -3.54    0.31    0.00   -3.23  0.791
   3.075  0.618  6.27    0.79   -8.27    0.33    0.00   -7.94 3.480E-01

  10.589 29.972  8.69    0.76   -3.46    0.31    0.00   -3.15  0.790
   3.067  0.615  6.31    0.80   -8.17    0.33    0.00   -7.84 3.539E-01

  10.589 29.972  8.66    0.77   -3.37    0.31    0.00   -3.06  0.788
   3.059  0.613  6.35    0.80   -8.07    0.33    0.00   -7.74 3.599E-01

  10.589 29.972  8.64    0.78   -3.29    0.31    0.00   -2.98  0.787
   3.051  0.611  6.38    0.81   -7.97    0.33    0.00   -7.64 3.660E-01

  10.589 29.972  8.62    0.78   -3.21    0.32    0.00   -2.89  0.786
   3.043  0.609  6.42    0.82   -7.87    0.33    0.00   -7.54 3.721E-01

  10.589 29.972  8.60    0.79   -3.13    0.32    0.00   -2.81  0.785
   3.035  0.606  6.46    0.82   -7.77    0.34    0.00   -7.43 3.783E-01

  10.589 29.972  8.57    0.79   -3.04    0.32    0.00   -2.72  0.785
   3.027  0.604  6.50    0.83   -7.67    0.34    0.00   -7.33 3.846E-01

  10.589 29.972  8.55    0.80   -2.96    0.32    0.00   -2.64  0.784
   3.019  0.602  6.54    0.84   -7.57    0.34    0.00   -7.23 3.909E-01

  10.589 29.972  8.53    0.81   -2.86    0.32    0.00   -2.54  0.783
   3.011  0.600  6.57    0.84   -7.45    0.34    0.00   -7.11 3.973E-01

  10.589 29.972  8.51    0.81   -2.78    0.33    0.00   -2.46  0.782
   3.003  0.597  6.61    0.85   -7.36    0.34    0.00   -7.01 4.038E-01

  10.589 29.972  8.48    0.82   -2.71    0.33    0.00   -2.39  0.779
   2.995  0.595  6.65    0.86   -7.27    0.35    0.00   -6.92 4.103E-01

  10.589 29.972  8.46    0.83   -2.63    0.33    0.00   -2.30  0.781
   2.987  0.593  6.69    0.87   -7.17    0.35    0.00   -6.82 4.169E-01

  10.589 29.972  8.44    0.83   -2.54    0.33    0.00   -2.21  0.781
   2.979  0.591  6.72    0.87   -7.06    0.35    0.00   -6.71 4.235E-01

  10.589 29.972  8.41    0.84   -2.46    0.34    0.00   -2.12  0.780
   2.971  0.589  6.76    0.88   -6.96    0.36    0.00   -6.61 4.302E-01

  10.589 29.972  8.39    0.85   -2.37    0.34    0.00   -2.03  0.780
   2.963  0.586  6.80    0.89   -6.86    0.36    0.00   -6.50 4.370E-01

  10.589 29.972  8.37    0.86   -2.29    0.34    0.00   -1.95  0.780
   2.955  0.584  6.84    0.90   -6.76    0.36    0.00   -6.40 4.439E-01

  10.589 30.052  9.19    0.66   -5.18    0.30    0.00   -4.88  0.836
   3.227  0.665  5.51    0.69  -10.25    0.31    0.00   -9.93 2.377E-01

  10.589 30.052  9.16    0.66   -5.09    0.30    0.00   -4.79  0.832
   3.219  0.663  5.55    0.69  -10.15    0.31    0.00   -9.83 2.423E-01

  10.589 30.052  9.14    0.67   -5.01    0.30    0.00   -4.72  0.829
   3.211  0.660  5.58    0.70  -10.05    0.31    0.00   -9.74 2.470E-01

  10.589 30.052  9.12    0.67   -4.93    0.30    0.00   -4.63  0.826
   3.203  0.658  5.62    0.70   -9.95    0.31    0.00   -9.64 2.518E-01

  10.589 30.052  9.10    0.68   -4.85    0.30    0.00   -4.56  0.823
   3.195  0.656  5.66    0.71   -9.86    0.31    0.00   -9.55 2.566E-01

  10.589 30.052  9.07    0.68   -4.77    0.30    0.00   -4.47  0.820
   3.187  0.653  5.70    0.71   -9.76    0.31    0.00   -9.45 2.615E-01

  10.589 30.052  9.05    0.69   -4.69    0.30    0.00   -4.39  0.817
   3.179  0.651  5.73    0.72   -9.66    0.31    0.00   -9.35 2.665E-01

  10.589 30.052  9.03    0.69   -4.61    0.30    0.00   -4.31  0.815
   3.171  0.649  5.77    0.72   -9.56    0.31    0.00   -9.25 2.715E-01

  10.589 30.052  9.01    0.70   -4.52    0.30    0.00   -4.23  0.812
   3.163  0.646  5.81    0.73   -9.46    0.32    0.00   -9.14 2.765E-01

  10.589 30.052  8.98    0.70   -4.44    0.30    0.00   -4.14  0.810
   3.155  0.644  5.85    0.73   -9.36    0.32    0.00   -9.04 2.817E-01

  10.589 30.052  8.96    0.70   -4.36    0.30    0.00   -4.06  0.808
   3.147  0.642  5.89    0.74   -9.26    0.32    0.00   -8.95 2.869E-01

  10.589 30.052  8.94    0.71   -4.28    0.30    0.00   -3.98  0.806
   3.139  0.639  5.92    0.74   -9.17    0.32    0.00   -8.85 2.921E-01

  10.589 30.052  8.91    0.71   -4.20    0.30    0.00   -3.90  0.804
   3.131  0.637  5.96    0.75   -9.07    0.32    0.00   -8.75 2.974E-01

  10.589 30.052  8.89    0.72   -4.12    0.30    0.00   -3.82  0.802
   3.123  0.635  6.00    0.75   -8.97    0.32    0.00   -8.65 3.028E-01

  10.589 30.052  8.87    0.73   -4.03    0.30    0.00   -3.72  0.800
   3.115  0.632  6.04    0.76   -8.86    0.32    0.00   -8.54 3.083E-01

  10.589 30.052  8.85    0.73   -3.95    0.30    0.00   -3.65  0.798
   3.107  0.630  6.08    0.76   -8.77    0.32    0.00   -8.45 3.138E-01

  10.589 30.052  8.82    0.74   -3.87    0.30    0.00   -3.57  0.796
   3.099  0.628  6.11    0.77   -8.67    0.32    0.00   -8.35 3.193E-01

  10.589 30.052  8.80    0.74   -3.79    0.31    0.00   -3.49  0.795
   3.091  0.625  6.15    0.77   -8.57    0.32    0.00   -8.25 3.250E-01

  10.589 30.052  8.78    0.75   -3.71    0.31    0.00   -3.40  0.793
   3.083  0.623  6.19    0.78   -8.47    0.32    0.00   -8.15 3.307E-01

  10.589 30.052  8.75    0.75   -3.62    0.31    0.00   -3.32  0.792
   3.075  0.621  6.23    0.78   -8.37    0.33    0.00   -8.05 3.364E-01

  10.589 30.052  8.73    0.76   -3.54    0.31    0.00   -3.24  0.791
   3.067  0.619  6.26    0.79   -8.27    0.33    0.00   -7.95 3.422E-01

  10.589 30.052  8.71    0.77   -3.46    0.31    0.00   -3.15  0.789
   3.059  0.616  6.30    0.80   -8.18    0.33    0.00   -7.85 3.481E-01

  10.589 30.052  8.69    0.77   -3.38    0.31    0.00   -3.07  0.788
   3.051  0.614  6.34    0.81   -8.07    0.33    0.00   -7.74 3.541E-01

  10.589 30.052  8.66    0.78   -3.30    0.31    0.00   -2.98  0.787
   3.043  0.612  6.38    0.81   -7.97    0.33    0.00   -7.64 3.601E-01

  10.589 30.052  8.64    0.78   -3.22    0.32    0.00   -2.90  0.786
   3.035  0.610  6.42    0.82   -7.88    0.33    0.00   -7.54 3.661E-01

  10.589 30.052  8.62    0.79   -3.13    0.32    0.00   -2.81  0.785
   3.027  0.607  6.45    0.83   -7.77    0.34    0.00   -7.44 3.723E-01

  10.589 30.052  8.60    0.80   -3.05    0.32    0.00   -2.73  0.784
   3.019  0.605  6.49    0.83   -7.67    0.34    0.00   -7.33 3.785E-01

  10.589 30.052  8.57    0.80   -2.97    0.32    0.00   -2.65  0.784
   3.011  0.603  6.53    0.84   -7.58    0.34    0.00   -7.23 3.847E-01

  10.589 30.052  8.55    0.81   -2.87    0.32    0.00   -2.54  0.783
   3.003  0.601  6.57    0.85   -7.46    0.34    0.00   -7.11 3.911E-01

  10.589 30.052  8.53    0.82   -2.79    0.33    0.00   -2.46  0.782
   2.995  0.598  6.60    0.85   -7.36    0.35    0.00   -7.01 3.975E-01

  10.589 30.052  8.50    0.82   -2.72    0.33    0.00   -2.39  0.779
   2.987  0.596  6.64    0.86   -7.27    0.35    0.00   -6.93 4.039E-01

  10.589 30.052  8.48    0.83   -2.63    0.33    0.00   -2.30  0.781
   2.979  0.594  6.68    0.87   -7.17    0.35    0.00   -6.82 4.104E-01

  10.589 30.052  8.46    0.84   -2.55    0.33    0.00   -2.21  0.781
   2.971  0.592  6.72    0.88   -7.07    0.35    0.00   -6.71 4.170E-01

  10.589 30.052  8.44    0.84   -2.46    0.34    0.00   -2.13  0.780
   2.963  0.589  6.76    0.88   -6.96    0.36    0.00   -6.61 4.237E-01

  10.589 30.052  8.41    0.85   -2.38    0.34    0.00   -2.04  0.780
   2.955  0.587  6.79    0.89   -6.86    0.36    0.00   -6.50 4.304E-01

  10.589 30.132  9.24    0.66   -5.27    0.30    0.00   -4.97  0.840
   3.227  0.668  5.46    0.69  -10.36    0.32    0.00  -10.04 2.287E-01

  10.589 30.132  9.21    0.66   -5.19    0.30    0.00   -4.89  0.836
   3.219  0.666  5.50    0.69  -10.26    0.32    0.00   -9.95 2.333E-01

  10.589 30.132  9.19    0.67   -5.10    0.30    0.00   -4.80  0.833
   3.211  0.664  5.54    0.70  -10.16    0.32    0.00   -9.84 2.378E-01

  10.589 30.132  9.17    0.67   -5.02    0.30    0.00   -4.73  0.829
   3.203  0.661  5.57    0.70  -10.06    0.32    0.00   -9.75 2.425E-01

  10.589 30.132  9.14    0.67   -4.94    0.30    0.00   -4.64  0.826
   3.195  0.659  5.61    0.70   -9.96    0.32    0.00   -9.65 2.472E-01

  10.589 30.132  9.12    0.68   -4.86    0.30    0.00   -4.57  0.823
   3.187  0.657  5.65    0.71   -9.87    0.32    0.00   -9.55 2.520E-01

  10.589 30.132  9.10    0.68   -4.78    0.30    0.00   -4.49  0.820
   3.179  0.654  5.69    0.71   -9.77    0.32    0.00   -9.46 2.568E-01

  10.589 30.132  9.07    0.69   -4.70    0.30    0.00   -4.40  0.817
