EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 21.447  4.73    1.36    5.35    0.75    0.01    6.11  0.858
   3.227  0.343  9.96    1.46    2.31    0.79    0.01    3.11 5.269E+00

  10.589 21.447  4.72    1.37    5.43    0.76    0.01    6.20  0.858
   3.219  0.341  9.99    1.48    2.40    0.80    0.01    3.22 5.294E+00

  10.589 21.447  4.71    1.39    5.50    0.77    0.01    6.28  0.859
   3.211  0.340 10.02    1.49    2.49    0.81    0.01    3.31 5.319E+00

  10.589 21.447  4.70    1.40    5.58    0.78    0.01    6.36  0.859
   3.203  0.339 10.04    1.50    2.59    0.82    0.01    3.42 5.345E+00

  10.589 21.447  4.69    1.41    5.66    0.79    0.01    6.45  0.859
   3.195  0.338 10.07    1.52    2.68    0.83    0.01    3.53 5.370E+00

  10.589 21.447  4.67    1.42    5.74    0.79    0.01    6.54  0.860
   3.187  0.336 10.10    1.53    2.78    0.84    0.01    3.63 5.396E+00

  10.589 21.447  4.66    1.44    5.80    0.80    0.01    6.62  0.860
   3.179  0.335 10.12    1.55    2.86    0.85    0.01    3.73 5.421E+00

  10.589 21.447  4.65    1.45    5.88    0.81    0.01    6.71  0.861
   3.171  0.334 10.15    1.56    2.96    0.86    0.01    3.84 5.446E+00

  10.589 21.447  4.64    1.46    5.96    0.82    0.01    6.80  0.861
   3.163  0.333 10.18    1.57    3.05    0.87    0.01    3.94 5.472E+00

  10.589 21.447  4.63    1.48    6.04    0.83    0.01    6.89  0.861
   3.155  0.332 10.20    1.59    3.15    0.88    0.01    4.05 5.497E+00

  10.589 21.447  4.61    1.49    6.11    0.85    0.01    6.97  0.862
   3.147  0.330 10.23    1.60    3.24    0.90    0.01    4.15 5.523E+00

  10.589 21.447  4.60    1.50    6.20    0.86    0.01    7.07  0.862
   3.139  0.329 10.26    1.62    3.35    0.91    0.01    4.27 5.548E+00

  10.589 21.447  4.59    1.52    6.28    0.87    0.01    7.16  0.862
   3.131  0.328 10.28    1.63    3.44    0.92    0.01    4.37 5.574E+00

  10.589 21.447  4.58    1.53    6.35    0.88    0.02    7.25  0.863
   3.123  0.327 10.31    1.65    3.53    0.93    0.02    4.48 5.600E+00

  10.589 21.447  4.57    1.55    6.45    0.89    0.02    7.35  0.863
   3.115  0.326 10.34    1.67    3.64    0.94    0.02    4.60 5.625E+00

  10.589 21.447  4.56    1.56    6.52    0.90    0.02    7.44  0.863
   3.107  0.324 10.36    1.68    3.74    0.95    0.02    4.71 5.651E+00

  10.589 21.447  4.54    1.57    6.60    0.91    0.02    7.53  0.864
   3.099  0.323 10.39    1.70    3.83    0.97    0.02    4.81 5.677E+00

  10.589 21.447  4.53    1.59    6.68    0.92    0.02    7.62  0.864
   3.091  0.322 10.42    1.71    3.93    0.98    0.02    4.92 5.703E+00

  10.589 21.447  4.52    1.60    6.76    0.93    0.02    7.71  0.864
   3.083  0.321 10.44    1.73    4.02    0.99    0.02    5.03 5.728E+00

  10.589 21.447  4.51    1.62    6.83    0.95    0.02    7.80  0.865
   3.075  0.320 10.47    1.75    4.12    1.00    0.02    5.14 5.754E+00

  10.589 21.447  4.50    1.63    6.91    0.96    0.02    7.89  0.865
   3.067  0.319 10.50    1.76    4.21    1.01    0.02    5.25 5.780E+00

  10.589 21.447  4.49    1.65    6.97    0.97    0.02    7.96  0.865
   3.059  0.317 10.53    1.78    4.29    1.03    0.02    5.34 5.806E+00

  10.589 21.447  4.47    1.66    7.05    0.98    0.02    8.05  0.866
   3.051  0.316 10.55    1.80    4.39    1.04    0.02    5.45 5.832E+00

  10.589 21.447  4.46    1.68    7.15    0.99    0.02    8.16  0.866
   3.043  0.315 10.58    1.82    4.50    1.05    0.02    5.57 5.858E+00

  10.589 21.447  4.45    1.70    7.22    1.01    0.02    8.25  0.866
   3.035  0.314 10.61    1.83    4.60    1.07    0.02    5.68 5.884E+00

  10.589 21.447  4.44    1.71    7.32    1.02    0.02    8.36  0.866
   3.027  0.313 10.63    1.85    4.71    1.08    0.02    5.81 5.910E+00

  10.589 21.447  4.43    1.73    7.40    1.03    0.02    8.45  0.867
   3.019  0.312 10.66    1.87    4.81    1.09    0.02    5.92 5.936E+00

  10.589 21.447  4.42    1.74    7.47    1.05    0.02    8.54  0.867
   3.011  0.310 10.69    1.89    4.90    1.11    0.02    6.03 5.963E+00

  10.589 21.447  4.40    1.76    7.56    1.06    0.02    8.64  0.867
   3.003  0.309 10.71    1.91    5.00    1.12    0.02    6.15 5.989E+00

  10.589 21.447  4.39    1.78    7.64    1.07    0.02    8.74  0.867
   2.995  0.308 10.74    1.92    5.10    1.14    0.02    6.26 6.015E+00

  10.589 21.447  4.38    1.79    7.73    1.09    0.02    8.84  0.868
   2.987  0.307 10.77    1.94    5.20    1.15    0.02    6.38 6.041E+00

  10.589 21.447  4.37    1.81    7.80    1.10    0.02    8.93  0.868
   2.979  0.306 10.79    1.96    5.30    1.17    0.02    6.49 6.068E+00

  10.589 21.447  4.36    1.83    7.88    1.11    0.03    9.02  0.868
   2.971  0.305 10.82    1.98    5.40    1.18    0.03    6.60 6.094E+00

  10.589 21.447  4.34    1.85    7.97    1.13    0.03    9.12  0.868
   2.963  0.304 10.85    2.00    5.50    1.20    0.03    6.72 6.120E+00

  10.589 21.447  4.33    1.86    8.05    1.14    0.03    9.22  0.868
   2.955  0.302 10.87    2.02    5.60    1.21    0.03    6.84 6.147E+00

  10.589 21.527  4.77    1.35    5.24    0.74    0.01    5.99  0.857
