EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.004  6.92    0.87   -0.43    0.36    0.00   -0.07  0.798
   3.227  0.501  7.78    0.91   -4.63    0.38    0.00   -4.25 1.247E+00

  10.589 26.004  6.90    0.87   -0.35    0.36    0.00    0.02  0.798
   3.219  0.499  7.81    0.92   -4.53    0.39    0.00   -4.15 1.260E+00

  10.589 26.004  6.88    0.88   -0.27    0.37    0.00    0.10  0.798
   3.211  0.497  7.84    0.93   -4.44    0.39    0.00   -4.05 1.273E+00

  10.589 26.004  6.87    0.89   -0.19    0.37    0.00    0.18  0.799
   3.203  0.495  7.87    0.93   -4.35    0.39    0.00   -3.95 1.286E+00

  10.589 26.004  6.85    0.90   -0.11    0.38    0.00    0.26  0.799
   3.195  0.494  7.91    0.94   -4.25    0.40    0.00   -3.85 1.298E+00

  10.589 26.004  6.83    0.90   -0.03    0.38    0.00    0.35  0.800
   3.187  0.492  7.94    0.95   -4.15    0.40    0.00   -3.75 1.311E+00

  10.589 26.004  6.82    0.91    0.06    0.38    0.00    0.44  0.800
   3.179  0.490  7.97    0.96   -4.05    0.41    0.00   -3.64 1.324E+00

  10.589 26.004  6.80    0.92    0.12    0.39    0.00    0.51  0.801
   3.171  0.488  8.00    0.97   -3.97    0.41    0.00   -3.56 1.338E+00

  10.589 26.004  6.78    0.93    0.19    0.39    0.00    0.59  0.801
   3.163  0.487  8.03    0.98   -3.87    0.42    0.00   -3.46 1.351E+00

  10.589 26.004  6.76    0.94    0.27    0.40    0.00    0.67  0.802
   3.155  0.485  8.07    0.99   -3.78    0.42    0.00   -3.36 1.364E+00

  10.589 26.004  6.75    0.94    0.34    0.40    0.00    0.75  0.802
   3.147  0.483  8.10    0.99   -3.69    0.42    0.00   -3.26 1.377E+00

  10.589 26.004  6.73    0.95    0.43    0.41    0.00    0.83  0.803
   3.139  0.481  8.13    1.00   -3.59    0.43    0.00   -3.16 1.391E+00

  10.589 26.004  6.71    0.96    0.50    0.41    0.00    0.91  0.803
   3.131  0.480  8.16    1.01   -3.49    0.43    0.00   -3.06 1.404E+00

  10.589 26.004  6.70    0.97    0.58    0.41    0.00    1.00  0.804
   3.123  0.478  8.19    1.02   -3.40    0.44    0.00   -2.96 1.417E+00

  10.589 26.004  6.68    0.98    0.66    0.42    0.00    1.08  0.804
   3.115  0.476  8.23    1.03   -3.31    0.44    0.00   -2.86 1.431E+00

  10.589 26.004  6.66    0.99    0.75    0.42    0.00    1.18  0.805
   3.107  0.474  8.26    1.04   -3.19    0.45    0.00   -2.74 1.445E+00

  10.589 26.004  6.64    1.00    0.82    0.43    0.00    1.25  0.805
   3.099  0.473  8.29    1.05   -3.11    0.45    0.00   -2.65 1.458E+00

  10.589 26.004  6.63    1.00    0.90    0.43    0.00    1.33  0.806
   3.091  0.471  8.32    1.06   -3.01    0.46    0.00   -2.55 1.472E+00

  10.589 26.004  6.61    1.01    0.98    0.44    0.00    1.42  0.808
   3.083  0.469  8.36    1.07   -2.92    0.47    0.00   -2.45 1.486E+00

  10.589 26.004  6.59    1.02    1.05    0.44    0.00    1.50  0.807
