EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin13_2nd                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 29.972  9.14    0.67   -4.94    0.32    0.00   -4.61  0.897
   3.227  0.662  5.56    0.70  -10.16    0.34    0.00   -9.82 3.186E-01

  10.589 29.972  9.12    0.67   -4.86    0.32    0.00   -4.54  0.893
   3.219  0.659  5.59    0.70  -10.07    0.34    0.00   -9.73 3.246E-01

  10.589 29.972  9.09    0.68   -4.77    0.32    0.00   -4.45  0.889
   3.211  0.657  5.63    0.71   -9.96    0.34    0.00   -9.62 3.306E-01

  10.589 29.972  9.07    0.68   -4.69    0.32    0.00   -4.37  0.886
   3.203  0.655  5.67    0.71   -9.86    0.34    0.00   -9.52 3.367E-01

  10.589 29.972  9.05    0.69   -4.60    0.32    0.00   -4.28  0.882
   3.195  0.652  5.71    0.72   -9.76    0.34    0.00   -9.42 3.428E-01

  10.589 29.972  9.03    0.69   -4.52    0.32    0.00   -4.20  0.879
   3.187  0.650  5.74    0.72   -9.65    0.34    0.00   -9.31 3.491E-01

  10.589 29.972  9.00    0.70   -4.43    0.32    0.00   -4.11  0.875
   3.179  0.647  5.78    0.73   -9.55    0.34    0.00   -9.21 3.554E-01

  10.589 29.972  8.98    0.70   -4.34    0.32    0.00   -4.02  0.872
   3.171  0.645  5.82    0.73   -9.44    0.34    0.00   -9.10 3.618E-01

  10.589 29.972  8.96    0.71   -4.26    0.32    0.00   -3.94  0.869
   3.163  0.643  5.86    0.74   -9.34    0.34    0.00   -9.00 3.682E-01

  10.589 29.972  8.94    0.71   -4.18    0.32    0.00   -3.85  0.867
   3.155  0.641  5.90    0.75   -9.24    0.34    0.00   -8.89 3.747E-01

  10.589 29.972  8.91    0.72   -4.09    0.32    0.00   -3.77  0.864
   3.147  0.638  5.93    0.75   -9.13    0.34    0.00   -8.79 3.813E-01

  10.589 29.972  8.89    0.73   -4.01    0.32    0.00   -3.69  0.861
   3.139  0.636  5.97    0.76   -9.03    0.34    0.00   -8.69 3.879E-01

  10.589 29.972  8.87    0.73   -3.92    0.33    0.00   -3.60  0.858
   3.131  0.634  6.01    0.76   -8.93    0.35    0.00   -8.58 3.947E-01

  10.589 29.972  8.85    0.74   -3.82    0.33    0.00   -3.50  0.856
   3.123  0.631  6.05    0.77   -8.81    0.35    0.00   -8.46 4.015E-01

  10.589 29.972  8.82    0.74   -3.75    0.33    0.00   -3.43  0.853
   3.115  0.629  6.08    0.78   -8.72    0.35    0.00   -8.37 4.083E-01

  10.589 29.972  8.80    0.75   -3.67    0.33    0.00   -3.34  0.851
