EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin15                                                               
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 31.795 10.26    0.63   -7.23    0.42    0.00   -6.81  1.089
   3.227  0.742  4.44    0.66  -12.85    0.44    0.00  -12.41 1.269E-01

  10.589 31.795 10.23    0.63   -7.15    0.42    0.00   -6.73  1.077
   3.219  0.740  4.48    0.66  -12.75    0.44    0.00  -12.31 1.302E-01

  10.589 31.795 10.20    0.63   -7.06    0.41    0.00   -6.65  1.066
   3.211  0.737  4.52    0.67  -12.64    0.43    0.00  -12.21 1.334E-01

  10.589 31.795 10.18    0.63   -6.97    0.40    0.00   -6.56  1.056
   3.203  0.734  4.56    0.67  -12.53    0.43    0.00  -12.11 1.368E-01

  10.589 31.795 10.15    0.64   -6.86    0.40    0.00   -6.46  1.045
   3.195  0.732  4.60    0.67  -12.41    0.42    0.00  -11.99 1.402E-01

  10.589 31.795 10.13    0.64   -6.78    0.39    0.00   -6.38  1.036
   3.187  0.729  4.64    0.67  -12.31    0.42    0.00  -11.89 1.436E-01

  10.589 31.795 10.10    0.64   -6.69    0.39    0.00   -6.30  1.026
   3.179  0.727  4.68    0.67  -12.20    0.41    0.00  -11.78 1.471E-01

  10.589 31.795 10.08    0.64   -6.60    0.39    0.00   -6.21  1.017
   3.171  0.724  4.72    0.68  -12.09    0.41    0.00  -11.68 1.507E-01

  10.589 31.795 10.05    0.65   -6.51    0.38    0.00   -6.12  1.008
   3.163  0.721  4.76    0.68  -11.98    0.40    0.00  -11.58 1.543E-01

  10.589 31.795 10.03    0.65   -6.41    0.38    0.00   -6.03  0.999
   3.155  0.719  4.80    0.68  -11.87    0.40    0.00  -11.47 1.580E-01

  10.589 31.795 10.00    0.65   -6.32    0.38    0.00   -5.95  0.991
   3.147  0.716  4.84    0.69  -11.76    0.40    0.00  -11.36 1.617E-01

  10.589 31.795  9.98    0.66   -6.23    0.37    0.00   -5.85  0.983
   3.139  0.714  4.88    0.69  -11.64    0.39    0.00  -11.25 1.655E-01

  10.589 31.795  9.95    0.66   -6.14    0.37    0.00   -5.77  0.975
   3.131  0.711  4.93    0.69  -11.54    0.39    0.00  -11.15 1.694E-01

  10.589 31.795  9.93    0.66   -6.05    0.37    0.00   -5.69  0.968
   3.123  0.708  4.97    0.70  -11.43    0.39    0.00  -11.04 1.733E-01

  10.589 31.795  9.90    0.67   -5.96    0.36    0.00   -5.60  0.960
   3.115  0.706  5.01    0.70  -11.32    0.39    0.00  -10.93 1.773E-01

  10.589 31.795  9.87    0.67   -5.86    0.36    0.00   -5.50  0.953
   3.107  0.703  5.05    0.71  -11.20    0.38    0.00  -10.82 1.814E-01

  10.589 31.795  9.85    0.68   -5.78    0.36    0.00   -5.42  0.947
   3.099  0.701  5.09    0.71  -11.10    0.38    0.00  -10.72 1.855E-01

  10.589 31.795  9.82    0.68   -5.69    0.36    0.00   -5.33  0.940
   3.091  0.698  5.13    0.71  -10.99    0.38    0.00  -10.61 1.896E-01

  10.589 31.795  9.80    0.69   -5.60    0.36    0.00   -5.24  0.934
   3.083  0.696  5.17    0.72  -10.89    0.38    0.00  -10.51 1.939E-01

  10.589 31.795  9.77    0.69   -5.50    0.36    0.00   -5.15  0.928
   3.075  0.693  5.21    0.72  -10.77    0.38    0.00  -10.39 1.982E-01

  10.589 31.795  9.75    0.69   -5.42    0.35    0.00   -5.07  0.923
   3.067  0.691  5.25    0.73  -10.67    0.37    0.00  -10.29 2.025E-01

  10.589 31.795  9.72    0.70   -5.32    0.35    0.00   -4.97  0.917
   3.059  0.688  5.29    0.73  -10.55    0.37    0.00  -10.17 2.069E-01

  10.589 31.795  9.70    0.70   -5.24    0.35    0.00   -4.89  0.912
   3.051  0.685  5.33    0.74  -10.45    0.37    0.00  -10.08 2.114E-01

  10.589 31.795  9.67    0.71   -5.15    0.35    0.00   -4.80  0.908
   3.043  0.683  5.37    0.74  -10.34    0.37    0.00   -9.97 2.160E-01

  10.589 31.795  9.65    0.71   -5.07    0.35    0.00   -4.72  0.902
   3.035  0.680  5.41    0.75  -10.24    0.37    0.00   -9.87 2.206E-01

  10.589 31.795  9.62    0.72   -4.98    0.35    0.00   -4.63  0.897
   3.027  0.678  5.45    0.75  -10.13    0.37    0.00   -9.76 2.252E-01

  10.589 31.795  9.59    0.73   -4.88    0.35    0.00   -4.53  0.893
   3.019  0.675  5.49    0.76  -10.01    0.37    0.00   -9.64 2.300E-01

  10.589 31.795  9.57    0.73   -4.79    0.35    0.00   -4.44  0.888
   3.011  0.673  5.53    0.76   -9.90    0.37    0.00   -9.53 2.348E-01

  10.589 31.795  9.54    0.74   -4.70    0.35    0.00   -4.35  0.884
   3.003  0.670  5.57    0.77   -9.79    0.37    0.00   -9.42 2.396E-01

  10.589 31.795  9.52    0.74   -4.61    0.35    0.00   -4.26  0.881
   2.995  0.668  5.61    0.78   -9.69    0.37    0.00   -9.32 2.445E-01

  10.589 31.795  9.49    0.75   -4.52    0.35    0.00   -4.17  0.877
   2.987  0.665  5.65    0.78   -9.58    0.37    0.00   -9.21 2.495E-01

  10.589 31.795  9.47    0.75   -4.43    0.35    0.00   -4.08  0.873
   2.979  0.663  5.69    0.79   -9.47    0.37    0.00   -9.09 2.546E-01

  10.589 31.795  9.44    0.76   -4.34    0.35    0.00   -3.99  0.870
   2.971  0.660  5.73    0.80   -9.35    0.37    0.00   -8.98 2.597E-01

  10.589 31.795  9.42    0.77   -4.24    0.35    0.00   -3.89  0.866
   2.963  0.658  5.77    0.80   -9.24    0.37    0.00   -8.87 2.649E-01

