EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin5                                                                
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 21.447  4.73    1.60    5.90    0.84    0.01    6.75  0.846
   3.227  0.343  9.96    1.71    2.85    0.90    0.01    3.75 6.194E+00

  10.589 21.447  4.72    1.61    5.98    0.85    0.01    6.84  0.846
   3.219  0.341  9.99    1.73    2.95    0.91    0.01    3.86 6.221E+00

  10.589 21.447  4.71    1.63    6.05    0.87    0.01    6.93  0.846
   3.211  0.340 10.02    1.75    3.04    0.92    0.01    3.97 6.249E+00

  10.589 21.447  4.70    1.64    6.13    0.88    0.01    7.02  0.846
   3.203  0.339 10.04    1.77    3.14    0.93    0.01    4.08 6.276E+00

  10.589 21.447  4.69    1.66    6.22    0.89    0.01    7.11  0.846
   3.195  0.338 10.07    1.78    3.24    0.94    0.01    4.19 6.303E+00

  10.589 21.447  4.67    1.68    6.29    0.90    0.01    7.20  0.846
   3.187  0.336 10.10    1.80    3.34    0.95    0.01    4.30 6.331E+00

  10.589 21.447  4.66    1.69    6.37    0.91    0.01    7.29  0.846
   3.179  0.335 10.12    1.82    3.43    0.96    0.01    4.40 6.358E+00

  10.589 21.447  4.65    1.71    6.45    0.92    0.01    7.38  0.846
   3.171  0.334 10.15    1.84    3.53    0.98    0.01    4.52 6.386E+00

  10.589 21.447  4.64    1.73    6.53    0.93    0.01    7.47  0.846
   3.163  0.333 10.18    1.86    3.63    0.99    0.01    4.63 6.413E+00

  10.589 21.447  4.63    1.74    6.61    0.94    0.01    7.57  0.846
   3.155  0.332 10.20    1.88    3.73    1.00    0.01    4.74 6.441E+00

  10.589 21.447  4.61    1.76    6.69    0.96    0.01    7.66  0.846
   3.147  0.330 10.23    1.90    3.82    1.01    0.01    4.85 6.468E+00

  10.589 21.447  4.60    1.78    6.78    0.97    0.01    7.76  0.846
   3.139  0.329 10.26    1.91    3.94    1.03    0.01    4.98 6.495E+00

  10.589 21.447  4.59    1.80    6.86    0.98    0.01    7.85  0.846
   3.131  0.328 10.28    1.93    4.03    1.04    0.01    5.09 6.523E+00

  10.589 21.447  4.58    1.81    6.94    0.99    0.01    7.95  0.846
   3.123  0.327 10.31    1.95    4.13    1.05    0.01    5.20 6.550E+00

  10.589 21.447  4.57    1.83    7.04    1.01    0.01    8.06  0.846
   3.115  0.326 10.34    1.97    4.25    1.07    0.01    5.33 6.578E+00

  10.589 21.447  4.56    1.85    7.12    1.02    0.01    8.15  0.846
   3.107  0.324 10.36    1.99    4.34    1.08    0.01    5.44 6.606E+00

  10.589 21.447  4.54    1.87    7.20    1.03    0.01    8.24  0.846
   3.099  0.323 10.39    2.02    4.44    1.09    0.01    5.55 6.633E+00

  10.589 21.447  4.53    1.89    7.28    1.04    0.01    8.34  0.846
   3.091  0.322 10.42    2.04    4.54    1.11    0.01    5.67 6.661E+00

  10.589 21.447  4.52    1.91    7.36    1.06    0.01    8.43  0.846
   3.083  0.321 10.44    2.06    4.64    1.12    0.01    5.78 6.688E+00

  10.589 21.447  4.51    1.93    7.44    1.07    0.02    8.53  0.846
   3.075  0.320 10.47    2.08    4.75    1.14    0.02    5.90 6.716E+00

  10.589 21.447  4.50    1.94    7.52    1.09    0.02    8.62  0.846
   3.067  0.319 10.50    2.10    4.85    1.15    0.02    6.01 6.744E+00

  10.589 21.447  4.49    1.96    7.59    1.10    0.02    8.70  0.846
   3.059  0.317 10.53    2.12    4.93    1.17    0.02    6.11 6.771E+00

  10.589 21.447  4.47    1.98    7.67    1.11    0.02    8.80  0.846
   3.051  0.316 10.55    2.14    5.03    1.18    0.02    6.23 6.799E+00

  10.589 21.447  4.46    2.00    7.77    1.13    0.02    8.91  0.846
   3.043  0.315 10.58    2.17    5.15    1.20    0.02    6.36 6.827E+00

  10.589 21.447  4.45    2.03    7.85    1.14    0.02    9.01  0.846
   3.035  0.314 10.61    2.19    5.25    1.21    0.02    6.48 6.854E+00

  10.589 21.447  4.44    2.05    7.95    1.16    0.02    9.12  0.845
   3.027  0.313 10.63    2.21    5.36    1.23    0.02    6.61 6.882E+00

  10.589 21.447  4.43    2.07    8.03    1.17    0.02    9.23  0.845
   3.019  0.312 10.66    2.24    5.47    1.25    0.02    6.74 6.910E+00

  10.589 21.447  4.42    2.09    8.11    1.19    0.02    9.32  0.845
   3.011  0.310 10.69    2.26    5.57    1.26    0.02    6.85 6.937E+00

  10.589 21.447  4.40    2.11    8.20    1.20    0.02    9.42  0.845
   3.003  0.309 10.71    2.28    5.68    1.28    0.02    6.97 6.965E+00

  10.589 21.447  4.39    2.13    8.29    1.22    0.02    9.53  0.845
   2.995  0.308 10.74    2.31    5.79    1.30    0.02    7.10 6.993E+00

  10.589 21.447  4.38    2.15    8.38    1.24    0.02    9.63  0.845
   2.987  0.307 10.77    2.33    5.89    1.31    0.02    7.22 7.021E+00

  10.589 21.447  4.37    2.18    8.46    1.25    0.02    9.73  0.845
   2.979  0.306 10.79    2.36    5.99    1.33    0.02    7.34 7.049E+00

  10.589 21.447  4.36    2.20    8.54    1.27    0.02    9.83  0.845
   2.971  0.305 10.82    2.38    6.09    1.35    0.02    7.46 7.077E+00

  10.589 21.447  4.34    2.22    8.63    1.29    0.02    9.94  0.845
   2.963  0.304 10.85    2.41    6.20    1.37    0.02    7.59 7.104E+00

  10.589 21.447  4.33    2.25    8.72    1.30    0.02   10.04  0.845
   2.955  0.302 10.87    2.44    6.31    1.38    0.02    7.71 7.132E+00

  10.589 21.527  4.77    1.58    5.78    0.83    0.01    6.62  0.845
