EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7_2nd                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 23.831  5.83    1.19    2.68    0.55    0.00    3.23  0.834
   3.227  0.422  8.87    1.26   -1.06    0.58    0.00   -0.48 3.094E+00

  10.589 23.831  5.81    1.20    2.76    0.56    0.00    3.32  0.834
   3.219  0.420  8.90    1.27   -0.96    0.59    0.00   -0.37 3.115E+00

  10.589 23.831  5.80    1.21    2.84    0.56    0.00    3.40  0.834
   3.211  0.419  8.93    1.28   -0.87    0.60    0.00   -0.27 3.136E+00

  10.589 23.831  5.78    1.22    2.92    0.57    0.00    3.49  0.834
   3.203  0.417  8.96    1.30   -0.77    0.60    0.00   -0.16 3.157E+00

  10.589 23.831  5.77    1.23    2.99    0.58    0.00    3.57  0.834
   3.195  0.416  8.99    1.31   -0.67    0.61    0.00   -0.06 3.178E+00

  10.589 23.831  5.75    1.24    3.07    0.58    0.00    3.66  0.835
   3.187  0.414  9.02    1.32   -0.58    0.62    0.00    0.04 3.199E+00

  10.589 23.831  5.74    1.26    3.14    0.59    0.00    3.73  0.835
   3.179  0.413  9.05    1.33   -0.48    0.63    0.00    0.14 3.220E+00

  10.589 23.831  5.73    1.27    3.22    0.60    0.00    3.82  0.835
   3.171  0.411  9.08    1.35   -0.39    0.63    0.00    0.25 3.241E+00

  10.589 23.831  5.71    1.28    3.30    0.61    0.00    3.91  0.835
   3.163  0.410  9.10    1.36   -0.29    0.64    0.00    0.36 3.262E+00

  10.589 23.831  5.70    1.29    3.38    0.61    0.00    4.00  0.835
   3.155  0.408  9.13    1.37   -0.19    0.65    0.00    0.46 3.283E+00

  10.589 23.831  5.68    1.31    3.47    0.62    0.00    4.09  0.835
   3.147  0.407  9.16    1.39   -0.09    0.66    0.00    0.57 3.304E+00

  10.589 23.831  5.67    1.32    3.55    0.63    0.00    4.18  0.836
   3.139  0.405  9.19    1.40    0.01    0.67    0.00    0.68 3.325E+00

  10.589 23.831  5.65    1.33    3.64    0.64    0.00    4.28  0.836
   3.131  0.404  9.22    1.42    0.12    0.68    0.00    0.80 3.347E+00

  10.589 23.831  5.64    1.34    3.72    0.65    0.00    4.37  0.836
   3.123  0.402  9.25    1.43    0.22    0.68    0.00    0.91 3.368E+00

  10.589 23.831  5.62    1.36    3.79    0.65    0.00    4.44  0.836
   3.115  0.401  9.28    1.45    0.31    0.69    0.00    1.00 3.389E+00

  10.589 23.831  5.61    1.37    3.87    0.66    0.00    4.53  0.836
   3.107  0.400  9.31    1.46    0.41    0.70    0.00    1.11 3.410E+00

  10.589 23.831  5.60    1.39    3.95    0.67    0.00    4.62  0.836
   3.099  0.398  9.34    1.48    0.51    0.71    0.00    1.22 3.432E+00

  10.589 23.831  5.58    1.40    4.04    0.68    0.00    4.72  0.836
   3.091  0.397  9.37    1.49    0.61    0.72    0.00    1.33 3.453E+00

  10.589 23.831  5.57    1.41    4.11    0.69    0.00    4.80  0.837
   3.083  0.395  9.40    1.51    0.70    0.73    0.00    1.44 3.475E+00

  10.589 23.831  5.55    1.43    4.19    0.70    0.00    4.89  0.837
   3.075  0.394  9.43    1.52    0.80    0.74    0.00    1.55 3.496E+00

  10.589 23.831  5.54    1.44    4.29    0.71    0.00    5.00  0.837
   3.067  0.392  9.46    1.54    0.92    0.75    0.00    1.67 3.518E+00

  10.589 23.831  5.52    1.46    4.37    0.72    0.00    5.09  0.837
   3.059  0.391  9.49    1.55    1.02    0.76    0.00    1.78 3.539E+00

  10.589 23.831  5.51    1.47    4.45    0.72    0.00    5.18  0.834
   3.051  0.389  9.52    1.57    1.12    0.76    0.00    1.89 3.561E+00

  10.589 23.831  5.49    1.49    4.53    0.73    0.00    5.27  0.837
   3.043  0.388  9.55    1.59    1.22    0.78    0.00    2.00 3.583E+00

  10.589 23.831  5.48    1.50    4.61    0.74    0.00    5.36  0.837
   3.035  0.387  9.58    1.60    1.32    0.79    0.00    2.11 3.604E+00

  10.589 23.831  5.47    1.52    4.69    0.75    0.00    5.45  0.838
   3.027  0.385  9.61    1.62    1.41    0.80    0.00    2.22 3.626E+00

  10.589 23.831  5.45    1.53    4.78    0.76    0.00    5.55  0.838
   3.019  0.384  9.63    1.64    1.52    0.81    0.00    2.34 3.648E+00

  10.589 23.831  5.44    1.55    4.87    0.77    0.00    5.65  0.838
   3.011  0.382  9.66    1.65    1.63    0.82    0.00    2.45 3.670E+00

  10.589 23.831  5.42    1.56    4.95    0.78    0.00    5.74  0.838
   3.003  0.381  9.69    1.67    1.73    0.83    0.00    2.57 3.691E+00

  10.589 23.831  5.41    1.58    5.03    0.79    0.00    5.83  0.838
