 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.171196833       2.41777897       15.6920996       3.06310010       18.9694366       22.7293491       1.1982089281082153     
  0.192691758       2.71697211       16.6082001       3.07520008       14.8040838       17.3363552       1.1710522174835205     
  0.193554357       2.72092605       16.5592003       3.09780002       14.9231119       17.4438648       1.1689159870147705     
  0.219590142       3.08515739       17.6287003       3.10209990       11.2301979       12.8119287       1.1408462524414062     
  0.220300257       3.09430718       17.6492996       3.10409999       11.1633825       12.7267456       1.1400438547134399     
  0.222425088       3.14510560       17.9416008       3.05390000       10.4870272       11.9675274       1.1411744356155396     
  0.240472913       3.35594392       18.2444992       3.15219998       9.40801239       10.5210133       1.1183035373687744     
  0.246079877       3.45917511       18.6879005       3.09809995       8.51626396       9.50938225       1.1166143417358398     
  0.247395173       3.46800780       18.6488991       3.11890006       8.54528141       9.52136993       1.1142253875732422     
  0.259412915       3.67025781       19.4092007       3.04949999       7.17896175       7.95511484       1.1081149578094482     
  0.274372697       3.85369825       19.7150002       3.10430002       6.49115038       7.09518766       1.0930554866790771     
  0.284712642       4.00304174       20.1224995       3.09660006       5.84923267       6.35035181       1.0856726169586182     
  0.297721148       4.21320486       20.8160992       3.04780006       4.98183107       5.37579203       1.0790795087814331     
  0.298364103       4.17068052       20.3999996       3.14000010       5.33173513       5.72442389       1.0736511945724487     
  0.313877583       4.40891743       21.1047001       3.10369992       4.49188375       4.78330612       1.0648775100708008     
  0.324695915       4.56660557       21.5161991       3.09430003       4.04165268       4.27744389       1.0583403110504150     
  0.334035456       4.72748327       22.0671997       3.04719996       3.57785606       3.77382040       1.0547714233398438     
  0.339987725       4.75411177       21.8052998       3.13750005       3.64755464       3.81812191       1.0467621088027954     
  0.353157640       4.96166325       22.4102001       3.10220003       3.15349340       3.28138566       1.0405557155609131     
  0.361032456       5.07799053       22.7059994       3.09380007       2.92123866       3.02765560       1.0364286899566650     
  0.379805952       5.31446123       23.0898991       3.13249993       2.55401444       2.61615872       1.0243320465087891     
  0.388610125       5.45865631       23.5153008       3.10369992       2.30959105       2.35768223       1.0208224058151245     
  0.411372870       5.82255220       24.5286007       3.04649997       1.80553913       1.82662940       1.0116808414459229     
  0.418293238       5.85448837       24.2591000       3.13059998       1.81877029       1.82737172       1.0047292709350586     
  0.444010645       6.24467802       25.2161999       3.09430003       1.40790904       1.39949822      0.99402600526809692     
  0.475578815       6.68036079       26.0562000       3.10360003       1.07108307       1.04908550      0.97946232557296753     
  0.482260615       6.83358669       26.6469002       3.03800011      0.956019700      0.936045945      0.97910737991333008     
  0.506854177       7.08315611       26.6769009       3.14199996      0.832687914      0.803454876      0.96489316225051880     
  0.516103208       7.26499844       27.2646999       3.08769989      0.731628656      0.704666018      0.96314710378646851     
  0.549795687       7.72256136       28.0522995       3.10389996      0.541102350      0.513683796      0.94932836294174194     
  0.554836929       7.86927366       28.6688004       3.03099990      0.485610396      0.461327374      0.94999486207962036     
  0.586056411       8.19284630       28.7444000       3.13940001      0.392454267      0.366781145      0.93458312749862671     
  0.594563663       8.37235832       29.3248005       3.08509994      0.344835818      0.321836174      0.93330264091491699     
  0.625924170       8.88702106       30.5505009       3.02290010      0.238070115      0.220042244      0.92427492141723633     
  0.637948871       8.95515633       30.2343006       3.10859990      0.225631535      0.206961736      0.91725534200668335     
  0.663554907       9.36067009       31.1184006       3.07159996      0.166267484      0.151252329      0.90969276428222656     
  0.680460393       9.48844433       30.8915005       3.15829992      0.148466960      0.133820802      0.90135073661804199     
  0.698120773       9.92020893       32.3576012       3.01670003      0.107762180       9.69710425E-02  0.89986157417297363     
  0.704961300       9.90152550       31.8546009       3.10430002      0.107303515       9.60319638E-02  0.89495635032653809     
  0.737599254       10.4171066       32.9220009       3.06299996       7.01737851E-02   6.21442460E-02  0.88557636737823486     
  0.738052547       10.7584019       34.9216995       2.82119989       5.65804616E-02   5.05256020E-02  0.89298671483993530     
  0.749933302       10.4812498       32.6007996       3.14120007       6.44464716E-02   5.66612147E-02  0.87919807434082031     
  0.779211044       10.9528799       33.5829010       3.09850001       4.26451229E-02   3.71409319E-02  0.87093037366867065     
  0.780286372       11.3118019       35.5624008       2.86369991       3.41969356E-02   3.00149415E-02  0.87770849466323853     
  0.820352733       11.4859228       34.2481003       3.12789989       2.49178447E-02   2.13368349E-02  0.85628736019134521     
  0.824597359       11.8975439       36.2639999       2.90030003       1.91174187E-02   1.64690465E-02  0.86146813631057739     
