 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.1285  16.2905   0.1900   2.6600  0.90216E+01  0.90216E+01  0.00000E+00  0.10958E+02  0.51556E+00  0.00000E+00  0.10443E+02  0.10000E+01
   10.5890   3.1285  17.5388   0.2200   3.0800  0.65847E+01  0.65847E+01  0.00000E+00  0.77382E+01  0.29625E+00  0.00000E+00  0.74419E+01  0.10000E+01
   10.5890   3.1285  18.7065   0.2500   3.5000  0.49242E+01  0.49242E+01  0.00000E+00  0.56235E+01  0.17857E+00  0.00000E+00  0.54450E+01  0.10000E+01
   10.5890   3.1285  20.1621   0.2900   4.0600  0.34272E+01  0.34272E+01  0.00000E+00  0.37867E+01  0.96190E-01  0.00000E+00  0.36905E+01  0.10000E+01
   10.5890   3.1285  21.5232   0.3300   4.6200  0.24279E+01  0.24279E+01  0.00000E+00  0.26066E+01  0.54370E-01  0.00000E+00  0.25523E+01  0.10000E+01
   10.5890   3.1285  22.4924   0.3600   5.0400  0.18869E+01  0.18869E+01  0.00000E+00  0.19871E+01  0.36282E-01  0.00000E+00  0.19508E+01  0.10000E+01
   10.5890   3.1285  23.2708   0.3850   5.3900  0.15324E+01  0.15324E+01  0.00000E+00  0.15897E+01  0.26205E-01  0.00000E+00  0.15635E+01  0.10000E+01
   10.5890   3.1285  24.6134   0.4300   6.0200  0.10537E+01  0.10537E+01  0.00000E+00  0.10662E+01  0.14879E-01  0.00000E+00  0.10513E+01  0.10000E+01
   10.5890   3.1285  26.0288   0.4800   6.7200  0.69050E+00  0.69050E+00  0.00000E+00  0.68105E+00  0.80793E-02  0.00000E+00  0.67297E+00  0.10000E+01
   10.5890   3.1285  26.8446   0.5100   7.1400  0.53236E+00  0.53236E+00  0.00000E+00  0.51764E+00  0.56294E-02  0.00000E+00  0.51201E+00  0.10000E+01
   10.5890   3.1285  27.8980   0.5500   7.7001  0.37221E+00  0.37221E+00  0.00000E+00  0.35531E+00  0.34856E-02  0.00000E+00  0.35183E+00  0.10000E+01
   10.5890   3.1285  28.9160   0.5900   8.2601  0.25601E+00  0.25601E+00  0.00000E+00  0.24007E+00  0.21554E-02  0.00000E+00  0.23792E+00  0.10000E+01
   10.5890   3.1285  29.9022   0.6300   8.8201  0.17243E+00  0.17243E+00  0.00000E+00  0.15891E+00  0.13287E-02  0.00000E+00  0.15758E+00  0.10000E+01
   10.5890   3.1285  30.8597   0.6700   9.3800  0.11314E+00  0.11314E+00  0.00000E+00  0.10250E+00  0.81587E-03  0.00000E+00  0.10168E+00  0.10000E+01
   10.5890   3.1285  31.5607   0.7000   9.8001  0.80749E-01  0.80749E-01  0.00000E+00  0.72245E-01  0.56482E-03  0.00000E+00  0.71680E-01  0.10000E+01
   10.5890   3.1285  32.4741   0.7400  10.3601  0.49741E-01  0.49741E-01  0.00000E+00  0.43789E-01  0.34633E-03  0.00000E+00  0.43442E-01  0.10000E+01
   10.5890   3.1285  33.3652   0.7800  10.9201  0.29318E-01  0.29318E-01  0.00000E+00  0.25434E-01  0.21456E-03  0.00000E+00  0.25219E-01  0.10000E+01
   10.5890   3.1285  34.2357   0.8200  11.4801  0.16315E-01  0.16315E-01  0.00000E+00  0.14027E-01  0.13695E-03  0.00000E+00  0.13890E-01  0.10000E+01
