 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.0626  15.6945   0.1712   2.4181  0.10611E+02  0.10611E+02  0.00000E+00  0.13262E+02  0.74151E+00  0.00000E+00  0.12521E+02  0.10000E+01
   10.5890   3.0766  16.6053   0.1927   2.7173  0.84010E+01  0.84010E+01  0.00000E+00  0.10209E+02  0.48348E+00  0.00000E+00  0.97252E+01  0.10000E+01
   10.5890   3.0978  16.5609   0.1936   2.7215  0.84653E+01  0.84653E+01  0.00000E+00  0.10261E+02  0.47784E+00  0.00000E+00  0.97832E+01  0.10000E+01
   10.5890   3.1033  17.6244   0.2196   3.0849  0.64799E+01  0.64799E+01  0.00000E+00  0.76296E+01  0.29577E+00  0.00000E+00  0.73338E+01  0.10000E+01
   10.5890   3.1044  17.6481   0.2203   3.0942  0.64403E+01  0.64403E+01  0.00000E+00  0.75780E+01  0.29320E+00  0.00000E+00  0.72848E+01  0.10000E+01
   10.5890   3.0529  17.9445   0.2224   3.1451  0.60534E+01  0.60534E+01  0.00000E+00  0.71310E+01  0.27878E+00  0.00000E+00  0.68522E+01  0.10000E+01
   10.5890   3.1519  18.2412   0.2404   3.3544  0.54962E+01  0.54962E+01  0.00000E+00  0.63231E+01  0.21023E+00  0.00000E+00  0.61129E+01  0.10000E+01
   10.5890   3.0982  18.6906   0.2462   3.4603  0.49836E+01  0.49836E+01  0.00000E+00  0.57216E+01  0.18891E+00  0.00000E+00  0.55327E+01  0.10000E+01
   10.5890   3.1196  18.6428   0.2473   3.4665  0.50145E+01  0.50145E+01  0.00000E+00  0.57435E+01  0.18620E+00  0.00000E+00  0.55573E+01  0.10000E+01
   10.5890   3.0501  19.4091   0.2595   3.6709  0.42356E+01  0.42356E+01  0.00000E+00  0.48198E+01  0.15104E+00  0.00000E+00  0.46688E+01  0.10000E+01
   10.5890   3.1040  19.7200   0.2745   3.8553  0.38583E+01  0.38583E+01  0.00000E+00  0.43218E+01  0.12090E+00  0.00000E+00  0.42009E+01  0.10000E+01
   10.5890   3.0973  20.1190   0.2847   4.0026  0.35029E+01  0.35029E+01  0.00000E+00  0.38930E+01  0.10343E+00  0.00000E+00  0.37896E+01  0.10000E+01
   10.5890   3.0476  20.8205   0.2978   4.2147  0.29998E+01  0.29998E+01  0.00000E+00  0.33098E+01  0.84403E-01  0.00000E+00  0.32254E+01  0.10000E+01
   10.5890   3.1388  20.4026   0.2983   4.1701  0.32141E+01  0.32141E+01  0.00000E+00  0.35271E+01  0.85369E-01  0.00000E+00  0.34417E+01  0.10000E+01
   10.5890   3.1048  21.1010   0.3139   4.4089  0.27321E+01  0.27321E+01  0.00000E+00  0.29707E+01  0.67725E-01  0.00000E+00  0.29030E+01  0.10000E+01
   10.5890   3.0939  21.5210   0.3248   4.5680  0.24685E+01  0.24685E+01  0.00000E+00  0.26645E+01  0.58035E-01  0.00000E+00  0.26065E+01  0.10000E+01
   10.5890   3.1378  21.8012   0.3399   4.7528  0.22498E+01  0.22498E+01  0.00000E+00  0.23986E+01  0.47571E-01  0.00000E+00  0.23510E+01  0.10000E+01
   10.5890   3.1010  22.4172   0.3532   4.9628  0.19539E+01  0.19539E+01  0.00000E+00  0.20692E+01  0.39493E-01  0.00000E+00  0.20298E+01  0.10000E+01
   10.5890   3.1307  23.1029   0.3799   5.3173  0.16013E+01  0.16013E+01  0.00000E+00  0.16660E+01  0.27989E-01  0.00000E+00  0.16380E+01  0.10000E+01
