 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.171209589       2.41811967       15.6945000       3.06259990       10.6105509       13.2624369       1.2499291896820068     
  0.192748562       2.71726680       16.6053009       3.07660007       8.40098667       10.2086430       1.2151719331741333     
  0.193593800       2.72148061       16.5608997       3.09780002       8.46525478       10.2610750       1.2121400833129883     
  0.219603986       3.08485699       17.6243992       3.10330009       6.47990704       7.62957621       1.1774206161499023     
  0.220300704       3.09418988       17.6480999       3.10439992       6.44034672       7.57801437       1.1766469478607178     
  0.222394004       3.14508319       17.9445000       3.05290008       6.05344439       7.13100147       1.1780072450637817     
  0.240354061       3.35442066       18.2411995       3.15190005       5.49624109       6.32310915       1.1504424810409546     
  0.246161535       3.46027684       18.6905994       3.09820008       4.98358631       5.72160721       1.1480903625488281     
  0.247313455       3.46653724       18.6427994       3.11960006       5.01447439       5.74349546       1.1453833580017090     
  0.259481937       3.67094207       19.4090996       3.05010009       4.23555613       4.81979084       1.1379357576370239     
  0.274472922       3.85526061       19.7199993       3.10400009       3.85829377       4.32177114       1.1201249361038208     
  0.284705579       4.00256824       20.1189995       3.09730005       3.50286055       3.89302707       1.1113851070404053     
  0.297818214       4.21469021       20.8204994       3.04760003       2.99976182       3.30984735       1.1033700704574585     
  0.298277140       4.17013741       20.4025993       3.13879991       3.21406603       3.52706981       1.0973856449127197     
  0.313926041       4.40894985       21.1009998       3.10479999       2.73212814       2.97067952       1.0873134136199951     
  0.324779689       4.56802797       21.5209999       3.09389997       2.46854591       2.66452146       1.0793890953063965     
  0.339907646       4.75280046       21.8012009       3.13779998       2.24975395       2.39859104       1.0661571025848389     
  0.353182107       4.96280241       22.4172001       3.10100007       1.95392251       2.06924391       1.0590204000473022     
  0.379917741       5.31730843       23.1028996       3.13070011       1.60130644       1.66596878       1.0403809547424316     
