                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.1285  16.2905  0.25292E+02  0.29773E+02  0.45785E-01  0.29044E+02  0.29595E+02  0.45998E-01  0.28822E+02
   10.5890   3.1285  17.5388  0.18218E+02  0.20954E+02  0.18580E-01  0.20551E+02  0.20719E+02  0.18656E-01  0.20292E+02
   10.5890   3.1285  18.7065  0.13443E+02  0.15152E+02  0.77205E-02  0.14919E+02  0.14912E+02  0.77487E-02  0.14665E+02
   10.5890   3.1285  20.1621  0.91902E+01  0.10115E+02  0.24369E-02  0.99964E+01  0.99007E+01  0.24442E-02  0.97752E+01
   10.5890   3.1285  21.5232  0.63946E+01  0.68945E+01  0.77070E-03  0.68317E+01  0.67162E+01  0.77257E-03  0.66496E+01
   10.5890   3.1285  22.4924  0.49036E+01  0.52132E+01  0.32182E-03  0.51731E+01  0.50617E+01  0.32246E-03  0.50192E+01
   10.5890   3.1285  23.2708  0.39387E+01  0.41425E+01  0.15343E-03  0.41146E+01  0.40118E+01  0.15369E-03  0.39822E+01
   10.5890   3.1285  24.6134  0.26566E+01  0.27441E+01  0.38881E-04  0.27292E+01  0.26461E+01  0.38920E-04  0.26302E+01
   10.5890   3.1285  26.0288  0.17062E+01  0.17305E+01  0.81588E-05  0.17228E+01  0.16613E+01  0.81623E-05  0.16531E+01
   10.5890   3.1285  26.8446  0.13009E+01  0.13060E+01  0.33557E-05  0.13007E+01  0.12506E+01  0.33559E-05  0.12450E+01
   10.5890   3.1285  27.8980  0.89750E+00  0.88920E+00  0.12727E-05  0.88594E+00  0.84871E+00  0.12721E-05  0.84525E+00
   10.5890   3.1285  28.9160  0.61055E+00  0.59752E+00  0.66306E-06  0.59547E+00  0.56853E+00  0.66248E-06  0.56635E+00
   10.5890   3.1285  29.9022  0.40813E+00  0.39464E+00  0.41420E-06  0.39331E+00  0.37435E+00  0.41365E-06  0.37294E+00
   10.5890   3.1285  30.8597  0.26713E+00  0.25526E+00  0.26936E-06  0.25436E+00  0.24142E+00  0.26891E-06  0.24047E+00
   10.5890   3.1285  31.5607  0.19129E+00  0.18124E+00  0.19219E-06  0.18056E+00  0.17104E+00  0.19180E-06  0.17032E+00
   10.5890   3.1285  32.4741  0.11964E+00  0.11209E+00  0.11724E-06  0.11159E+00  0.10548E+00  0.11696E-06  0.10495E+00
   10.5890   3.1285  33.3652  0.72622E-01  0.67293E-01  0.67449E-07  0.66898E-01  0.63145E-01  0.67257E-07  0.62734E-01
   10.5890   3.1285  34.2357  0.42733E-01  0.39143E-01  0.37091E-07  0.38809E-01  0.36621E-01  0.36971E-07  0.36278E-01
