 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.171196833       2.41777897       15.6920996       3.06310010       30.0083542       35.9735222       1.1987836360931396     
  0.192691758       2.71697211       16.6082001       3.07520008       23.5126247       27.5240746       1.1706082820892334     
  0.193554357       2.72092605       16.5592003       3.09780002       23.7053623       27.6896858       1.1680768728256226     
  0.219590142       3.08515739       17.6287003       3.10209990       17.9165039       20.4129257       1.1393364667892456     
  0.220300257       3.09430718       17.6492996       3.10409999       17.8118687       20.2791386       1.1385183334350586     
  0.222425088       3.14510560       17.9416008       3.05390000       16.7380562       19.0742779       1.1395754814147949     
  0.240472913       3.35594392       18.2444992       3.15219998       15.0553932       16.8087521       1.1164605617523193     
  0.246079877       3.45917511       18.6879005       3.09809995       13.6385431       15.2020121       1.1146360635757446     
  0.247395173       3.46800780       18.6488991       3.11890006       13.6874237       15.2215490       1.1120828390121460     
  0.259412915       3.67025781       19.4092007       3.04949999       11.5162125       12.7334061       1.1056939363479614     
  0.274372697       3.85369825       19.7150002       3.10430002       10.4307833       11.3740759       1.0904334783554077     
  0.284712642       4.00304174       20.1224995       3.09660006       9.40937614       10.1895237       1.0829117298126221     
  0.297721148       4.21320486       20.8160992       3.04780006       8.02385521       8.63329792       1.0759538412094116     
  0.298364103       4.17068052       20.3999996       3.14000010       8.58804035       9.19607830       1.0708005428314209     
  0.313877583       4.40891743       21.1047001       3.10369992       7.24460936       7.69189501       1.0617405176162720     
  0.324695915       4.56660557       21.5161991       3.09430003       6.52370358       6.88489056       1.0553653240203857     
  0.334035456       4.72748327       22.0671997       3.04719996       5.77868795       6.07726574       1.0516687631607056     
  0.339987725       4.75411177       21.8052998       3.13750005       5.89357185       6.15077496       1.0436413288116455     
  0.353157640       4.96166325       22.4102001       3.10220003       5.09912491       5.28989315       1.0374119281768799     
  0.361032456       5.07799053       22.7059994       3.09380007       4.72550249       4.88258743       1.0332419872283936     
  0.379805952       5.31446123       23.0898991       3.13249993       4.13505840       4.22224855       1.0210856199264526     
  0.388610125       5.45865631       23.5153008       3.10369992       3.74062920       3.80702281       1.0177493095397949     
  0.411372870       5.82255220       24.5286007       3.04649997       2.92657351       2.95138121       1.0084767341613770     
  0.418293238       5.85448837       24.2591000       3.13059998       2.94872618       2.95316172       1.0015041828155518     
  0.444010645       6.24467802       25.2161999       3.09430003       2.28430939       2.26356411      0.99091833829879761     
  0.475578815       6.68036079       26.0562000       3.10360003       1.73938572       1.69854271      0.97651869058609009     
  0.482260615       6.83358669       26.6469002       3.03800011       1.55280876       1.51584363      0.97619467973709106     
  0.506854177       7.08315611       26.6769009       3.14199996       1.35362804       1.30232954      0.96210294961929321     
  0.516103208       7.26499844       27.2646999       3.08769989       1.18972671       1.14252687      0.96032714843750000     
  0.549795687       7.72256136       28.0522995       3.10389996      0.881193638      0.834135294      0.94659703969955444     
  0.554836929       7.86927366       28.6688004       3.03099990      0.790998220      0.749305189      0.94729059934616089     
  0.586056411       8.19284630       28.7444000       3.13940001      0.640427828      0.596937478      0.93209171295166016     
  0.594563663       8.37235832       29.3248005       3.08509994      0.563017905      0.524197042      0.93104863166809082     
  0.625924170       8.88702106       30.5505009       3.02290010      0.389585018      0.359200299      0.92200750112533569     
  0.637948871       8.95515633       30.2343006       3.10859990      0.369621545      0.338210613      0.91501867771148682     
  0.663554907       9.36067009       31.1184006       3.07159996      0.273020297      0.247815520      0.90768164396286011     
  0.680460393       9.48844433       30.8915005       3.15829992      0.244247988      0.219685555      0.89943647384643555     
  0.698120773       9.92020893       32.3576012       3.01670003      0.177639276      0.159556329      0.89820414781570435     
  0.704961300       9.90152550       31.8546009       3.10430002      0.177057758      0.158167034      0.89330756664276123     
  0.737599254       10.4171066       32.9220009       3.06299996      0.116390079      0.102941252      0.88445037603378296     
  0.738052547       10.7584019       34.9216995       2.82119989       9.38246474E-02   8.36822465E-02  0.89190047979354858     
  0.749933302       10.4812498       32.6007996       3.14120007      0.107167311       9.41197500E-02  0.87825053930282593     
  0.779211044       10.9528799       33.5829010       3.09850001       7.14574903E-02   6.22121952E-02  0.87061822414398193     
  0.780286372       11.3118019       35.5624008       2.86369991       5.72989658E-02   5.02746701E-02  0.87740975618362427     
  0.820352733       11.4859228       34.2481003       3.12789989       4.25051562E-02   3.64211351E-02  0.85686391592025757     
  0.824597359       11.8975439       36.2639999       2.90030003       3.26754190E-02   2.81709768E-02  0.86214584112167358     
