                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.0635  15.6913  0.30013E+02  0.36044E+02  0.81059E-01  0.34970E+02  0.35977E+02  0.81495E-01  0.34838E+02
   10.5890   3.0762  16.6059  0.23522E+02  0.27702E+02  0.41690E-01  0.27019E+02  0.27532E+02  0.41893E-01  0.26808E+02
   10.5890   3.0981  16.5585  0.23708E+02  0.27872E+02  0.40816E-01  0.27198E+02  0.27692E+02  0.41009E-01  0.26977E+02
   10.5890   3.1025  17.6306  0.17906E+02  0.20625E+02  0.18657E-01  0.20221E+02  0.20399E+02  0.18736E-01  0.19970E+02
   10.5890   3.1046  17.6481  0.17815E+02  0.20510E+02  0.18313E-01  0.20111E+02  0.20282E+02  0.18390E-01  0.19859E+02
   10.5890   3.0533  17.9440  0.16730E+02  0.19279E+02  0.17028E-01  0.18898E+02  0.19066E+02  0.17103E-01  0.18663E+02
   10.5890   3.1526  18.2432  0.15059E+02  0.17061E+02  0.10236E-01  0.16784E+02  0.16812E+02  0.10273E-01  0.16518E+02
   10.5890   3.0982  18.6900  0.13631E+02  0.15424E+02  0.85782E-02  0.15176E+02  0.15192E+02  0.86113E-02  0.14929E+02
   10.5890   3.1194  18.6467  0.13693E+02  0.15465E+02  0.83108E-02  0.15221E+02  0.15227E+02  0.83418E-02  0.14969E+02
   10.5890   3.0503  19.4067  0.11520E+02  0.12951E+02  0.57737E-02  0.12755E+02  0.12737E+02  0.57961E-02  0.12530E+02
   10.5890   3.1043  19.7199  0.10417E+02  0.11578E+02  0.37834E-02  0.11426E+02  0.11358E+02  0.37962E-02  0.11197E+02
   10.5890   3.0965  20.1264  0.94002E+01  0.10389E+02  0.28081E-02  0.10261E+02  0.10179E+02  0.28173E-02  0.10043E+02
   10.5890   3.0484  20.8173  0.80192E+01  0.88163E+01  0.19095E-02  0.87134E+01  0.86273E+01  0.19157E-02  0.85182E+01
   10.5890   3.1395  20.4020  0.85854E+01  0.94031E+01  0.19221E-02  0.92997E+01  0.91935E+01  0.19275E-02  0.90838E+01
   10.5890   3.1038  21.1078  0.72383E+01  0.78722E+01  0.12159E-02  0.77919E+01  0.76846E+01  0.12193E-02  0.75995E+01
   10.5890   3.0938  21.5206  0.65178E+01  0.70547E+01  0.88915E-03  0.69870E+01  0.68785E+01  0.89151E-03  0.68067E+01
   10.5890   3.0463  22.0703  0.57769E+01  0.62352E+01  0.67264E-03  0.61767E+01  0.60758E+01  0.67449E-03  0.60138E+01
   10.5890   3.1379  21.8009  0.58993E+01  0.63280E+01  0.57975E-03  0.62738E+01  0.61569E+01  0.58105E-03  0.60995E+01
   10.5890   3.1016  22.4112  0.50996E+01  0.54436E+01  0.39120E-03  0.53994E+01  0.52907E+01  0.39208E-03  0.52439E+01
   10.5890   3.0942  22.7041  0.47268E+01  0.50289E+01  0.30929E-03  0.49896E+01  0.48838E+01  0.30996E-03  0.48421E+01
   10.5890   3.1314  23.0993  0.41272E+01  0.43494E+01  0.17870E-03  0.43193E+01  0.42142E+01  0.17900E-03  0.41823E+01
   10.5890   3.1028  23.5223  0.37357E+01  0.39263E+01  0.13642E-03  0.38999E+01  0.38020E+01  0.13665E-03  0.37740E+01
   10.5890   3.0474  24.5211  0.29307E+01  0.30573E+01  0.67594E-04  0.30382E+01  0.29555E+01  0.67706E-04  0.29353E+01
   10.5890   3.1292  24.2647  0.29473E+01  0.30581E+01  0.55990E-04  0.30405E+01  0.29520E+01  0.56056E-04  0.29334E+01
   10.5890   3.0947  25.2120  0.22864E+01  0.23518E+01  0.24898E-04  0.23394E+01  0.22656E+01  0.24922E-04  0.22525E+01
   10.5890   3.1046  26.0480  0.17420E+01  0.17709E+01  0.93030E-05  0.17627E+01  0.17011E+01  0.93084E-05  0.16924E+01
   10.5890   3.0370  26.6589  0.15487E+01  0.15736E+01  0.73405E-05  0.15663E+01  0.15118E+01  0.73464E-05  0.15039E+01
   10.5890   3.1418  26.6806  0.13523E+01  0.13585E+01  0.36727E-05  0.13529E+01  0.13010E+01  0.36729E-05  0.12951E+01
   10.5890   3.0875  27.2698  0.11880E+01  0.11915E+01  0.27909E-05  0.11866E+01  0.11408E+01  0.27913E-05  0.11356E+01
   10.5890   3.1041  28.0550  0.88006E+00  0.87253E+00  0.12652E-05  0.86929E+00  0.83300E+00  0.12647E-05  0.82957E+00
   10.5890   3.0312  28.6714  0.79000E+00  0.78354E+00  0.11240E-05  0.78054E+00  0.74829E+00  0.11238E-05  0.74511E+00
   10.5890   3.1389  28.7492  0.63979E+00  0.62663E+00  0.70065E-06  0.62448E+00  0.59634E+00  0.70003E-06  0.59406E+00
   10.5890   3.0844  29.3337  0.56179E+00  0.54965E+00  0.61664E-06  0.54773E+00  0.52303E+00  0.61618E-06  0.52099E+00
   10.5890   3.0237  30.5545  0.38828E+00  0.37682E+00  0.42003E-06  0.37549E+00  0.35793E+00  0.41967E-06  0.35652E+00
   10.5890   3.1093  30.2343  0.36906E+00  0.35611E+00  0.37746E-06  0.35490E+00  0.33766E+00  0.37696E-06  0.33637E+00
   10.5890   3.0715  31.1198  0.27292E+00  0.26165E+00  0.28441E-06  0.26072E+00  0.24772E+00  0.28401E-06  0.24674E+00
   10.5890   3.1583  30.8988  0.24340E+00  0.23171E+00  0.24125E-06  0.23088E+00  0.21890E+00  0.24078E-06  0.21803E+00
   10.5890   3.0168  32.3594  0.17744E+00  0.16866E+00  0.18994E-06  0.16801E+00  0.15937E+00  0.18965E-06  0.15868E+00
   10.5890   3.1039  31.8613  0.17667E+00  0.16725E+00  0.17965E-06  0.16660E+00  0.15782E+00  0.17929E-06  0.15713E+00
   10.5890   3.0637  32.9156  0.11652E+00  0.10942E+00  0.11853E-06  0.10893E+00  0.10305E+00  0.11828E-06  0.10254E+00
   10.5890   2.8221  34.9192  0.93649E-01  0.88461E-01  0.10897E-06  0.88047E-01  0.83517E-01  0.10884E-06  0.83081E-01
   10.5890   3.1427  32.5944  0.10701E+00  0.99950E-01  0.10293E-06  0.99474E-01  0.93973E-01  0.10266E-06  0.93474E-01
