EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
HeD                                                                     
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  10.589 15.691  2.42    4.14   16.12    3.48    0.13   19.73  0.960
   3.063  0.171 12.58    4.68   15.92    3.77    0.13   19.81 1.897E+01

  10.589 16.606  2.72    3.54   14.55    2.87    0.09   17.50  0.963
   3.076  0.193 12.26    3.98   13.90    3.10    0.09   17.09 1.481E+01

  10.589 16.559  2.72    3.48   14.41    2.81    0.09   17.31  0.965
   3.098  0.194 12.22    3.90   13.76    3.04    0.09   16.89 1.492E+01

  10.589 17.631  3.09    2.92   12.68    2.27    0.06   15.01  0.968
   3.102  0.220 11.84    3.26   11.57    2.45    0.06   14.07 1.122E+01

  10.589 17.648  3.09    2.92   12.64    2.25    0.06   14.94  0.967
   3.105  0.220 11.83    3.25   11.51    2.43    0.06   14.00 1.117E+01

  10.589 17.944  3.15    2.96   12.71    2.29    0.06   15.06  0.967
   3.053  0.222 11.88    3.30   11.59    2.47    0.06   14.12 1.048E+01

  10.589 18.243  3.36    2.52   11.23    1.87    0.04   13.15  0.970
   3.153  0.240 11.48    2.80    9.76    2.02    0.04   11.83 9.410E+00

  10.589 18.690  3.46    2.52   11.11    1.86    0.04   13.01  0.970
   3.098  0.246 11.48    2.79    9.61    2.01    0.04   11.65 8.511E+00

  10.589 18.647  3.47    2.47   10.96    1.82    0.04   12.81  0.970
   3.119  0.247 11.43    2.74    9.42    1.96    0.04   11.42 8.549E+00

  10.589 19.407  3.67    2.41   10.54    1.74    0.03   12.31  0.970
   3.050  0.259 11.36    2.67    8.89    1.88    0.03   10.80 7.181E+00

  10.589 19.720  3.86    2.16    9.52    1.51    0.03   11.06  0.968
   3.104  0.275 11.07    2.38    7.64    1.63    0.03    9.30 6.483E+00

  10.589 20.126  4.00    2.07    9.02    1.41    0.02   10.46  0.967
   3.096  0.285 10.94    2.27    7.01    1.52    0.02    8.56 5.843E+00

  10.589 20.817  4.21    2.00    8.54    1.34    0.02    9.90  0.967
   3.048  0.298 10.82    2.19    6.43    1.45    0.02    7.90 4.979E+00

  10.589 20.402  4.17    1.89    8.18    1.26    0.02    9.46  0.967
   3.139  0.298 10.69    2.07    6.00    1.35    0.02    7.37 5.330E+00

  10.589 21.108  4.41    1.80    7.54    1.16    0.01    8.72  0.965
   3.104  0.314 10.52    1.96    5.21    1.25    0.01    6.48 4.488E+00

  10.589 21.521  4.57    1.73    7.08    1.09    0.01    8.18  0.963
   3.094  0.325 10.38    1.88    4.64    1.18    0.01    5.83 4.038E+00

  10.589 22.070  4.73    1.71    6.81    1.07    0.01    7.89  0.962
   3.046  0.334 10.31    1.86    4.32    1.15    0.01    5.48 3.577E+00

  10.589 21.801  4.75    1.58    6.25    0.97    0.01    7.22  0.960
   3.138  0.340 10.11    1.71    3.63    1.04    0.01    4.68 3.651E+00

  10.589 22.411  4.96    1.53    5.78    0.92    0.01    6.71  0.957
   3.102  0.353  9.97    1.66    3.07    0.99    0.01    4.06 3.154E+00

  10.589 22.704  5.08    1.49    5.47    0.88    0.01    6.36  0.956
   3.094  0.361  9.87    1.61    2.68    0.95    0.01    3.64 2.922E+00

  10.589 23.099  5.32    1.36    4.57    0.77    0.01    5.35  0.952
   3.131  0.380  9.56    1.46    1.59    0.83    0.01    2.43 2.549E+00

  10.589 23.522  5.46    1.34    4.30    0.75    0.01    5.06  0.950
   3.103  0.389  9.47    1.44    1.27    0.81    0.01    2.08 2.307E+00

  10.589 24.521  5.82    1.28    3.59    0.70    0.00    4.29  0.945
   3.047  0.411  9.21    1.38    0.41    0.75    0.00    1.17 1.808E+00

  10.589 24.265  5.85    1.20    3.09    0.64    0.00    3.73  0.943
   3.129  0.418  9.02    1.28   -0.21    0.69    0.00    0.48 1.818E+00

  10.589 25.212  6.24    1.13    2.24    0.58    0.00    2.82  0.937
   3.095  0.444  8.70    1.20   -1.22    0.62    0.00   -0.60 1.409E+00

  10.589 26.048  6.68    1.02    1.10    0.50    0.00    1.61  0.930
   3.105  0.476  8.25    1.08   -2.60    0.54    0.00   -2.05 1.073E+00

  10.589 26.659  6.84    1.04    1.05    0.51    0.00    1.56  0.929
   3.037  0.482  8.21    1.11   -2.65    0.55    0.00   -2.09 9.535E-01

  10.589 26.681  7.08    0.92   -0.05    0.44    0.00    0.39  0.924
   3.142  0.507  7.77    0.97   -3.99    0.47    0.00   -3.51 8.319E-01

  10.589 27.270  7.27    0.92   -0.20    0.44    0.00    0.23  0.921
   3.088  0.516  7.69    0.98   -4.16    0.47    0.00   -3.69 7.305E-01

  10.589 28.055  7.72    0.84   -1.31    0.39    0.00   -0.92  0.915
   3.104  0.550  7.20    0.89   -5.50    0.42    0.00   -5.07 5.404E-01

  10.589 28.671  7.87    0.87   -1.29    0.41    0.00   -0.88  0.916
   3.031  0.555  7.19    0.92   -5.44    0.44    0.00   -5.01 4.850E-01

  10.589 28.749  8.19    0.77   -2.50    0.35    0.00   -2.14  0.911
   3.139  0.586  6.67    0.81   -6.92    0.38    0.00   -6.54 3.921E-01

  10.589 29.334  8.38    0.78   -2.63    0.36    0.00   -2.27  0.911
   3.084  0.595  6.59    0.82   -7.06    0.39    0.00   -6.67 3.441E-01

  10.589 30.555  8.89    0.76   -3.40    0.35    0.00   -3.05  0.907
   3.024  0.626  6.19    0.80   -7.97    0.38    0.00   -7.59 2.373E-01

