EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3He                                                                    
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 15.692  2.42    3.47   15.28    2.68    0.30   18.25  0.862
   3.063  0.171 12.59    3.88   14.56    2.85    0.30   17.71 2.735E+01

  10.589 16.608  2.72    3.01   13.75    2.25    0.20   16.20  0.870
   3.075  0.193 12.26    3.34   12.63    2.39    0.20   15.22 2.120E+01

  10.589 16.559  2.72    2.95   13.61    2.20    0.19   16.00  0.870
   3.098  0.194 12.22    3.28   12.46    2.34    0.19   15.00 2.137E+01

  10.589 17.629  3.09    2.52   11.95    1.81    0.12   13.88  0.876
   3.102  0.220 11.84    2.79   10.39    1.92    0.12   12.43 1.596E+01

  10.589 17.649  3.09    2.52   11.91    1.80    0.12   13.82  0.876
   3.104  0.220 11.83    2.78   10.33    1.91    0.12   12.36 1.586E+01

  10.589 17.942  3.15    2.55   11.97    1.83    0.11   13.92  0.875
   3.054  0.222 11.88    2.82   10.41    1.94    0.11   12.47 1.489E+01

  10.589 18.244  3.36    2.20   10.57    1.51    0.08   12.15  0.878
   3.152  0.240 11.48    2.42    8.68    1.60    0.08   10.36 1.329E+01

  10.589 18.688  3.46    2.21   10.46    1.50    0.07   12.03  0.877
   3.098  0.246 11.48    2.42    8.54    1.60    0.07   10.21 1.201E+01

  10.589 18.649  3.47    2.17   10.29    1.47    0.07   11.83  0.878
   3.119  0.247 11.43    2.38    8.34    1.56    0.07    9.97 1.205E+01

  10.589 19.409  3.67    2.13    9.89    1.42    0.06   11.37  0.876
   3.049  0.259 11.36    2.33    7.84    1.50    0.06    9.41 1.009E+01

  10.589 19.715  3.85    1.92    8.91    1.24    0.04   10.19  0.875
   3.104  0.274 11.07    2.10    6.65    1.31    0.04    8.00 9.084E+00

  10.589 20.122  4.00    1.85    8.42    1.16    0.03    9.61  0.873
   3.097  0.285 10.94    2.01    6.04    1.23    0.03    7.31 8.164E+00

  10.589 20.816  4.21    1.80    7.95    1.10    0.03    9.08  0.870
   3.048  0.298 10.82    1.95    5.47    1.17    0.03    6.67 6.930E+00

  10.589 20.400  4.17    1.70    7.61    1.03    0.03    8.67  0.871
   3.140  0.298 10.69    1.84    5.06    1.10    0.03    6.18 7.415E+00

  10.589 21.105  4.41    1.63    6.99    0.96    0.02    7.97  0.867
   3.104  0.314 10.52    1.76    4.31    1.02    0.02    5.35 6.222E+00

  10.589 21.516  4.57    1.57    6.55    0.91    0.02    7.47  0.863
   3.094  0.325 10.38    1.69    3.78    0.96    0.02    4.75 5.583E+00

  10.589 22.067  4.73    1.56    6.28    0.88    0.01    7.18  0.860
   3.047  0.334 10.31    1.68    3.46    0.94    0.01    4.41 4.931E+00

  10.589 21.805  4.75    1.45    5.74    0.80    0.01    6.55  0.858
   3.138  0.340 10.11    1.55    2.79    0.85    0.01    3.65 5.020E+00

  10.589 22.410  4.96    1.41    5.28    0.76    0.01    6.05  0.854
   3.102  0.353  9.97    1.51    2.24    0.81    0.01    3.06 4.326E+00

  10.589 22.706  5.08    1.38    4.98    0.73    0.01    5.72  0.851
   3.094  0.361  9.87    1.48    1.88    0.78    0.01    2.66 4.000E+00

  10.589 23.090  5.31    1.27    4.10    0.65    0.01    4.75  0.844
   3.132  0.380  9.56    1.35    0.82    0.68    0.01    1.51 3.481E+00

  10.589 23.515  5.46    1.25    3.85    0.63    0.00    4.49  0.840
   3.104  0.389  9.47    1.34    0.52    0.67    0.00    1.19 3.141E+00

  10.589 24.529  5.82    1.21    3.14    0.58    0.00    3.73  0.830
   3.046  0.411  9.21    1.29   -0.32    0.62    0.00    0.30 2.442E+00

  10.589 24.259  5.85    1.13    2.63    0.53    0.00    3.17  0.828
   3.131  0.418  9.02    1.20   -0.95    0.56    0.00   -0.38 2.456E+00

  10.589 25.216  6.24    1.07    1.82    0.49    0.00    2.31  0.817
   3.094  0.444  8.70    1.14   -1.91    0.51    0.00   -1.40 1.889E+00

  10.589 26.056  6.68    0.99    0.73    0.42    0.00    1.15  0.804
   3.104  0.476  8.25    1.04   -3.23    0.45    0.00   -2.78 1.426E+00

  10.589 26.647  6.83    1.01    0.66    0.43    0.00    1.09  0.802
   3.038  0.482  8.22    1.06   -3.28    0.46    0.00   -2.82 1.270E+00

  10.589 26.677  7.08    0.90   -0.40    0.37    0.00   -0.03  0.795
   3.142  0.507  7.77    0.94   -4.58    0.39    0.00   -4.19 1.099E+00

  10.589 27.265  7.26    0.91   -0.56    0.37    0.00   -0.19  0.792
   3.088  0.516  7.69    0.95   -4.76    0.39    0.00   -4.36 9.637E-01

  10.589 28.052  7.72    0.84   -1.65    0.34    0.00   -1.31  0.785
   3.104  0.550  7.20    0.88   -6.04    0.36    0.00   -5.69 7.066E-01

  10.589 28.669  7.87    0.87   -1.62    0.35    0.00   -1.27  0.783
   3.031  0.555  7.19    0.91   -5.99    0.37    0.00   -5.62 6.333E-01

  10.589 28.744  8.19    0.77   -2.79    0.31    0.00   -2.48  0.786
   3.139  0.586  6.67    0.80   -7.41    0.33    0.00   -7.08 5.079E-01

  10.589 29.325  8.37    0.78   -2.89    0.31    0.00   -2.58  0.785
   3.085  0.595  6.59    0.82   -7.51    0.33    0.00   -7.18 4.454E-01

  10.589 30.551  8.89    0.77   -3.65    0.31    0.00   -3.33  0.791
   3.023  0.626  6.19    0.80   -8.38    0.33    0.00   -8.05 3.054E-01

  10.589 30.234  8.96    0.72   -4.18    0.30    0.00   -3.88  0.803
   3.109  0.638  5.96    0.75   -9.04    0.32    0.00   -8.72 2.887E-01

