EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3He                                                                    
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 15.692  2.42    4.70   16.50    3.31    0.27   20.08  0.817
   3.063  0.171 12.59    5.24   16.06    3.53    0.27   19.86 3.001E+01

  10.589 16.608  2.72    3.98   14.85    2.73    0.18   17.76  0.828
   3.075  0.193 12.26    4.42   13.95    2.90    0.18   17.04 2.352E+01

  10.589 16.559  2.72    3.90   14.70    2.67    0.17   17.54  0.829
   3.098  0.194 12.22    4.33   13.77    2.84    0.17   16.78 2.371E+01

  10.589 17.629  3.09    3.25   12.91    2.15    0.10   15.17  0.838
   3.102  0.220 11.84    3.59   11.51    2.29    0.10   13.90 1.792E+01

  10.589 17.649  3.09    3.25   12.86    2.14    0.10   15.10  0.838
   3.104  0.220 11.83    3.58   11.45    2.27    0.10   13.82 1.782E+01

  10.589 17.942  3.15    3.28   12.92    2.17    0.10   15.20  0.838
   3.054  0.222 11.88    3.62   11.52    2.31    0.10   13.93 1.674E+01

  10.589 18.244  3.36    2.79   11.43    1.77    0.07   13.27  0.844
   3.152  0.240 11.48    3.06    9.66    1.88    0.07   11.61 1.506E+01

  10.589 18.688  3.46    2.78   11.30    1.76    0.06   13.13  0.844
   3.098  0.246 11.48    3.05    9.50    1.87    0.06   11.43 1.364E+01

  10.589 18.649  3.47    2.73   11.13    1.72    0.06   12.91  0.844
   3.119  0.247 11.43    2.99    9.29    1.83    0.06   11.17 1.369E+01

  10.589 19.409  3.67    2.65   10.69    1.65    0.05   12.38  0.844
   3.049  0.259 11.36    2.90    8.73    1.75    0.05   10.53 1.152E+01

  10.589 19.715  3.85    2.37    9.65    1.42    0.04   11.11  0.846
   3.104  0.274 11.07    2.58    7.45    1.51    0.04    9.00 1.043E+01

  10.589 20.122  4.00    2.25    9.12    1.33    0.03   10.48  0.847
   3.097  0.285 10.94    2.45    6.80    1.42    0.03    8.25 9.413E+00

  10.589 20.816  4.21    2.17    8.62    1.26    0.02    9.90  0.846
   3.048  0.298 10.82    2.35    6.19    1.34    0.02    7.55 8.027E+00

  10.589 20.400  4.17    2.05    8.27    1.18    0.02    9.48  0.848
   3.140  0.298 10.69    2.22    5.76    1.25    0.02    7.04 8.592E+00

  10.589 21.105  4.41    1.95    7.61    1.09    0.02    8.71  0.847
   3.104  0.314 10.52    2.10    4.95    1.16    0.02    6.13 7.248E+00

  10.589 21.516  4.57    1.86    7.15    1.03    0.01    8.19  0.846
   3.094  0.325 10.38    2.01    4.38    1.09    0.01    5.49 6.527E+00

  10.589 22.067  4.73    1.84    6.86    1.00    0.01    7.87  0.844
   3.047  0.334 10.31    1.98    4.04    1.06    0.01    5.11 5.782E+00

  10.589 21.805  4.75    1.70    6.29    0.91    0.01    7.21  0.845
   3.138  0.340 10.11    1.83    3.34    0.96    0.01    4.31 5.897E+00

  10.589 22.410  4.96    1.64    5.82    0.86    0.01    6.68  0.843
   3.102  0.353  9.97    1.76    2.77    0.91    0.01    3.68 5.102E+00

  10.589 22.706  5.08    1.60    5.50    0.82    0.01    6.33  0.842
   3.094  0.361  9.87    1.71    2.38    0.87    0.01    3.27 4.728E+00

  10.589 23.090  5.31    1.45    4.59    0.72    0.00    5.32  0.840
   3.132  0.380  9.56    1.55    1.27    0.77    0.00    2.05 4.138E+00

  10.589 23.515  5.46    1.43    4.33    0.70    0.00    5.04  0.838
   3.104  0.389  9.47    1.52    0.96    0.75    0.00    1.71 3.743E+00

  10.589 24.529  5.82    1.36    3.59    0.65    0.00    4.24  0.833
   3.046  0.411  9.21    1.45    0.08    0.69    0.00    0.77 2.929E+00

  10.589 24.259  5.85    1.27    3.08    0.59    0.00    3.67  0.833
   3.131  0.418  9.02    1.35   -0.55    0.63    0.00    0.08 2.951E+00

  10.589 25.216  6.24    1.19    2.24    0.54    0.00    2.77  0.828
   3.094  0.444  8.70    1.26   -1.56    0.57    0.00   -0.99 2.286E+00

  10.589 26.056  6.68    1.08    1.09    0.47    0.00    1.56  0.824
   3.104  0.476  8.25    1.13   -2.94    0.50    0.00   -2.44 1.741E+00

  10.589 26.647  6.83    1.10    1.04    0.48    0.00    1.51  0.822
   3.038  0.482  8.22    1.16   -2.98    0.50    0.00   -2.48 1.554E+00

  10.589 26.677  7.08    0.96   -0.06    0.41    0.00    0.35  0.822
   3.142  0.507  7.77    1.01   -4.33    0.43    0.00   -3.89 1.355E+00

  10.589 27.265  7.26    0.97   -0.22    0.41    0.00    0.18  0.820
   3.088  0.516  7.69    1.02   -4.51    0.43    0.00   -4.08 1.191E+00

  10.589 28.052  7.72    0.88   -1.34    0.37    0.00   -0.98  0.822
   3.104  0.550  7.20    0.93   -5.85    0.39    0.00   -5.46 8.823E-01

  10.589 28.669  7.87    0.91   -1.32    0.38    0.00   -0.94  0.820
   3.031  0.555  7.19    0.95   -5.80    0.40    0.00   -5.40 7.921E-01

  10.589 28.744  8.19    0.80   -2.54    0.34    0.00   -2.20  0.831
   3.139  0.586  6.67    0.84   -7.28    0.36    0.00   -6.93 6.414E-01

  10.589 29.325  8.37    0.81   -2.65    0.34    0.00   -2.31  0.832
   3.085  0.595  6.59    0.84   -7.40    0.36    0.00   -7.04 5.639E-01

  10.589 30.551  8.89    0.79   -3.45    0.34    0.00   -3.11  0.844
   3.023  0.626  6.19    0.82   -8.32    0.36    0.00   -7.96 3.903E-01

  10.589 30.234  8.96    0.73   -4.00    0.33    0.00   -3.67  0.860
   3.109  0.638  5.96    0.77   -9.01    0.35    0.00   -8.66 3.703E-01

