EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
HeD                                                                     
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 15.691  2.42    4.70   16.49    3.31    0.27   20.07  0.817
   3.063  0.171 12.58    5.24   16.05    3.52    0.27   19.85 3.002E+01

  10.589 16.606  2.72    3.97   14.84    2.73    0.18   17.75  0.828
   3.076  0.193 12.26    4.41   13.94    2.90    0.18   17.02 2.353E+01

  10.589 16.559  2.72    3.90   14.69    2.67    0.17   17.54  0.829
   3.098  0.194 12.22    4.33   13.76    2.84    0.17   16.78 2.371E+01

  10.589 17.631  3.09    3.25   12.90    2.15    0.10   15.16  0.838
   3.102  0.220 11.84    3.58   11.50    2.29    0.10   13.89 1.791E+01

  10.589 17.648  3.09    3.24   12.86    2.14    0.10   15.10  0.838
   3.105  0.220 11.83    3.58   11.44    2.27    0.10   13.82 1.782E+01

  10.589 17.944  3.15    3.28   12.93    2.17    0.10   15.20  0.838
   3.053  0.222 11.88    3.62   11.52    2.31    0.10   13.93 1.673E+01

  10.589 18.243  3.36    2.79   11.43    1.77    0.07   13.27  0.844
   3.153  0.240 11.48    3.05    9.66    1.88    0.07   11.61 1.506E+01

  10.589 18.690  3.46    2.78   11.30    1.76    0.06   13.12  0.844
   3.098  0.246 11.48    3.04    9.49    1.87    0.06   11.42 1.363E+01

  10.589 18.647  3.47    2.72   11.13    1.72    0.06   12.91  0.844
   3.119  0.247 11.43    2.98    9.29    1.83    0.06   11.17 1.370E+01

  10.589 19.407  3.67    2.65   10.68    1.64    0.05   12.38  0.844
   3.050  0.259 11.36    2.89    8.73    1.75    0.05   10.52 1.152E+01

  10.589 19.720  3.86    2.36    9.64    1.42    0.04   11.10  0.846
   3.104  0.275 11.07    2.57    7.44    1.51    0.04    8.99 1.042E+01

  10.589 20.126  4.00    2.25    9.12    1.33    0.03   10.48  0.847
   3.096  0.285 10.94    2.45    6.80    1.41    0.03    8.24 9.404E+00

  10.589 20.817  4.21    2.17    8.61    1.26    0.02    9.89  0.846
   3.048  0.298 10.82    2.35    6.18    1.34    0.02    7.54 8.023E+00

  10.589 20.402  4.17    2.05    8.28    1.18    0.02    9.48  0.848
   3.139  0.298 10.69    2.22    5.76    1.25    0.02    7.04 8.589E+00

  10.589 21.108  4.41    1.94    7.60    1.09    0.02    8.71  0.847
   3.104  0.314 10.52    2.10    4.94    1.16    0.02    6.12 7.242E+00

  10.589 21.521  4.57    1.86    7.15    1.03    0.01    8.19  0.846
   3.094  0.325 10.38    2.01    4.38    1.09    0.01    5.49 6.521E+00

  10.589 22.070  4.73    1.84    6.87    1.00    0.01    7.88  0.844
   3.046  0.334 10.31    1.98    4.05    1.06    0.01    5.12 5.780E+00

  10.589 21.801  4.75    1.70    6.29    0.91    0.01    7.21  0.845
   3.138  0.340 10.11    1.83    3.34    0.96    0.01    4.31 5.902E+00

  10.589 22.411  4.96    1.64    5.82    0.86    0.01    6.69  0.843
   3.102  0.353  9.97    1.76    2.77    0.91    0.01    3.69 5.102E+00

  10.589 22.704  5.08    1.60    5.50    0.82    0.01    6.33  0.842
   3.094  0.361  9.87    1.71    2.38    0.87    0.01    3.26 4.729E+00

  10.589 23.099  5.32    1.45    4.59    0.72    0.00    5.32  0.840
   3.131  0.380  9.56    1.55    1.27    0.77    0.00    2.04 4.130E+00

  10.589 23.522  5.46    1.43    4.33    0.70    0.00    5.04  0.838
   3.103  0.389  9.47    1.52    0.96    0.75    0.00    1.71 3.738E+00

  10.589 24.521  5.82    1.36    3.59    0.65    0.00    4.24  0.833
   3.047  0.411  9.21    1.45    0.08    0.69    0.00    0.77 2.933E+00

  10.589 24.265  5.85    1.27    3.09    0.59    0.00    3.68  0.833
   3.129  0.418  9.02    1.35   -0.55    0.63    0.00    0.09 2.949E+00

  10.589 25.212  6.24    1.19    2.24    0.54    0.00    2.78  0.828
   3.095  0.444  8.70    1.26   -1.56    0.57    0.00   -0.99 2.288E+00

  10.589 26.048  6.68    1.08    1.09    0.47    0.00    1.56  0.824
   3.105  0.476  8.25    1.13   -2.94    0.50    0.00   -2.44 1.744E+00

  10.589 26.659  6.84    1.10    1.03    0.48    0.00    1.51  0.822
   3.037  0.482  8.21    1.16   -2.99    0.50    0.00   -2.48 1.550E+00

  10.589 26.681  7.08    0.96   -0.06    0.41    0.00    0.35  0.822
   3.142  0.507  7.77    1.01   -4.33    0.43    0.00   -3.89 1.354E+00

  10.589 27.270  7.27    0.97   -0.23    0.41    0.00    0.18  0.820
   3.088  0.516  7.69    1.02   -4.51    0.43    0.00   -4.08 1.189E+00

  10.589 28.055  7.72    0.88   -1.35    0.37    0.00   -0.98  0.822
   3.104  0.550  7.20    0.93   -5.86    0.39    0.00   -5.47 8.812E-01

  10.589 28.671  7.87    0.91   -1.33    0.38    0.00   -0.95  0.820
   3.031  0.555  7.19    0.95   -5.81    0.40    0.00   -5.41 7.911E-01

  10.589 28.749  8.19    0.80   -2.54    0.34    0.00   -2.20  0.831
   3.139  0.586  6.67    0.84   -7.28    0.36    0.00   -6.93 6.407E-01

  10.589 29.334  8.38    0.81   -2.65    0.34    0.00   -2.31  0.832
   3.084  0.595  6.59    0.84   -7.40    0.36    0.00   -7.04 5.626E-01

  10.589 30.555  8.89    0.78   -3.46    0.34    0.00   -3.12  0.845
   3.024  0.626  6.19    0.82   -8.34    0.36    0.00   -7.98 3.890E-01

  10.589 30.234  8.96    0.73   -4.01    0.33    0.00   -3.68  0.860
   3.109  0.638  5.96    0.77   -9.02    0.35    0.00   -8.67 3.697E-01

