 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9847  30.1188   0.5981   8.5342  0.30172E+00  0.30171E+00  0.61162E-05  0.28189E+00  0.22183E-05  0.12654E-02  0.28062E+00  0.10000E+01
   10.5890   3.0045  30.3375   0.6122   8.7131  0.26568E+00  0.26567E+00  0.62808E-05  0.24671E+00  0.17399E-05  0.10771E-02  0.24563E+00  0.10000E+01
   10.5890   3.0288  30.6280   0.6307   8.9485  0.22363E+00  0.22362E+00  0.65781E-05  0.20604E+00  0.12692E-05  0.87549E-03  0.20516E+00  0.10000E+01
   10.5890   3.0540  30.9251   0.6503   9.1946  0.18561E+00  0.18561E+00  0.70063E-05  0.16965E+00  0.91716E-06  0.70848E-03  0.16894E+00  0.10000E+01
   10.5890   3.0800  31.2092   0.6699   9.4398  0.15311E+00  0.15310E+00  0.74949E-05  0.13883E+00  0.66711E-06  0.57660E-03  0.13826E+00  0.10000E+01
   10.5890   3.0937  31.5749   0.6896   9.6996  0.12422E+00  0.12421E+00  0.81601E-05  0.11181E+00  0.48411E-06  0.46967E-03  0.11134E+00  0.10000E+01
   10.5890   3.1017  31.9796   0.7095   9.9690  0.99434E-01  0.99426E-01  0.89806E-05  0.88862E-01  0.35111E-06  0.38430E-03  0.88477E-01  0.10000E+01
   10.5890   3.1115  32.3569   0.7292  10.2315  0.79468E-01  0.79458E-01  0.99762E-05  0.70527E-01  0.25654E-06  0.31814E-03  0.70208E-01  0.10000E+01
   10.5890   3.1379  32.5938   0.7485  10.4659  0.64249E-01  0.64238E-01  0.11699E-04  0.56593E-01  0.18991E-06  0.26936E-03  0.56324E-01  0.10000E+01
   10.5890   3.1650  32.8263   0.7683  10.7032  0.51376E-01  0.51362E-01  0.14188E-04  0.44907E-01  0.13959E-06  0.23092E-03  0.44676E-01  0.10000E+01
   10.5890   3.1926  33.0188   0.7868  10.9200  0.41521E-01  0.41503E-01  0.17445E-04  0.36022E-01  0.10482E-06  0.20377E-03  0.35818E-01  0.10000E+01
   10.5890   3.2011  33.2778   0.8018  11.1167  0.34315E-01  0.34294E-01  0.20278E-04  0.29590E-01  0.82537E-07  0.18500E-03  0.29405E-01  0.10000E+01
