                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9847  30.1188  0.30172E+00  0.29536E+00  0.22228E-05  0.29420E+00  0.28189E+00  0.22183E-05  0.28062E+00
   10.5890   3.0045  30.3375  0.26568E+00  0.25884E+00  0.17443E-05  0.25785E+00  0.24671E+00  0.17399E-05  0.24563E+00
   10.5890   3.0288  30.6280  0.22363E+00  0.21653E+00  0.12733E-05  0.21573E+00  0.20604E+00  0.12692E-05  0.20516E+00
   10.5890   3.0540  30.9251  0.18561E+00  0.17859E+00  0.92070E-06  0.17794E+00  0.16965E+00  0.91716E-06  0.16894E+00
   10.5890   3.0800  31.2092  0.15311E+00  0.14640E+00  0.66936E-06  0.14587E+00  0.13883E+00  0.66711E-06  0.13826E+00
   10.5890   3.0937  31.5749  0.12422E+00  0.11809E+00  0.48594E-06  0.11766E+00  0.11181E+00  0.48411E-06  0.11134E+00
   10.5890   3.1017  31.9796  0.99434E-01  0.93994E-01  0.35256E-06  0.93643E-01  0.88862E-01  0.35111E-06  0.88477E-01
   10.5890   3.1115  32.3569  0.79468E-01  0.74711E-01  0.25771E-06  0.74420E-01  0.70527E-01  0.25654E-06  0.70208E-01
   10.5890   3.1379  32.5938  0.64249E-01  0.60049E-01  0.19086E-06  0.59803E-01  0.56593E-01  0.18991E-06  0.56324E-01
   10.5890   3.1650  32.8263  0.51376E-01  0.47730E-01  0.14035E-06  0.47519E-01  0.44907E-01  0.13959E-06  0.44676E-01
   10.5890   3.1926  33.0188  0.41521E-01  0.38350E-01  0.10544E-06  0.38164E-01  0.36022E-01  0.10482E-06  0.35818E-01
   10.5890   3.2011  33.2778  0.34315E-01  0.31542E-01  0.83049E-07  0.31373E-01  0.29590E-01  0.82537E-07  0.29405E-01
