 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.456842214       6.51301718       26.2066994       2.99180007       1.53706765       1.51599908    
  0.471492738       6.69887924       26.4678993       3.01780009       1.37126434       1.34259605    
  0.490579873       6.94014645       26.8024998       3.05029988       1.17882395       1.14330721    
  0.510232031       7.18915081       27.1511002       3.08060002       1.00421357      0.965014756    
  0.529849648       7.45084667       27.5830002       3.09540009      0.842808604      0.803205431    
  0.549482167       7.72083855       28.0611000       3.10130000      0.699992776      0.661830664    
  0.569252372       7.98880386       28.5109005       3.11050010      0.580183923      0.544295907    
  0.588633597       8.22467709       28.7835999       3.14319992      0.490418673      0.456144214    
  0.607281566       8.44876862       29.0310001       3.17519999      0.415853918      0.383972645    
  0.623930037       8.64783955       29.2479992       3.20300007      0.357543677      0.327912480    
