                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9849  30.1102  0.50235E+00  0.49171E+00  0.57527E-06  0.48991E+00  0.46938E+00  0.57516E-06  0.46743E+00
   10.5890   3.0045  30.3286  0.44295E+00  0.43147E+00  0.49185E-06  0.42992E+00  0.41134E+00  0.49164E-06  0.40967E+00
   10.5890   3.0285  30.6325  0.37131E+00  0.35939E+00  0.40024E-06  0.35812E+00  0.34203E+00  0.39994E-06  0.34066E+00
   10.5890   3.0542  30.9244  0.30863E+00  0.29686E+00  0.32672E-06  0.29581E+00  0.28204E+00  0.32639E-06  0.28091E+00
   10.5890   3.0789  31.2190  0.25419E+00  0.24296E+00  0.26579E-06  0.24208E+00  0.23044E+00  0.26545E-06  0.22950E+00
   10.5890   3.0951  31.5669  0.20650E+00  0.19621E+00  0.21429E-06  0.19548E+00  0.18578E+00  0.21395E-06  0.18499E+00
   10.5890   3.1027  31.9707  0.16540E+00  0.15629E+00  0.17054E-06  0.15566E+00  0.14778E+00  0.17023E-06  0.14712E+00
   10.5890   3.1130  32.3501  0.13164E+00  0.12370E+00  0.13383E-06  0.12316E+00  0.11680E+00  0.13356E-06  0.11623E+00
   10.5890   3.1377  32.5998  0.10606E+00  0.99112E-01  0.10478E-06  0.98634E-01  0.93439E-01  0.10454E-06  0.92931E-01
   10.5890   3.1636  32.8336  0.84927E-01  0.78934E-01  0.80926E-07  0.78500E-01  0.74303E-01  0.80713E-07  0.73845E-01
   10.5890   3.1896  33.0476  0.68198E-01  0.63020E-01  0.62252E-07  0.62617E-01  0.59228E-01  0.62069E-07  0.58805E-01
   10.5890   3.2066  33.2863  0.55151E-01  0.50713E-01  0.48551E-07  0.50331E-01  0.47597E-01  0.48398E-07  0.47199E-01
