 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.597775936       8.52999306       30.1102009       2.98490000      0.502346754      0.469375193    
  0.611833036       8.70807838       30.3285999       3.00449991      0.442949444      0.411339998    
  0.630840480       8.95019531       30.6324997       3.02850008      0.371305883      0.342034191    
  0.650289893       9.19477654       30.9244003       3.05419993      0.308634877      0.282037348    
  0.669982910       9.44217110       31.2189999       3.07890010      0.254187196      0.230436936    
  0.689706683       9.69917488       31.5669003       3.09509993      0.206496298      0.185775548    
  0.709457457       9.96680641       31.9706993       3.10270000      0.165395901      0.147783786    
  0.729356825       10.2322655       32.3501015       3.11299992      0.131638169      0.116801932    
  0.748701394       10.4689493       32.5998001       3.13770008      0.106056668       9.34391171E-02
  0.768118680       10.7031260       32.8335991       3.16359997       8.49273950E-02   7.43033066E-02
  0.787033021       10.9282827       33.0475998       3.18959999       6.81983978E-02   5.92282526E-02
  0.804222345       11.1413069       33.2863007       3.20659995       5.51508963E-02   4.75971028E-02
