                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9914  26.2012  0.11511E+01  0.11625E+01  0.31585E-04  0.11557E+01  0.11202E+01  0.31654E-04  0.11127E+01
   10.5890   3.0186  26.4687  0.10274E+01  0.10317E+01  0.23500E-04  0.10260E+01  0.99247E+00  0.23537E-04  0.98635E+00
   10.5890   3.0500  26.8082  0.88719E+00  0.88461E+00  0.16321E-04  0.88020E+00  0.84933E+00  0.16333E-04  0.84452E+00
   10.5890   3.0814  27.1478  0.76066E+00  0.75305E+00  0.11304E-04  0.74959E+00  0.72158E+00  0.11303E-04  0.71780E+00
   10.5890   3.0964  27.5730  0.64278E+00  0.63214E+00  0.78838E-05  0.62942E+00  0.60461E+00  0.78776E-05  0.60165E+00
   10.5890   3.1009  28.0676  0.53431E+00  0.52209E+00  0.54579E-05  0.51995E+00  0.49848E+00  0.54502E-05  0.49616E+00
   10.5890   3.1111  28.5096  0.44545E+00  0.43242E+00  0.38226E-05  0.43073E+00  0.41213E+00  0.38149E-05  0.41029E+00
   10.5890   3.1404  28.8047  0.37710E+00  0.36354E+00  0.27309E-05  0.36219E+00  0.34581E+00  0.27234E-05  0.34434E+00
   10.5890   3.1783  29.0071  0.32333E+00  0.30959E+00  0.19967E-05  0.30849E+00  0.29391E+00  0.19898E-05  0.29270E+00
   10.5890   3.2006  29.2552  0.27829E+00  0.26491E+00  0.15122E-05  0.26399E+00  0.25107E+00  0.15061E-05  0.25006E+00
