                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5900   3.1000  16.8075  0.84631E+02  0.97910E+02  0.54674E-01  0.96066E+02  0.97742E+02  0.54817E-01  0.95826E+02
   10.5900   3.1000  17.5800  0.68866E+02  0.78603E+02  0.24148E-01  0.77332E+02  0.78338E+02  0.24210E-01  0.77019E+02
   10.5900   3.1000  19.1400  0.45561E+02  0.50687E+02  0.38390E-02  0.50080E+02  0.50352E+02  0.38487E-02  0.49723E+02
   10.5900   3.1000  20.5800  0.31015E+02  0.33751E+02  0.58266E-03  0.33441E+02  0.33429E+02  0.58409E-03  0.33107E+02
   10.5900   3.1000  21.9300  0.21419E+02  0.22864E+02  0.14106E-03  0.22698E+02  0.22584E+02  0.14140E-03  0.22412E+02
   10.5900   3.1000  23.2100  0.14874E+02  0.15604E+02  0.72712E-04  0.15512E+02  0.15374E+02  0.72882E-04  0.15278E+02
   10.5900   3.1000  25.5900  0.71787E+01  0.73088E+01  0.19043E-04  0.72775E+01  0.71675E+01  0.19085E-04  0.71351E+01
   10.5900   3.1000  27.7700  0.33923E+01  0.33649E+01  0.25758E-05  0.33529E+01  0.32856E+01  0.25813E-05  0.32733E+01
   10.5900   3.1000  29.8100  0.15097E+01  0.14628E+01  0.18319E-06  0.14578E+01  0.14226E+01  0.18356E-06  0.14175E+01
   10.5900   3.1000  31.7300  0.62060E+00  0.58980E+00  0.62796E-08  0.58739E+00  0.57159E+00  0.62916E-08  0.56914E+00
   10.5900   3.1000  33.5500  0.23871E+00  0.22303E+00  0.75017E-10  0.22169E+00  0.21548E+00  0.75153E-10  0.21412E+00
   10.5900   2.9000  36.1200  0.12236E+00  0.11369E+00  0.13951E-10  0.11280E+00  0.10968E+00  0.13981E-10  0.10878E+00
