 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5900   3.1000  16.8075   0.1996   2.8048  0.14012E+02  0.14012E+02  0.21014E-03  0.16248E+02  0.11054E-01  0.37977E+00  0.15858E+02  0.10000E+01
   10.5900   3.1000  17.5800   0.2182   3.0665  0.11419E+02  0.11419E+02  0.18436E-03  0.13019E+02  0.67275E-02  0.26423E+00  0.12748E+02  0.10000E+01
   10.5900   3.1000  19.1400   0.2582   3.6296  0.75809E+01  0.75808E+01  0.14317E-03  0.83666E+01  0.24547E-02  0.12751E+00  0.82366E+01  0.10000E+01
   10.5900   3.1000  20.5800   0.2981   4.1901  0.51843E+01  0.51842E+01  0.11528E-03  0.55637E+01  0.95341E-03  0.65196E-01  0.54976E+01  0.10000E+01
   10.5900   3.1000  21.9300   0.3380   4.7510  0.36030E+01  0.36029E+01  0.95689E-04  0.37724E+01  0.38713E-03  0.34771E-01  0.37372E+01  0.10000E+01
   10.5900   3.1000  23.2100   0.3781   5.3139  0.25216E+01  0.25216E+01  0.81936E-04  0.25823E+01  0.16286E-03  0.19171E-01  0.25629E+01  0.10000E+01
   10.5900   3.1000  25.5900   0.4582   6.4405  0.12388E+01  0.12387E+01  0.64350E-04  0.12200E+01  0.31382E-04  0.63635E-02  0.12136E+01  0.10000E+01
   10.5900   3.1000  27.7700   0.5380   7.5622  0.59601E+00  0.59595E+00  0.55253E-04  0.56729E+00  0.67497E-05  0.23382E-02  0.56495E+00  0.10000E+01
   10.5900   3.1000  29.8100   0.6181   8.6880  0.27066E+00  0.27060E+00  0.51994E-04  0.24974E+00  0.16090E-05  0.93412E-03  0.24880E+00  0.10000E+01
   10.5900   3.1000  31.7300   0.6982   9.8135  0.11320E+00  0.11315E+00  0.54364E-04  0.10151E+00  0.42151E-06  0.41605E-03  0.10109E+00  0.10000E+01
   10.5900   3.1000  33.5500   0.7782  10.9384  0.42778E-01  0.42713E-01  0.64876E-04  0.37320E-01  0.11629E-06  0.22333E-03  0.37096E-01  0.10000E+01
   10.5900   2.9000  36.1200   0.8181  11.8063  0.21098E-01  0.21040E-01  0.57989E-04  0.18257E-01  0.57022E-07  0.15135E-03  0.18106E-01  0.10000E+01
