 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.199552804       2.80480146       16.8075008       3.09999990       14.0120077       16.2484875    
  0.218170479       3.06648088       17.5799999       3.09999990       11.4191589       13.0192366    
  0.258231670       3.62955856       19.1399994       3.09999990       7.58094311       8.36657524    
  0.298115522       4.19014311       20.5799999       3.09999990       5.18434763       5.56371689    
  0.338015705       4.75095797       21.9300003       3.09999990       3.60295987       3.77240419    
  0.378069222       5.31392717       23.2099991       3.09999990       2.52164841       2.58226252    
  0.458223403       6.44052887       25.5900002       3.09999990       1.23880637       1.21996558    
  0.538023770       7.56215763       27.7700005       3.09999990      0.596006989      0.567290604    
  0.618120492       8.68795204       29.8099995       3.09999990      0.270656288      0.249738887    
  0.698201001       9.81351852       31.7299995       3.09999990      0.113204651      0.101511315    
  0.778230608       10.9383698       33.5499992       3.09999990       4.27782722E-02   3.73196863E-02
  0.818133950       11.8062830       36.1199989       2.90000010       2.10980512E-02   1.82570331E-02
