                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9889  32.0228  0.13343E+00  0.12769E+00  0.59569E-06  0.12721E+00  0.12095E+00  0.59191E-06  0.12042E+00
   10.5890   3.0075  32.2642  0.11329E+00  0.10790E+00  0.46106E-06  0.10749E+00  0.10204E+00  0.45802E-06  0.10160E+00
   10.5890   3.0307  32.5428  0.92498E-01  0.87574E-01  0.33942E-06  0.87237E-01  0.82679E-01  0.33702E-06  0.82312E-01
   10.5890   3.0539  32.8223  0.74685E-01  0.70291E-01  0.24878E-06  0.70011E-01  0.66246E-01  0.24692E-06  0.65940E-01
   10.5890   3.0763  33.1006  0.59825E-01  0.55974E-01  0.18263E-06  0.55740E-01  0.52660E-01  0.18116E-06  0.52404E-01
   10.5890   3.0926  33.4184  0.47345E-01  0.44042E-01  0.13367E-06  0.43844E-01  0.41364E-01  0.13253E-06  0.41146E-01
   10.5890   3.1022  33.7810  0.37007E-01  0.34227E-01  0.97672E-07  0.34057E-01  0.32091E-01  0.96801E-07  0.31904E-01
   10.5890   3.1124  34.1319  0.28737E-01  0.26419E-01  0.71374E-07  0.26269E-01  0.24725E-01  0.70706E-07  0.24561E-01
   10.5890   3.1341  34.3821  0.22395E-01  0.20451E-01  0.52527E-07  0.20314E-01  0.19102E-01  0.52012E-07  0.18952E-01
   10.5890   3.1609  34.5773  0.17486E-01  0.15853E-01  0.38995E-07  0.15721E-01  0.14773E-01  0.38594E-07  0.14630E-01
