                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.7660   3.4559  18.0000  0.88840E+02  0.86153E+02  0.64707E-03  0.84946E+02  0.81539E+02  0.63118E-03  0.80102E+02
    5.7660   3.5541  18.0000  0.82246E+02  0.78753E+02  0.31486E-03  0.77468E+02  0.74134E+02  0.30632E-03  0.72614E+02
    5.7660   3.6444  18.0000  0.75344E+02  0.71326E+02  0.15152E-03  0.69890E+02  0.66800E+02  0.14702E-03  0.65126E+02
    5.7660   3.7275  18.0000  0.68240E+02  0.63945E+02  0.72189E-04  0.62279E+02  0.59609E+02  0.69860E-04  0.57707E+02
    5.7660   3.8042  18.0000  0.61600E+02  0.57168E+02  0.34046E-04  0.55187E+02  0.53076E+02  0.32860E-04  0.50867E+02
    5.7660   3.8757  18.0000  0.55477E+02  0.50828E+02  0.15809E-04  0.48439E+02  0.46880E+02  0.15217E-04  0.44281E+02
    5.7660   3.9419  18.0000  0.45437E+02  0.41759E+02  0.72821E-05  0.38867E+02  0.38532E+02  0.69910E-05  0.35460E+02
    5.7660   4.0036  18.0000  0.39626E+02  0.36546E+02  0.33196E-05  0.33054E+02  0.33817E+02  0.31784E-05  0.30189E+02
    5.7660   4.0614  18.0000  0.37126E+02  0.33906E+02  0.14953E-05  0.29718E+02  0.31247E+02  0.14278E-05  0.26983E+02
    5.7660   4.1155  18.0000  0.35993E+02  0.32304E+02  0.66763E-06  0.27333E+02  0.29554E+02  0.63579E-06  0.24587E+02
    5.7660   4.1662  18.0000  0.35734E+02  0.31073E+02  0.29597E-06  0.25251E+02  0.27994E+02  0.28110E-06  0.22275E+02
    5.7660   4.2140  18.0000  0.29651E+02  0.25451E+02  0.12996E-06  0.18738E+02  0.22712E+02  0.12310E-06  0.16220E+02
    5.7660   4.2589  18.0000  0.23459E+02  0.19996E+02  0.56836E-07  0.12396E+02  0.17782E+02  0.53687E-07  0.10541E+02
    5.7660   4.3013  18.0000  0.17611E+02  0.14840E+02  0.24707E-07  0.64197E+01  0.13075E+02  0.23275E-07  0.51635E+01
    5.7660   4.3415  18.0000  0.98449E+01  0.90902E+01  0.10664E-07  0.00000E+00  0.84286E+01  0.10019E-07  0.00000E+00
    5.7660   4.3794  18.0000  0.10576E+02  0.94948E+01  0.46020E-08  0.00000E+00  0.86926E+01  0.43117E-08  0.00000E+00
    5.7660   4.4153  18.0000  0.10864E+02  0.95172E+01  0.19822E-08  0.00000E+00  0.86093E+01  0.18521E-08  0.00000E+00
    5.7660   4.4496  18.0000  0.10575E+02  0.90733E+01  0.84755E-09  0.00000E+00  0.81184E+01  0.78976E-09  0.00000E+00
    5.7660   4.4820  18.0000  0.97027E+01  0.81906E+01  0.36395E-09  0.00000E+00  0.72606E+01  0.33822E-09  0.00000E+00
    5.7660   4.5129  18.0000  0.84085E+01  0.70150E+01  0.15598E-09  0.00000E+00  0.61730E+01  0.14456E-09  0.00000E+00
    5.7660   4.5425  18.0000  0.69516E+01  0.57543E+01  0.66575E-10  0.00000E+00  0.50374E+01  0.61533E-10  0.00000E+00
    5.7660   4.5705  18.0000  0.55871E+01  0.46034E+01  0.28651E-10  0.00000E+00  0.40167E+01  0.26410E-10  0.00000E+00
    5.7660   4.5974  18.0000  0.44231E+01  0.36347E+01  0.12290E-10  0.00000E+00  0.31657E+01  0.11298E-10  0.00000E+00
    5.7660   4.6231  18.0000  0.34983E+01  0.28703E+01  0.52865E-11  0.00000E+00  0.24974E+01  0.48468E-11  0.00000E+00
    5.7660   4.6476  18.0000  0.27899E+01  0.22862E+01  0.22878E-11  0.00000E+00  0.19879E+01  0.20920E-11  0.00000E+00
    5.7660   4.6711  18.0000  0.22514E+01  0.18417E+01  0.99236E-12  0.00000E+00  0.16001E+01  0.90499E-12  0.00000E+00
    5.7660   4.6937  18.0000  0.18415E+01  0.15021E+01  0.43097E-12  0.00000E+00  0.13034E+01  0.39198E-12  0.00000E+00
    5.7660   4.7154  18.0000  0.15280E+01  0.12405E+01  0.18785E-12  0.00000E+00  0.10740E+01  0.17040E-12  0.00000E+00
    5.7660   4.7361  18.0000  0.12869E+01  0.10369E+01  0.82718E-13  0.00000E+00  0.89431E+00  0.74837E-13  0.00000E+00
    5.7660   4.7562  18.0000  0.10958E+01  0.87173E+00  0.36301E-13  0.00000E+00  0.74687E+00  0.32757E-13  0.00000E+00
    5.7660   4.7754  18.0000  0.94461E+00  0.73356E+00  0.16106E-13  0.00000E+00  0.62018E+00  0.14495E-13  0.00000E+00
    5.7660   4.7939  18.0000  0.40079E+00  0.32252E+00  0.71805E-14  0.00000E+00  0.27719E+00  0.64457E-14  0.00000E+00
    5.7660   4.8117  18.0000  0.32194E+00  0.25906E+00  0.32233E-14  0.00000E+00  0.22266E+00  0.28860E-14  0.00000E+00
    5.7660   4.8289  18.0000  0.26075E+00  0.20982E+00  0.14530E-14  0.00000E+00  0.18035E+00  0.12976E-14  0.00000E+00
    5.7660   4.8455  18.0000  0.21295E+00  0.17135E+00  0.65888E-15  0.00000E+00  0.14730E+00  0.58691E-15  0.00000E+00
    5.7660   4.8615  18.0000  0.17535E+00  0.14109E+00  0.30107E-15  0.00000E+00  0.12129E+00  0.26751E-15  0.00000E+00
    5.7660   4.8769  18.0000  0.14556E+00  0.11712E+00  0.13887E-15  0.00000E+00  0.10069E+00  0.12308E-15  0.00000E+00
    5.7660   4.8919  18.0000  0.12151E+00  0.97770E-01  0.64110E-16  0.00000E+00  0.84060E-01  0.56676E-16  0.00000E+00
    5.7660   4.9063  18.0000  0.10225E+00  0.82267E-01  0.29970E-16  0.00000E+00  0.70734E-01  0.26428E-16  0.00000E+00
    5.7660   4.9203  18.0000  0.86510E-01  0.69601E-01  0.14059E-16  0.00000E+00  0.59846E-01  0.12367E-16  0.00000E+00
    5.7660   4.9338  18.0000  0.73677E-01  0.59273E-01  0.66622E-17  0.00000E+00  0.50967E-01  0.58459E-17  0.00000E+00
    5.7660   4.9469  18.0000  0.63083E-01  0.50746E-01  0.31760E-17  0.00000E+00  0.43636E-01  0.27801E-17  0.00000E+00
    5.7660   4.9596  18.0000  0.54296E-01  0.43674E-01  0.15249E-17  0.00000E+00  0.37555E-01  0.13315E-17  0.00000E+00
    5.7660   4.9719  18.0000  0.46976E-01  0.37783E-01  0.73819E-18  0.00000E+00  0.32490E-01  0.64304E-18  0.00000E+00
    5.7660   4.9839  18.0000  0.40804E-01  0.32815E-01  0.35856E-18  0.00000E+00  0.28218E-01  0.31159E-18  0.00000E+00
    5.7660   4.9954  18.0000  0.35665E-01  0.28679E-01  0.17708E-18  0.00000E+00  0.24661E-01  0.15351E-18  0.00000E+00
    5.7660   5.0067  18.0000  0.31257E-01  0.25132E-01  0.87378E-19  0.00000E+00  0.21610E-01  0.75572E-19  0.00000E+00
    5.7660   5.0176  18.0000  0.27531E-01  0.22133E-01  0.43660E-19  0.00000E+00  0.19031E-01  0.37671E-19  0.00000E+00
    5.7660   5.0282  18.0000  0.24341E-01  0.19565E-01  0.21972E-19  0.00000E+00  0.16823E-01  0.18915E-19  0.00000E+00
    5.7660   5.0385  18.0000  0.21602E-01  0.17360E-01  0.11148E-19  0.00000E+00  0.14926E-01  0.95741E-20  0.00000E+00
    5.7660   5.0486  18.0000  0.19219E-01  0.15443E-01  0.56676E-20  0.00000E+00  0.13277E-01  0.48562E-20  0.00000E+00
    5.7660   5.0583  18.0000  0.17183E-01  0.13804E-01  0.29292E-20  0.00000E+00  0.11867E-01  0.25042E-20  0.00000E+00
    5.7660   5.0678  18.0000  0.15401E-01  0.12370E-01  0.15195E-20  0.00000E+00  0.10633E-01  0.12961E-20  0.00000E+00
    5.7660   5.0771  18.0000  0.13838E-01  0.11112E-01  0.79155E-21  0.00000E+00  0.95514E-02  0.67363E-21  0.00000E+00
    5.7660   5.0861  18.0000  0.12478E-01  0.10018E-01  0.41728E-21  0.00000E+00  0.86103E-02  0.35432E-21  0.00000E+00
    5.7660   5.0948  18.0000  0.11293E-01  0.90640E-02  0.22282E-21  0.00000E+00  0.77898E-02  0.18879E-21  0.00000E+00
    5.7660   5.1034  18.0000  0.10234E-01  0.82114E-02  0.11885E-21  0.00000E+00  0.70563E-02  0.10047E-21  0.00000E+00
    5.7660   5.1117  18.0000  0.93066E-02  0.74654E-02  0.64291E-22  0.00000E+00  0.64145E-02  0.54232E-22  0.00000E+00
    5.7660   5.1198  18.0000  0.84839E-02  0.68034E-02  0.35038E-22  0.00000E+00  0.58450E-02  0.29493E-22  0.00000E+00
    5.7660   5.1278  18.0000  0.77437E-02  0.62077E-02  0.19103E-22  0.00000E+00  0.53324E-02  0.16045E-22  0.00000E+00
    5.7660   5.1355  18.0000  0.70929E-02  0.56840E-02  0.10584E-22  0.00000E+00  0.48818E-02  0.88708E-23  0.00000E+00
    5.7660   5.1430  18.0000  0.65122E-02  0.52167E-02  0.59178E-23  0.00000E+00  0.44797E-02  0.49497E-23  0.00000E+00
    5.7660   5.1504  18.0000  0.59864E-02  0.47935E-02  0.33149E-23  0.00000E+00  0.41156E-02  0.27669E-23  0.00000E+00
    5.7660   5.1576  18.0000  0.55160E-02  0.44150E-02  0.18759E-23  0.00000E+00  0.37899E-02  0.15626E-23  0.00000E+00
    5.7660   5.1646  18.0000  0.50944E-02  0.40757E-02  0.10730E-23  0.00000E+00  0.34979E-02  0.89204E-24  0.00000E+00
    5.7660   5.1715  18.0000  0.47108E-02  0.37669E-02  0.61569E-24  0.00000E+00  0.32322E-02  0.51088E-24  0.00000E+00
    5.7660   5.1782  18.0000  0.43662E-02  0.34895E-02  0.35752E-24  0.00000E+00  0.29935E-02  0.29612E-24  0.00000E+00
    5.7660   5.1848  18.0000  0.40516E-02  0.32363E-02  0.20848E-24  0.00000E+00  0.27755E-02  0.17238E-24  0.00000E+00
    5.7660   5.1912  18.0000  0.37684E-02  0.30083E-02  0.12317E-24  0.00000E+00  0.25792E-02  0.10168E-24  0.00000E+00
    5.7660   5.1975  18.0000  0.35091E-02  0.27995E-02  0.73164E-25  0.00000E+00  0.23995E-02  0.60309E-25  0.00000E+00
    5.7660   5.2036  18.0000  0.32752E-02  0.26112E-02  0.44093E-25  0.00000E+00  0.22374E-02  0.36305E-25  0.00000E+00
