EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
2H_1573.inp                                                             
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  15.730 10.000  6.28    0.00 -100.00   78.55    0.00  -21.45  1.000
  13.139  1.292 -0.54    0.00 -100.00   62.92    0.00  -37.08 9.957E-03

  15.730 10.000  6.27    0.00 -100.00   78.77    0.00  -21.23  1.000
  13.121  1.281 -0.49    0.00 -100.00   63.92    0.00  -36.08 1.082E-02

  15.730 10.000  6.26    0.00 -100.00   78.33    0.00  -21.67  1.000
  13.102  1.270 -0.45    0.00 -100.00   62.64    0.00  -37.36 1.240E-02

  15.730 10.000  6.25    0.00 -100.00   78.03    0.00  -21.97  1.000
  13.083  1.259 -0.41    0.00 -100.00   62.20    0.00  -37.80 1.408E-02

  15.730 10.000  6.24    0.00 -100.00   78.17    0.00  -21.83  1.000
  13.065  1.249 -0.36    0.00 -100.00   62.36    0.00  -37.64 1.549E-02

  15.730 10.000  6.24    0.00 -100.00   77.95    0.00  -22.05  1.000
  13.046  1.238 -0.32    0.00 -100.00   62.14    0.00  -37.86 1.766E-02

  15.730 10.000  6.23    0.00 -100.00   77.59    0.00  -22.41  1.000
  13.027  1.227 -0.27    0.00 -100.00   61.53    0.00  -38.47 2.039E-02

  15.730 10.000  6.22    0.00 -100.00   77.66    0.00  -22.34  1.000
  13.009  1.218 -0.23    0.00 -100.00   61.61    0.00  -38.39 2.274E-02

  15.730 10.000  6.21    0.00 -100.00   77.36    0.00  -22.64  1.000
  12.990  1.207 -0.19    0.00 -100.00   61.02    0.00  -38.98 2.635E-02

  15.730 10.000  6.20    0.00 -100.00   76.71    0.00  -23.29  1.000
  12.972  1.198 -0.14    0.00 -100.00   61.17    0.00  -38.83 3.138E-02

  15.730 10.000  6.19    0.00 -100.00   77.19    0.00  -22.81  1.000
  12.953  1.188 -0.10    0.00 -100.00   61.77    0.00  -38.23 3.473E-02

  15.730 10.000  6.18    0.00 -100.00   77.14    0.00  -22.86  1.000
  12.934  1.178 -0.05    0.00 -100.00   61.65    0.00  -38.35 4.005E-02

  15.730 10.000  6.17    0.00 -100.00   76.74    0.00  -23.26  1.000
  12.915  1.169 -0.01    0.00 -100.00   61.17    0.00  -38.83 4.731E-02

  15.730 10.000  6.16    0.00 -100.00   76.83    0.00  -23.17  1.000
  12.896  1.159  0.03    0.00 -100.00   60.38    0.00  -39.62 5.399E-02

  15.730 10.000  6.15    0.00 -100.00   76.64    0.00  -23.36  1.000
  12.877  1.150  0.08    0.00 -100.00   59.99    0.00  -40.01 6.320E-02

