                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   20.9990  16.3910  10.0000  0.10688E-02  0.83967E-03  0.81328E-09  0.00000E+00  0.68187E-03  0.77423E-09  0.00000E+00
   20.9990  16.3660  10.0000  0.12133E-02  0.95036E-03  0.90869E-09  0.00000E+00  0.76077E-03  0.86048E-09  0.00000E+00
   20.9990  16.3410  10.0000  0.13770E-02  0.10747E-02  0.10159E-08  0.00000E+00  0.86892E-03  0.95751E-09  0.00000E+00
   20.9990  16.3160  10.0000  0.15485E-02  0.12077E-02  0.11352E-08  0.00000E+00  0.96241E-03  0.10657E-08  0.00000E+00
   20.9990  16.2910  10.0000  0.17424E-02  0.13581E-02  0.12687E-08  0.00000E+00  0.10968E-02  0.11868E-08  0.00000E+00
   20.9990  16.2660  10.0000  0.19585E-02  0.15266E-02  0.14174E-08  0.00000E+00  0.12329E-02  0.13219E-08  0.00000E+00
   20.9990  16.2410  10.0000  0.22756E-02  0.17641E-02  0.15830E-08  0.00000E+00  0.13980E-02  0.14724E-08  0.00000E+00
   20.9990  16.2160  10.0000  0.25802E-02  0.19987E-02  0.17671E-08  0.00000E+00  0.16076E-02  0.16400E-08  0.00000E+00
   20.9990  16.1910  10.0000  0.29376E-02  0.22739E-02  0.19725E-08  0.00000E+00  0.18033E-02  0.18270E-08  0.00000E+00
   20.9990  16.1660  10.0000  0.33687E-02  0.26021E-02  0.22005E-08  0.00000E+00  0.20891E-02  0.20348E-08  0.00000E+00
   20.9990  16.1410  10.0000  0.38335E-02  0.29625E-02  0.24541E-08  0.00000E+00  0.23461E-02  0.22661E-08  0.00000E+00
   20.9990  16.1160  10.0000  0.44489E-02  0.34274E-02  0.27350E-08  0.00000E+00  0.27461E-02  0.25226E-08  0.00000E+00
   20.9990  16.0910  10.0000  0.51251E-02  0.39434E-02  0.30460E-08  0.00000E+00  0.30945E-02  0.28068E-08  0.00000E+00
   20.9990  16.0660  10.0000  0.59287E-02  0.45549E-02  0.33896E-08  0.00000E+00  0.35813E-02  0.31210E-08  0.00000E+00
   20.9990  16.0410  10.0000  0.69167E-02  0.52975E-02  0.37675E-08  0.00000E+00  0.41451E-02  0.34668E-08  0.00000E+00
   20.9990  16.0160  10.0000  0.78039E-02  0.60005E-02  0.41818E-08  0.00000E+00  0.47991E-02  0.38465E-08  0.00000E+00
