 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.349993467       3.26625109       50.0000000      0.792900026       2.49348116       3.17074418    
  0.383279860       3.53071475       50.0000000      0.857100010       2.10742116       2.55117583    
  0.416639775       3.78899932       50.0000000      0.919799984       1.76645076       2.04936123    
  0.449934274       4.04028130       50.0000000      0.980799973       1.46824062       1.64205241    
  0.483238101       4.28538418       50.0000000       1.04030001       1.20854640       1.30954862    
  0.516635776       4.52513170       50.0000000       1.09850001      0.983689547       1.03704739    
  0.549923837       4.75828791       50.0000000       1.15509999      0.792258918      0.815459549    
  0.583246350       4.98608923       50.0000000       1.21039999      0.630910575      0.635515630    
  0.616638005       5.20894718       50.0000000       1.26450002      0.497034401      0.490563035    
  0.649946332       5.42603827       50.0000000       1.31719995      0.386560768      0.374019861    
  0.683267653       5.63818598       50.0000000       1.36870003      0.291932017      0.278054893    
  0.716641665       5.84580278       50.0000000       1.41910005      0.215261891      0.203222618    
  0.749907553       6.04806376       50.0000000       1.46819997      0.175494477      0.158639058    
  0.783241391       6.24620581       50.0000000       1.51629996      0.106887005       9.87408683E-02
  0.816621482       6.44022846       50.0000000       1.56340003       9.37224105E-02   8.24155360E-02
  0.849952102       6.62971926       50.0000000       1.60940003       5.10941818E-02   4.47553284E-02
  0.883205056       6.81467915       50.0000000       1.65429997       3.07806991E-02   2.72820685E-02
  0.916656673       6.99675512       50.0000000       1.69850004       2.47546006E-02   2.07334161E-02
  0.949905157       7.17388821       50.0000000       1.74150002       7.63744675E-03   7.17603089E-03
  0.983233213       7.34772587       50.0000000       1.78369999       6.48028264E-03   6.04836550E-03
   1.01662302       7.51826811       50.0000000       1.82509995       6.22920506E-03   5.37714083E-03
   1.04988968       7.68469048       50.0000000       1.86549997       4.58721491E-03   3.75495781E-03
   1.08317327       7.84781790       50.0000000       1.90509999       2.54463335E-03   2.02801893E-03
   1.11662662       8.00847340       50.0000000       1.94410002       1.21409481E-03   9.52738221E-04
   1.14988554       8.16500950       50.0000000       1.98210001       5.17162262E-04   4.07130225E-04
   1.18318784       8.31866169       50.0000000       2.01939988       2.34077583E-04   1.84531847E-04
   1.21660817       8.46984291       50.0000000       2.05609989       1.09633329E-04   8.66183909E-05
   1.24985230       8.61731720       50.0000000       2.09190011       5.36624393E-05   4.24937971E-05
   1.28317678       8.76231861       50.0000000       2.12709999       2.72419475E-05   2.16182398E-05
   1.31656766       8.90484905       50.0000000       2.16170001       1.43029229E-05   1.13721635E-05
   1.34991086       9.04449558       50.0000000       2.19560003       7.75671379E-06   6.17803471E-06
   1.38318479       9.18125916       50.0000000       2.22880006       4.33234709E-06   3.45599574E-06
   1.41657376       9.31596184       50.0000000       2.26149988       2.47717480E-06   1.97901090E-06
   1.44985700       9.44778252       50.0000000       2.29349995       1.45192564E-06   1.16159265E-06
   1.51655591       9.70483112       50.0000000       2.35590005       5.29069325E-07   4.24524501E-07
