                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.7660   1.1550  50.0000  0.96534E+00  0.10181E+01  0.39185E-05  0.98567E+00  0.99083E+00  0.38976E-05  0.95530E+00
    5.7660   1.2100  50.0000  0.76649E+00  0.79460E+00  0.13607E-05  0.77130E+00  0.77034E+00  0.13520E-05  0.74488E+00
    5.7660   1.2640  50.0000  0.60146E+00  0.61332E+00  0.45578E-06  0.59637E+00  0.59235E+00  0.45237E-06  0.57390E+00
    5.7660   1.3170  50.0000  0.46465E+00  0.46635E+00  0.14692E-06  0.45369E+00  0.44864E+00  0.14566E-06  0.43491E+00
    5.7660   1.3690  50.0000  0.34806E+00  0.34501E+00  0.45490E-07  0.33520E+00  0.33076E+00  0.45044E-07  0.32021E+00
    5.7660   1.4190  50.0000  0.25596E+00  0.25183E+00  0.13838E-07  0.24385E+00  0.24100E+00  0.13686E-07  0.23249E+00
    5.7660   1.4680  50.0000  0.20472E+00  0.19528E+00  0.40413E-08  0.18846E+00  0.18544E+00  0.39918E-08  0.17825E+00
    5.7660   1.5160  50.0000  0.12757E+00  0.12355E+00  0.11319E-08  0.11744E+00  0.11765E+00  0.11165E-08  0.11129E+00
    5.7660   1.5630  50.0000  0.11330E+00  0.10486E+00  0.30380E-09  0.99145E-01  0.99187E-01  0.29928E-09  0.93331E-01
    5.7660   1.6090  50.0000  0.61104E-01  0.56584E-01  0.78111E-10  0.51080E-01  0.53019E-01  0.76842E-10  0.47459E-01
    5.7660   1.6540  50.0000  0.35644E-01  0.33374E-01  0.19237E-10  0.27987E-01  0.31414E-01  0.18897E-10  0.26046E-01
    5.7660   1.6990  50.0000  0.30051E-01  0.26432E-01  0.43874E-11  0.21161E-01  0.24552E-01  0.43039E-11  0.19368E-01
    5.7660   1.7420  50.0000  0.70263E-02  0.68838E-02  0.99042E-12  0.18159E-02  0.64688E-02  0.96998E-12  0.15439E-02
    5.7660   1.7840  50.0000  0.47199E-02  0.47692E-02  0.21441E-12  0.86097E-04  0.45802E-02  0.20966E-12  0.79377E-04
    5.7660   1.8250  50.0000  0.42233E-02  0.40967E-02  0.44569E-13  0.38302E-04  0.38973E-02  0.43512E-13  0.35075E-04
    5.7660   1.8650  50.0000  0.34571E-02  0.32544E-02  0.89072E-14  0.14972E-04  0.30715E-02  0.86818E-14  0.13628E-04
    5.7660   1.9050  50.0000  0.25720E-02  0.23690E-02  0.16417E-14  0.50875E-05  0.22218E-02  0.15974E-14  0.45958E-05
    5.7660   1.9440  50.0000  0.17954E-02  0.16215E-02  0.29073E-15  0.15017E-05  0.15120E-02  0.28240E-15  0.13261E-05
    5.7660   1.9820  50.0000  0.11032E-02  0.99560E-03  0.49575E-16  0.00000E+00  0.92727E-03  0.48070E-16  0.00000E+00
    5.7660   2.0190  50.0000  0.69379E-03  0.62403E-03  0.81587E-17  0.00000E+00  0.58053E-03  0.78966E-17  0.00000E+00
    5.7660   2.0560  50.0000  0.43053E-03  0.38666E-03  0.12332E-17  0.00000E+00  0.35954E-03  0.11913E-17  0.00000E+00
    5.7660   2.0920  50.0000  0.27017E-03  0.24252E-03  0.18004E-18  0.00000E+00  0.22549E-03  0.17359E-18  0.00000E+00
    5.7660   2.1270  50.0000  0.17248E-03  0.15484E-03  0.25466E-19  0.00000E+00  0.14398E-03  0.24507E-19  0.00000E+00
    5.7660   2.1620  50.0000  0.11091E-03  0.99602E-04  0.32989E-20  0.00000E+00  0.92636E-04  0.31683E-20  0.00000E+00
    5.7660   2.1960  50.0000  0.72831E-04  0.65431E-04  0.41479E-21  0.00000E+00  0.60869E-04  0.39756E-21  0.00000E+00
    5.7660   2.2290  50.0000  0.48823E-04  0.43882E-04  0.50814E-22  0.00000E+00  0.40833E-04  0.48602E-22  0.00000E+00
    5.7660   2.2610  50.0000  0.33389E-04  0.30024E-04  0.60898E-23  0.00000E+00  0.27945E-04  0.58126E-23  0.00000E+00
    5.7660   2.2930  50.0000  0.23008E-04  0.20698E-04  0.66831E-24  0.00000E+00  0.19269E-04  0.63650E-24  0.00000E+00
    5.7660   2.3560  50.0000  0.11287E-04  0.10163E-04  0.65659E-26  0.00000E+00  0.94658E-05  0.62250E-26  0.00000E+00
